Country,IUU_Score,Coastal.score,Coastal.score.by.Vulnerability,Size.of.EEZ,Agreement.over.all.maritime.boundaries,Dependency.on.fish.for.protein,Authorise.foreign.vessels.to.operate.in.EEZ,Coastal.score.by.Prevalence,Has.MSC.certified.fisheries,Views.of.MCS.practitioners.on.coastal.compliance.incidents,Coastal.score.by.Response,Coastal.State.is.contracting.party.or.cooperating.non.contracting.party.to.all.relevant.RFMOs,Operate.a.national.VMS.FMC.centre,Flag.score,Flag.score.by.Vulnerability,Distant.water.vessels.on.RFMO.RAVs,Distant.water.vessels.under.several.RFMOs,Flag.score.by.Prevalence,Vessels.on.IUU.lists,View.of.fisheries.observers.on.flag.state.compliance.incidents,Views.of.MCS.practitioners.on.flag.state.compliance.incidents,Flag.score.by.Response,Accepted.FAO.Compliance.Agreement,Authorised.vessel.data.provided.to.FAO.HSVAR,Provision.of.vessel.data.for.inclusion.in.Global.Record,Compliance.with.RFMO.flag.state.obligations,Flag.State.is.contracting.party.or.cooperating.non.contracting.party.to.all.relevant.RFMOs,Port.score,Port.score.by.Vulnerability,Number.of.fishing.ports,Port.visits.by.foreign.fishing.or.carrier.vessels,Port.score.by.Prevalence,Views.of.MCS.practitioners.on.port.compliance.incidents,View.of.fisheries.observers.on.port.compliance.incidents,Port.score.by.Response,Party.to.the.PSMA,Designated.ports.specified.for.entry.by.foreign.vessels,Compliance.with.RFMO.port.state.obligations,General.score,General.score.by.Vulnerability,Trade.balance.for.fisheries.products,Share.of.global.imports,Perception.of.levels.of.corruption,Gross.national.income.per.capita,Volume.of.catches,General.score.by.Prevalence,Carded..under.the.EU.IUU.Regulation,Identified..by.NOAA.for.IUU.fishing,Mentions.of.IUU.fishing.in.media.reports,General.score.by.Response,Mandatory.vessel.tracking.for.commercial.seagoing.fleet,Demand.for.MSC.products,Ratification.accession.of.UNCLOS.Convention,Ratification.accession.of.UNFSA,Mentions.in.media.reports.to.combatting.IUU.fishing,Have.a.NPOA.IUU,Market.State.is.contracting.party.or.cooperating.non.contracting.party.to.relevant.RFMOs
China,3.93,3.31,4.83,5,5,4,5,3.8,2,5,1,1,1,4.7,5,5,5,5,5,5,5,4.13,5,NA,5,4,3,4.67,5,5,5,5,5,5,4.25,5,5,3,3.23,3.56,2,5,3,3,5,2.71,1,1,5,3.29,1,4,1,5,2,5,5
Taiwan,3.34,3.63,3.17,4,5,4,1,4.4,5,4,3.4,1,5,4.13,5,5,5,4,2,5,5,3.63,5,NA,5,4,1,3.28,4,3,5,4.5,4,5,2,5,1,1,2.63,2.67,1,3,2,5,2,1.57,3,1,1,3.14,5,4,1,5,5,1,1
Cambodia,3.23,4,4,2,5,5,5,3.8,5,3,4.2,3,5,1.88,1,1,NA,1.67,1,1,3,3,NA,NA,5,NA,1,3.87,4.5,4,5,2.5,4,1,5,5,5,NA,3.23,3.11,3,1,4,5,1,2.14,5,1,1,3.86,5,5,5,5,5,1,3
Russia,3.16,2,4.5,5,5,3,NA,1,1,1,1,1,1,3.74,4.5,4,5,3,2,4,3,4,5,NA,5,5,1,4.07,4.5,4,5,3,4,2,5,5,NA,5,2.78,3.78,3,3,4,3,5,2.29,1,4,2,2.27,1,4,1,1,5,NA,1
Vietnam,3.16,3.64,4.75,5,5,4,NA,3.8,5,3,1,1,NA,1.89,1,1,NA,1.67,1,3,1,2.57,NA,NA,5,2,1,3.73,4,3,5,4.5,5,4,2.6,5,NA,1,3.58,4.11,4,3,4,4,5,3.29,3,1,5,3.25,NA,5,1,5,2,NA,3
Sierra Leone,3.01,3,3.5,3,1,4,5,4.4,5,4,1,1,1,2.6,1,1,NA,2.33,3,1,3,3.5,1,NA,5,5,1,3.11,4,3,5,1,1,1,4.25,5,5,3,3.23,3.22,4,1,4,5,1,2,3,1,2,3.86,5,5,1,5,3,5,1
Yemen,2.96,3.38,4,4,5,1,5,2.6,5,1,3.4,1,5,1.89,1,1,NA,1,1,1,1,3.43,NA,NA,5,4,1,3.28,4,3,5,1,1,1,4.63,5,5,4,3.23,3.56,4,1,5,5,1,1,1,1,1,4.14,5,5,1,5,5,5,1
Sudan,2.77,3.13,3.33,2,5,1,5,2.6,5,1,3.4,1,5,1.89,1,1,NA,1,1,1,1,3.43,NA,NA,5,4,1,2.83,4,3,5,1,1,1,3.63,1,5,4,3.1,3.33,4,1,5,4,1,1,1,1,1,4,5,5,1,5,4,5,1
Liberia,2.76,2.69,3.67,3,5,1,5,3.2,5,2,1,1,1,3.3,4.5,4,5,2,3,1,2,3.88,5,NA,5,4,2,2.33,3.5,2,5,1,1,1,2.75,5,1,3,2.63,3.33,5,1,4,5,1,1.57,3,1,1,2.71,1,5,1,1,3,5,1
Somalia,2.75,3.69,4,4,5,1,5,4.4,5,4,1,1,NA,2.05,1,1,NA,1.67,1,1,3,3,NA,NA,5,3,1,2.2,4,3,5,1,1,1,2.2,1,NA,3,3.13,3.44,3,1,5,5,1,2.29,1,1,4,3.5,NA,5,1,5,5,NA,1
Myanmar,2.73,3.63,4,4,1,5,5,2.6,5,1,4.2,3,5,1.67,1,1,NA,1,1,1,1,3,1,5,5,NA,1,2.73,4.5,4,5,1,1,1,3.4,1,5,NA,2.9,3.78,5,1,4,5,3,1,1,1,1,3.29,5,5,1,5,5,1,1
Libya,2.73,2.64,3.5,3,5,3,NA,2.6,5,1,1,1,NA,2.96,3.5,5,2,1.67,2,2,1,4,5,NA,5,5,1,2.33,4,3,5,1,1,1,2.6,5,NA,1,2.79,3.11,4,1,5,3,1,1,1,1,1,4,NA,5,5,5,5,NA,1
Philippines,2.71,3.5,4.83,5,5,4,5,4.4,5,4,1,1,1,2.48,3,4,2,1.67,1,2,2,3,5,NA,1,5,1,2.89,5,5,5,2,3,1,2.5,1,1,5,2.37,3.44,2,1,4,4,4,1.43,1,1,2,2.14,1,4,1,1,2,1,5
Mexico,2.71,2.79,4.25,5,5,2,NA,2.6,2,3,1.8,3,1,2.5,3,4,2,1.33,1,1,2,3.33,1,5,5,4,1,2.87,4.5,4,5,1,1,1,3.8,5,NA,3,2.78,3,2,1,4,3,3,3,1,5,3,2.45,1,4,1,5,4,NA,1
Indonesia,2.7,2.63,3.5,5,5,4,1,3.2,5,2,1,1,1,2.87,3.5,4,3,2.33,4,2,1,3,5,NA,1,5,1,2.72,5,5,5,1.5,2,1,2.5,1,1,5,2.6,4,5,1,4,4,5,2.29,1,1,4,1.86,1,5,1,1,1,1,3
Cameroon,2.69,3.31,3.17,1,5,2,5,2.6,5,1,4.2,3,5,1.5,1,1,NA,1,1,1,1,3,NA,NA,5,NA,1,3.13,4,3,5,1,1,1,5,5,5,NA,2.77,3.33,5,1,4,5,1,1,1,1,1,3.29,5,5,1,5,5,1,1
India,2.68,2.82,4,5,5,1,NA,2.6,5,1,1,1,NA,2.3,1,1,1,2.67,5,2,1,2.88,5,NA,5,2,1,2.47,4.5,4,5,1,1,1,2.6,5,NA,1,3.13,4.22,5,1,4,5,5,1.86,1,1,3,3,NA,5,1,1,5,NA,1
Tanzania,2.65,2.25,3,3,1,1,5,2.6,5,1,1,1,1,2.29,1,1,NA,2,2,3,1,3,1,5,5,3,1,3.11,4,3,5,1,1,1,4.25,5,5,3,2.83,3.22,4,1,4,5,1,1.43,1,1,2,3.29,1,5,5,5,3,5,1
Japan,2.63,2.63,5,5,5,5,5,1.4,2,1,1,1,1,3.38,5,5,5,2,1,4,1,3.67,1,5,5,5,1,2.72,5,5,5,1.5,1,2,2.5,1,1,5,1.97,3,4,5,2,1,5,1.43,1,1,2,1.57,1,4,1,1,2,1,1
Comoros Isl.,2.61,2.56,3.83,3,5,2,5,2.6,5,1,1,1,1,1.74,1,1,NA,1.33,1,1,2,2.57,NA,NA,5,2,1,2.56,3,1,5,1,1,1,3.5,5,5,1,3.3,3.33,5,1,4,5,1,2.57,5,1,2,3.73,NA,5,1,5,4,5,1
Timor-Leste,2.61,3.5,3.33,2,5,1,5,2.6,5,1,4.6,4,5,1.5,1,1,NA,1,1,1,1,3,NA,NA,5,NA,1,3.13,4,3,5,1,1,1,5,5,5,NA,2.47,3.33,5,1,4,5,1,1.43,1,1,2,2.43,1,5,1,5,5,1,1
Syria,2.61,2.09,2,1,5,1,NA,2.6,5,1,1,1,NA,2.25,2,2,2,1,1,1,1,3.67,1,5,5,5,1,2.93,4,3,5,1,1,1,4.4,5,NA,4,3,3.67,5,1,5,5,1,1,1,1,1,4,NA,5,5,5,5,NA,1
Guinea,2.6,3.19,3.5,2,5,2,5,2.6,5,1,3.4,1,5,2.21,1,1,NA,2,3,1,2,3,NA,NA,5,3,1,2.33,4,3,5,1,1,1,2.5,1,5,1,2.7,3.11,3,1,4,5,1,1.43,1,1,2,3.18,NA,5,1,1,3,5,1
Korea (North),2.58,2.46,2.17,2,5,2,1,2.6,5,1,3,3,NA,1.69,1,1,NA,1.33,1,2,1,3,NA,NA,5,NA,1,2.67,4,3,5,1,1,1,5,5,NA,NA,3.21,3.22,1,1,5,5,1,2.29,1,1,4,4,NA,5,5,5,5,NA,1
Egypt,2.58,2.64,3.5,3,5,3,NA,2.6,5,1,1,1,NA,2.38,2.5,3,2,1,1,1,1,3.67,1,5,5,5,1,2.33,4,3,5,1,1,1,2.6,5,NA,1,2.92,3.22,5,2,4,4,1,1.86,1,1,3,3.5,NA,5,1,5,5,NA,1
Jamaica,2.57,3.13,2.67,3,5,3,1,2.6,5,1,4.2,3,5,1.5,1,1,NA,1,1,1,1,3,NA,NA,5,NA,1,3.13,4,3,5,1,1,1,5,5,5,NA,2.57,2.67,4,1,3,4,1,1,1,1,1,3.29,1,5,1,5,5,5,1
Panama,2.56,1.81,1.83,3,1,2,1,2.6,5,1,1,1,1,3.96,5,5,5,3.67,5,2,4,3.5,5,NA,1,5,3,2.44,4.5,4,5,2,3,1,1.75,1,1,3,1.97,2.44,3,1,4,2,1,1.29,1,2,1,2,1,5,1,1,4,1,1
Spain,2.56,2,4.5,4,5,5,NA,1,1,1,1,1,1,3.46,5,5,5,3.33,1,4,5,2.56,1,3,1,5,1,2.61,4.5,4,5,1.5,1,2,2.5,1,1,5,2.07,2.67,2,5,3,1,3,2.29,1,1,4,1.57,1,4,1,1,2,1,1
Vanuatu,2.55,3.19,4.5,4,5,4,5,3.8,5,3,1,1,1,2.78,4.5,4,5,2,1,3,2,2.38,1,NA,1,4,2,2.61,3,1,5,1.5,1,2,3.25,1,5,3,2,2.78,5,1,3,4,1,1,1,1,1,2,1,5,1,1,4,1,1
Grenada,2.53,2.63,2,1,5,3,1,2.6,5,1,3.4,1,5,1.42,1,1,NA,1,1,1,1,2.14,NA,NA,5,1,1,3.27,4.5,4,5,1,1,1,5,5,5,NA,2.85,2,3,1,NA,3,1,1,1,1,1,4.14,5,5,1,5,5,5,1
Ukraine,2.53,2.07,2.75,2,5,2,NA,2.6,5,1,1,1,1,2.7,2.5,2,3,2,1,3,2,3.63,5,NA,5,4,1,3.27,4.5,4,5,1.5,1,2,4.4,5,NA,4,2.22,3.11,5,1,4,4,1,1,1,1,1,2.27,1,4,1,1,5,NA,1
Malaysia,2.52,3.36,4.5,4,5,5,NA,2.6,5,1,3,3,NA,1.91,1.5,2,1,1.33,1,2,1,2.88,5,NA,5,2,1,3.07,4.5,4,5,1.5,2,1,3.8,5,NA,3,2.38,2.89,1,2,3,3,4,1,1,1,1,3,NA,4,1,5,2,NA,3
Sao Tome & Principe,2.51,3.19,3.5,3,1,4,5,2.6,5,1,3.4,1,5,1.74,1,1,NA,1,1,1,1,3,NA,NA,5,3,1,2.22,3.5,2,5,1,1,1,2.5,1,5,1,2.85,3,5,1,3,5,1,1,1,1,1,3.91,NA,5,1,5,5,5,1
"Congo, R. of",2.51,2.82,3,2,5,3,NA,2.6,5,1,3,3,NA,1.88,1,1,NA,1.67,1,1,3,3,NA,NA,5,NA,1,2.67,4,3,5,1,1,1,5,5,NA,NA,2.71,3.33,5,1,4,5,1,1,1,1,1,3.5,NA,5,1,5,5,NA,1
Italy,2.5,2.75,4.33,4,5,3,5,2.6,5,1,1,1,1,2.46,4.5,5,4,1.33,1,2,1,2.22,1,3,1,4,1,2.87,5,5,5,1,1,1,3.4,1,NA,5,2.19,2.33,4,4,3,1,1,2.14,1,2,3,2.09,1,3,1,1,5,NA,1
Saint Lucia,2.5,2.88,2,1,5,3,1,2.6,5,1,4.2,3,5,1.67,1,1,NA,1,1,1,1,3,1,5,5,NA,1,3,3.5,2,5,1,1,1,5,5,5,NA,2.56,2.56,5,1,3,3,1,1,1,1,1,3.55,NA,5,1,1,5,5,1
Korea (Rep. South),2.49,2.57,4.5,4,5,5,NA,2.6,5,1,1,1,1,3.25,5,5,5,3,2,4,3,2.33,1,4,1,4,1,2.33,4.5,4,5,2,3,1,1,1,NA,1,1.93,2.67,3,4,3,1,3,1.43,1,1,2,1.71,1,4,1,1,3,1,1
Iran,2.49,2.45,3,3,5,1,NA,2.6,5,1,1,1,NA,2.3,3,5,1,1.33,2,1,1,2.88,5,NA,5,2,1,2.87,4.5,4,5,1,1,1,3.8,5,NA,3,2.46,2.89,3,1,4,3,2,1,1,1,1,3.25,NA,4,5,1,5,NA,1
Haiti,2.48,3.14,2.5,2,5,1,NA,2.6,5,1,4.2,3,5,1.5,1,1,NA,1,1,1,1,3,NA,NA,5,NA,1,1,1,1,1,2.93,NA,NA,3.22,NA,NA,NA,4,1,4,5,1,1,1,1,1,3.91,5,1,NA,5,5,5,1,3.14,2.5
Togo,2.47,2.81,1.83,1,5,2,1,2.6,5,1,4.2,3,5,2.06,1,1,NA,2,2,1,3,3,NA,NA,5,NA,1,1.67,3.5,2,5,1,1,1,1,1,1,NA,2.96,3.33,5,1,4,5,1,1,1,1,1,3.91,NA,5,1,5,5,5,1
Singapore,2.46,2.45,2,1,1,5,NA,2.6,5,1,3,3,NA,2.2,2,1,3,1,1,1,1,4.6,5,NA,5,NA,4,3.42,4,3,5,2.5,2,3,5,5,NA,NA,2.21,1.33,3,2,1,1,1,1,1,1,1,4.25,NA,4,1,5,5,NA,5
Kiribati,2.45,3.5,5,5,5,5,5,3.4,4,3,1.8,3,1,2.13,2.5,2,3,1,1,1,1,3.13,5,NA,5,2,2,2.44,4,3,5,2,2,2,2,5,1,1,2.11,2.67,5,1,NA,4,1,1.57,3,1,1,2.14,1,5,1,1,5,1,1
Portugal,2.45,2.5,3.67,5,5,5,1,2.6,5,1,1,1,1,2.71,4.5,4,5,1.67,1,2,2,2.56,1,3,1,5,1,2.73,4.5,4,5,1,1,1,3.4,1,NA,5,2.04,1.89,2,3,2,2,1,1.86,1,1,3,2.27,1,4,1,1,5,NA,1
Iraq,2.44,1.92,1.67,1,5,1,1,2.6,5,1,1,1,NA,1.5,1,1,NA,1,1,1,1,3,NA,NA,5,NA,1,3,3.5,2,5,1,1,1,5,5,5,NA,2.93,3.22,5,1,5,3,1,1,1,1,1,3.91,NA,5,1,5,5,5,1
South Africa,2.43,2.79,4,5,5,1,NA,2.8,4,2,1.8,3,1,2.48,4.5,4,5,1,1,1,1,2.63,5,NA,1,4,1,2.8,4,3,5,2,3,1,2.8,1,NA,4,2,2.44,2,1,3,3,2,1.86,1,1,3,1.73,1,3,1,1,3,NA,1
Congo (DRC),2.42,2,1.67,1,5,1,1,2.6,5,1,1.8,3,1,1.5,1,1,NA,1,1,1,1,3,NA,NA,5,NA,1,2.87,3,1,5,1,1,1,5,5,5,NA,2.96,3.33,5,1,4,5,1,1,1,1,1,3.91,NA,5,1,5,5,5,1
Bangladesh,2.41,2.5,1.67,2,1,3,1,2.6,5,1,3.4,1,5,1.74,1,1,NA,1,1,1,1,3,NA,NA,5,3,1,2.61,4,3,5,1,1,1,3.13,5,1,4,2.67,3.44,4,1,4,5,2,1,1,1,1,3,1,5,1,1,5,5,1
Ecuador,2.39,2.63,2,4,1,1,1,5,5,5,1,1,1,2.35,3,4,2,1.67,1,1,3,2.63,5,NA,1,4,1,2.28,4,3,5,1.5,2,1,2,5,1,1,2.37,3.11,5,1,4,3,2,1.86,1,4,1,2.14,1,5,1,1,3,1,3
Nigeria,2.39,2.5,3.17,3,1,2,5,3.2,5,2,1,1,1,2.21,1,1,NA,2,3,1,2,3,NA,NA,5,3,1,2.28,4,3,5,1.5,2,1,2,5,1,1,2.5,3.22,5,2,4,4,1,2.29,1,1,4,2.14,1,5,1,1,5,1,1
Benin,2.37,2.92,3.17,1,5,2,5,2.6,5,1,3,3,NA,1.67,1,1,NA,1,1,1,1,3,1,5,5,NA,1,2.5,3.5,2,5,1,1,1,5,5,NA,NA,2.54,3.33,5,1,4,5,1,1,1,1,1,3,NA,5,1,1,5,NA,1
Lebanon,2.37,2,1.83,1,5,2,1,2.6,5,1,1,1,NA,1.65,1,1,1,1,1,1,1,2.88,5,NA,5,2,1,2.89,4.5,4,5,1,1,1,3.5,5,5,1,2.81,2.89,5,1,4,3,1,1,1,1,1,3.91,NA,5,1,5,5,5,1
Angola,2.37,3.08,4.17,4,5,2,5,2.6,5,1,1,1,NA,1.75,1,1,1,1,1,1,1,3,1,5,5,3,1,2.33,4,3,5,1,1,1,2.6,5,NA,1,2.59,3.44,3,1,5,4,2,1.43,1,1,2,2.64,1,5,1,5,4,NA,1
Venezuela,2.36,2.29,3.5,4,5,1,NA,2.6,5,1,1,1,1,2.04,1.5,2,1,1.33,1,1,2,3.25,5,NA,5,3,1,2.33,4,3,5,1,1,1,2.6,5,NA,1,2.71,2.89,2,1,5,3,1,1,1,1,1,4,NA,5,5,5,5,NA,1
Turkey,2.34,2.14,3,3,5,1,NA,2.6,5,1,1,1,1,2.57,3.5,5,2,1.67,1,3,1,2.88,5,NA,5,2,1,2.33,4.5,4,5,2,1,3,1,1,NA,1,2.26,2.33,2,1,4,2,1,1,1,1,1,3,1,4,5,5,5,NA,1
Thailand,2.33,2.44,2,3,1,3,1,4.4,5,4,1,1,1,1.96,2,2,2,1.33,1,2,1,2.63,5,NA,1,4,1,2.39,5,5,5,2.5,4,1,1,1,1,1,2.53,3.22,2,3,4,3,3,3.29,3,1,5,1.71,1,4,1,1,1,1,3
Algeria,2.33,2.27,2.5,2,5,1,NA,2.6,5,1,1,1,NA,1.96,3.5,5,2,1,1,1,1,1.88,5,NA,1,2,1,2.47,4.5,4,5,1,1,1,2.6,5,NA,1,2.63,3.11,5,1,4,4,1,1,1,1,1,3.5,NA,5,1,5,5,NA,1
Guinea-Bissau,2.33,2.13,2.67,2,1,1,5,2.6,5,1,1,1,1,1.89,1,1,NA,1.33,1,1,2,3,NA,NA,5,3,1,2.2,3.5,2,5,1,1,1,2.6,5,NA,1,2.77,3.44,3,1,5,5,1,1.43,1,1,2,3,1,5,1,5,3,5,1
Sri Lanka,2.32,2.06,2.5,4,1,4,1,2.6,5,1,1,1,1,2.57,3,5,1,2,1,3,2,2.88,5,NA,5,2,1,1.83,4,3,5,1.5,1,2,1,1,1,1,2.57,2.89,1,1,4,4,2,1.86,1,1,3,2.71,5,5,1,1,3,1,1
Morocco,2.32,2.69,4.17,4,5,2,5,2.6,5,1,1,1,1,2.25,3.5,5,2,1,1,1,1,2.67,1,5,5,2,1,2.22,4.5,4,5,1,1,1,2,5,1,1,2.23,3.56,5,1,4,4,3,1,1,1,1,2,1,4,1,1,5,1,1
Colombia,2.31,3,3.5,4,5,1,NA,3.8,5,3,1.8,3,1,1.35,1.5,2,1,1,1,1,1,1.8,5,NA,1,NA,1,2.67,4,3,5,1,1,1,5,5,NA,NA,2.54,2.67,3,1,4,3,1,1,1,1,1,3.75,NA,5,5,5,4,NA,1
Eritrea,2.31,2.27,2.5,2,5,1,NA,2.6,5,1,1,1,NA,1.74,1,1,NA,1,1,1,1,3,NA,NA,5,3,1,1,1,1,1,3,NA,NA,3.67,NA,NA,NA,5,1,5,5,1,1,1,1,1,4,5,5,NA,5,5,1,2.27,NA,2.5
Cook Islands,2.3,2.75,4.33,5,1,5,5,2.6,5,1,1,1,1,2.25,2.5,2,3,1,1,1,1,3.33,1,5,5,4,1,2.78,4,3,5,1,1,1,3.5,5,5,1,1.72,1.5,3,1,NA,NA,1,1,1,1,1,2.14,1,5,1,1,5,1,1
Gabon,2.3,2.81,3.5,3,1,4,5,3.8,5,3,1,1,1,1.74,1,1,NA,1,1,1,1,3,NA,NA,5,3,1,2.67,4,3,5,2,3,1,2.5,1,5,1,2.17,2.89,5,1,4,3,1,1,1,1,1,2.29,1,5,1,5,4,1,1
Antigua & Barbuda,2.3,2.88,4,2,5,5,5,2.6,5,1,1.8,3,1,1.5,1,1,NA,1,1,1,1,3,NA,NA,5,NA,1,2.33,4,3,5,1,1,1,2.6,5,1,NA,2.41,2,5,1,NA,2,1,1,1,1,1,3.29,5,5,1,5,5,1,1
Dominican Republic,2.3,2.82,3,3,5,1,NA,2.6,5,1,3,3,NA,1.47,1,1,NA,1,1,1,1,2.6,1,NA,5,NA,1,2.67,4,3,5,1,1,1,5,5,NA,NA,2.46,2.89,5,1,4,3,1,1,1,1,1,3.25,NA,5,1,5,4,NA,1
USA,2.29,2.57,4.5,5,5,3,NA,2.6,5,1,1,1,1,2.5,4.5,5,4,2,1,4,1,1.67,1,4,1,2,1,1.89,5,5,5,1,1,1,1,1,1,1,2.23,2.89,3,5,2,1,5,1.86,1,1,3,2,1,4,5,1,1,1,3
Guyana,2.29,2.63,4,3,5,3,5,2.6,5,1,1,1,1,1.74,1,1,NA,1,1,1,1,3,NA,NA,5,3,1,1.89,3.5,2,5,1,1,1,1.75,1,1,3,2.7,3.11,5,1,4,4,1,1,1,1,1,3.29,1,5,1,5,5,5,1
France,2.28,2.44,4.83,5,5,4,5,1,1,1,1,1,1,2.83,5,5,5,1.67,1,2,2,2.56,1,3,1,5,1,2.56,5,5,5,1,1,1,2.5,1,1,5,1.6,2.11,3,4,2,1,2,1,1,1,1,1.57,1,2,1,1,4,1,1
Madagascar,2.27,3,4.33,5,5,1,5,2.6,5,1,1.8,3,1,1.63,1,1,1,1,1,1,1,2.67,1,5,5,2,1,2.5,4,3,5,2.5,1,4,1.75,1,1,3,2.27,3.22,4,1,4,5,1,1,1,1,1,2.29,1,5,1,5,4,1,1
Honduras,2.27,2.45,3,3,5,1,NA,2.6,5,1,1,1,NA,1.85,1,1,NA,1.33,2,1,1,2.75,1,NA,5,3,1,2.2,3.5,2,5,1,1,1,2.6,5,NA,1,2.58,3.11,5,1,4,4,1,1.43,1,1,2,3,NA,5,1,5,3,NA,1
Georgia,2.27,2.09,2,1,5,1,NA,2.6,5,1,1,1,NA,1.88,1.5,2,1,1,1,1,1,3,1,5,5,3,1,2.93,4,3,5,1,1,1,4.4,5,NA,4,2.33,2.33,1,1,3,4,1,1,1,1,1,3.5,NA,5,1,5,5,NA,1
Samoa,2.26,2.63,4,2,5,5,5,2.6,5,1,1,1,1,1.58,1,1,NA,1,1,1,1,2.57,NA,NA,5,2,1,2.78,4,3,5,1,1,1,3.5,5,5,1,2.19,2,1,1,NA,4,1,1,1,1,1,2.86,1,5,1,1,4,5,1
Cuba,2.26,3,3.5,4,5,1,NA,2.6,5,1,3,3,NA,1.78,1,1,1,1,1,1,1,3.25,5,NA,5,3,1,2.4,4,3,5,1,1,1,2.8,1,NA,4,2.29,2.22,2,1,3,3,1,1,1,1,1,3.5,NA,5,1,5,5,NA,1
Pakistan,2.26,2.45,3,3,5,1,NA,2.6,5,1,1,1,NA,1.65,1,1,1,1,1,1,1,2.88,5,NA,5,2,1,2.33,4,3,5,1,1,1,2.6,5,NA,1,2.71,3.33,5,1,4,5,1,1,1,1,1,3.5,NA,5,1,5,5,NA,1
Israel,2.25,2.08,2,1,5,3,1,2.6,5,1,1,1,NA,1.9,1,1,NA,1,1,1,1,3.25,5,NA,5,3,1,2.8,3.5,2,5,1,1,1,4.4,5,NA,4,2.29,1.78,5,1,2,1,1,1,1,1,1,4,NA,5,5,5,5,NA,1
Equatorial Guinea,2.25,2.64,3.5,3,5,3,NA,2.6,5,1,1,1,NA,1.42,1,1,NA,1,1,1,1,2.14,NA,NA,5,1,1,2.33,4,3,5,1,1,1,2.6,5,NA,1,2.67,3.22,5,1,5,3,1,1,1,1,1,3.5,NA,5,1,5,5,NA,1
Cote d'Ivoire,2.24,2.56,3.83,3,5,2,5,2.6,5,1,1,1,1,1.78,1,1,1,1,1,1,1,3.25,5,NA,5,3,1,2.44,4,3,5,2,3,1,2,5,1,1,2.3,3.11,3,1,4,5,1,1,1,1,1,2.43,1,5,1,5,5,1,1
Senegal,2.24,2.63,4,3,5,3,5,2.6,5,1,1,1,1,2.25,1.5,2,1,1.33,1,1,2,3.67,1,5,5,5,1,1.56,3.5,2,5,1,1,1,1,1,1,1,2.43,3.22,5,1,3,5,2,2.29,1,1,4,2,1,5,1,1,4,1,1
