Indicator ID,Indicator name,Country,Region,Ocean,Resp,Type,Year,Score
1,Distant water vessels on RFMO RAVs,Albania,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,Algeria,Africa,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Angola,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Antigua & Barbuda,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Argentina,South America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Australia,Oceania,East Indian Ocean and Western Pacific,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Bahamas,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Bahrain,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Bangladesh,Asia,East Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Barbados,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Belgium,Europe,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Belize,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Benin,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Bosnia & Herzegovina,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Brazil,South America,West Atlantic,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,Brunei Darussalam,Asia,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Bulgaria,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,Cambodia,Asia,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Cameroon,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Canada,North America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Cape Verde,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Chile,South America,Eastern Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,China,Asia,Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Colombia,South America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Comoros Isl.,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Congo (DRC),Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,"Congo, R. of",Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Cook Islands,Oceania,Western Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Costa Rica,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Cote d'Ivoire,Africa,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Croatia,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Cuba,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Cyprus,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Denmark,Europe,East Atlantic,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Djibouti,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Dominica,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Dominican Republic,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Ecuador,South America,Eastern Pacific,Flag,Vulnerability,2023,4
1,Distant water vessels on RFMO RAVs,Egypt,Africa,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,El Salvador,Caribbean & Central America,Eastern Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Equatorial Guinea,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Eritrea,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Estonia,Europe,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Fiji,Oceania,Western Pacific,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,Finland,Europe,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,France,Europe,East Atlantic and Mediterranean,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Gabon,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Gambia,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Georgia,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,Germany,Europe,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Ghana,Africa,East Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Greece,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Grenada,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Guatemala,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Guinea,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Guinea-Bissau,Africa,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Guyana,South America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Haiti,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Honduras,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Iceland,Europe,East Atlantic,Flag,Vulnerability,2023,3
1,Distant water vessels on RFMO RAVs,India,Asia,East Indian Ocean and West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Indonesia,Asia,East Indian Ocean and Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Iran,Middle East,West Indian Ocean,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Iraq,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Ireland,Europe,East Atlantic,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Israel,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Italy,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Jamaica,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Japan,Asia,Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Jordan,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Kenya,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Kiribati,Oceania,Western Pacific,Flag,Vulnerability,2023,2
1,Distant water vessels on RFMO RAVs,Korea (North),Asia,Western Pacific,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Korea (Rep. South),Asia,Western Pacific,Flag,Vulnerability,2023,5
1,Distant water vessels on RFMO RAVs,Kuwait,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Latvia,Europe,East Atlantic,Flag,Vulnerability,2023,1
1,Distant water vessels on RFMO RAVs,Lebanon,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
