,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,AMBERGRIS,JAPAN,80,"21,548",5880,N,392,0004601000,10,"NEW YORK, NY",01
1972,July,AMBERGRIS,NETHERLANDS,38,"7,997",4210,N,528,0004601000,10,"NEW YORK, NY",07
1974,July,AMBERGRIS,UNITED KINGDOM,3,731,4120,N,826,0004601000,27,"LOS ANGELES, CA",07
1980,May,AMBERGRIS,CANADA,0,450,1220,N,124,0004601000,02,"SAINT ALBANS, VT",05
1981,January,AMBERGRIS,FRANCE,13,286,4279,N,250,0004601000,10,"NEW YORK, NY",01
1981,June,AMBERGRIS,FRANCE,7,288,4279,N,250,0004601000,10,"NEW YORK, NY",06
1983,April,AMBERGRIS,GERMANY,19,"1,542",4280,N,276,0004601000,10,"NEW YORK, NY",04
1983,May,AMBERGRIS,JAPAN,218,"9,586",5880,N,392,0004601000,10,"NEW YORK, NY",05
1983,July,AMBERGRIS,GERMANY,23,"2,011",4280,N,276,0004601000,10,"NEW YORK, NY",07
1984,January,AMBERGRIS,INDIA,8,706,5330,N,356,0004601000,32,"HONOLULU, HI",01
1984,September,AMBERGRIS,NETHERLANDS,60,"1,140",4210,N,528,0004601000,27,"LOS ANGELES, CA",09
1986,January,AMBERGRIS,INDIA,35,"1,403",5330,N,356,0004601000,10,"NEW YORK, NY",01
1986,June,AMBERGRIS,FRANCE,7,"1,019",4279,N,250,0004601000,10,"NEW YORK, NY",06
1986,July,AMBERGRIS,FRANCE,5,"2,581",4279,N,250,0004601000,10,"NEW YORK, NY",07
1987,March,AMBERGRIS,FRANCE,20,"1,150",4279,N,250,0004601000,10,"NEW YORK, NY",03
1987,June,AMBERGRIS,FRANCE,20,"1,205",4279,N,250,0004601000,10,"NEW YORK, NY",06
1988,January,AMBERGRIS,GERMANY,12,"7,573",4280,N,276,0004601000,04,"BOSTON, MA",01
1988,June,AMBERGRIS,FRANCE,1,"3,684",4279,N,250,0004601000,10,"NEW YORK, NY",06
1988,September,AMBERGRIS,JAPAN,1,"4,404",5880,N,392,0004601000,28,"SAN FRANCISCO, CA",09
1988,December,AMBERGRIS,FRANCE,14,"2,609",4279,N,250,0004601000,27,"LOS ANGELES, CA",12
1989,January,"AMBERGRIS MAY INCLUDE CASTOREUM,CIVET,MUSK",FRANCE,5,"7,323",4279,N,250,0510002000,10,"NEW YORK, NY",01
