,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1998,January,ATKA MACKEREL FROZEN,PANAMA,708,"1,345",2250,E,591,0303740010,52,"MIAMI, FL",01
1998,January,ATKA MACKEREL FROZEN,NORWAY,"23,000","50,893",4039,E,578,0303740010,10,"NEW YORK, NY",01
1998,January,ATKA MACKEREL FROZEN,PORTUGAL,"7,540","13,230",4710,E,620,0303740010,04,"BOSTON, MA",01
1998,January,ATKA MACKEREL FROZEN,INDIA,"38,171","76,779",5330,E,356,0303740010,10,"NEW YORK, NY",01
1998,January,ATKA MACKEREL FROZEN,INDIA,"44,158","88,512",5330,E,356,0303740010,49,"SAN JUAN, PR",01
1998,January,ATKA MACKEREL FROZEN,SOUTH KOREA,"23,907","21,208",5800,E,410,0303740010,10,"NEW YORK, NY",01
1998,January,ATKA MACKEREL FROZEN,SOUTH KOREA,"3,538","7,682",5800,E,410,0303740010,27,"LOS ANGELES, CA",01
1998,January,ATKA MACKEREL FROZEN,JAPAN,"3,586","23,283",5880,E,392,0303740010,10,"NEW YORK, NY",01
1998,February,ATKA MACKEREL FRESH,JAPAN,450,"4,758",5880,E,392,0302694092,32,"HONOLULU, HI",02
1998,February,ATKA MACKEREL FROZEN,MEXICO,"72,000","15,840",2010,E,484,0303740010,25,"SAN DIEGO, CA",02
1998,February,ATKA MACKEREL FROZEN,PORTUGAL,"2,020","3,030",4710,E,620,0303740010,04,"BOSTON, MA",02
1998,February,ATKA MACKEREL FROZEN,INDIA,"38,291","77,236",5330,E,356,0303740010,10,"NEW YORK, NY",02
1998,February,ATKA MACKEREL FROZEN,INDIA,"17,236","32,300",5330,E,356,0303740010,27,"LOS ANGELES, CA",02
1998,February,ATKA MACKEREL FROZEN,INDIA,"36,922","79,470",5330,E,356,0303740010,49,"SAN JUAN, PR",02
1998,February,ATKA MACKEREL FROZEN,MALAYSIA,"17,490","28,226",5570,E,458,0303740010,27,"LOS ANGELES, CA",02
1998,February,ATKA MACKEREL FROZEN,JAPAN,243,"2,602",5880,E,392,0303740010,17,"SAVANNAH, GA",02
1998,February,ATKA MACKEREL FROZEN,JAPAN,"1,068","7,831",5880,E,392,0303740010,30,"SEATTLE, WA",02
1998,February,ATKA MACKEREL FROZEN,PANAMA,"3,705","4,853",2250,E,591,0303794015,52,"MIAMI, FL",02
1998,March,ATKA MACKEREL FROZEN,MEXICO,"18,000","3,960",2010,E,484,0303740010,25,"SAN DIEGO, CA",03
1998,March,ATKA MACKEREL FROZEN,INDIA,"16,772","33,161",5330,E,356,0303740010,10,"NEW YORK, NY",03
1998,March,ATKA MACKEREL FROZEN,INDIA,"1,520","2,652",5330,E,356,0303740010,27,"LOS ANGELES, CA",03
1998,March,ATKA MACKEREL FROZEN,INDIA,"20,250","40,922",5330,E,356,0303740010,49,"SAN JUAN, PR",03
1998,March,ATKA MACKEREL FROZEN,SOUTH KOREA,"3,706","9,441",5800,E,410,0303740010,27,"LOS ANGELES, CA",03
1998,March,ATKA MACKEREL FROZEN,JAPAN,"1,479","3,986",5880,E,392,0303740010,10,"NEW YORK, NY",03
1998,April,ATKA MACKEREL FROZEN,MEXICO,"19,890","48,450",2010,E,484,0303740010,18,"TAMPA, FL",04
1998,April,ATKA MACKEREL FROZEN,MEXICO,"220,140","53,820",2010,E,484,0303740010,25,"SAN DIEGO, CA",04
1998,April,ATKA MACKEREL FROZEN,PORTUGAL,624,"2,741",4710,E,620,0303740010,10,"NEW YORK, NY",04
1998,April,ATKA MACKEREL FROZEN,SOUTH KOREA,"5,784","8,710",5800,E,410,0303740010,10,"NEW YORK, NY",04
1998,April,ATKA MACKEREL FROZEN,SOUTH KOREA,"14,235","9,664",5800,E,410,0303740010,27,"LOS ANGELES, CA",04
1998,April,ATKA MACKEREL FROZEN,JAPAN,"1,396","10,401",5880,E,392,0303740010,10,"NEW YORK, NY",04
1998,April,ATKA MACKEREL FROZEN,CHINA,"10,000","11,947",5700,E,156,0303794015,27,"LOS ANGELES, CA",04
1998,May,ATKA MACKEREL FROZEN,MEXICO,"54,000","12,420",2010,E,484,0303740010,25,"SAN DIEGO, CA",05
1998,May,ATKA MACKEREL FROZEN,GERMANY,"59,982","67,666",4280,E,276,0303740010,27,"LOS ANGELES, CA",05
1998,May,ATKA MACKEREL FROZEN,SOUTH KOREA,"33,047","69,646",5800,E,410,0303740010,27,"LOS ANGELES, CA",05
1998,May,ATKA MACKEREL FROZEN,TAIWAN,"9,072","5,800",5830,E,909,0303740010,27,"LOS ANGELES, CA",05
1998,May,ATKA MACKEREL FROZEN,JAPAN,752,"5,512",5880,E,392,0303740010,10,"NEW YORK, NY",05
1998,May,ATKA MACKEREL FROZEN,JAPAN,318,"2,030",5880,E,392,0303740010,27,"LOS ANGELES, CA",05
1998,June,ATKA MACKEREL FROZEN,CANADA,"4,550","4,916",1220,E,124,0303740010,01,"PORTLAND, ME",06
1998,June,ATKA MACKEREL FROZEN,MEXICO,"54,000","12,420",2010,E,484,0303740010,25,"SAN DIEGO, CA",06
1998,June,ATKA MACKEREL FROZEN,PANAMA,"4,370","5,247",2250,E,591,0303740010,52,"MIAMI, FL",06
1998,June,ATKA MACKEREL FROZEN,NORWAY,"23,500","52,307",4039,E,578,0303740010,10,"NEW YORK, NY",06
1998,June,ATKA MACKEREL FROZEN,PORTUGAL,"2,500","4,100",4710,E,620,0303740010,04,"BOSTON, MA",06
1998,June,ATKA MACKEREL FROZEN,JAPAN,"1,103","7,464",5880,E,392,0303740010,10,"NEW YORK, NY",06
1998,June,ATKA MACKEREL FROZEN,JAPAN,"17,962","23,604",5880,E,392,0303740010,27,"LOS ANGELES, CA",06
1998,July,ATKA MACKEREL FROZEN,MEXICO,"126,000","27,180",2010,E,484,0303740010,25,"SAN DIEGO, CA",07
1998,July,ATKA MACKEREL FROZEN,PANAMA,"4,113","11,468",2250,E,591,0303740010,52,"MIAMI, FL",07
1998,July,ATKA MACKEREL FROZEN,THAILAND,700,"5,500",5490,E,764,0303740010,10,"NEW YORK, NY",07
1998,July,ATKA MACKEREL FROZEN,VIETNAM,"8,382","12,600",5520,E,704,0303740010,27,"LOS ANGELES, CA",07
1998,July,ATKA MACKEREL FROZEN,JAPAN,354,"2,470",5880,E,392,0303740010,10,"NEW YORK, NY",07
1998,August,ATKA MACKEREL FROZEN,MEXICO,"180,000","41,400",2010,E,484,0303740010,25,"SAN DIEGO, CA",08
1998,August,ATKA MACKEREL FROZEN,SOUTH KOREA,956,"4,185",5800,E,410,0303740010,10,"NEW YORK, NY",08
1998,August,ATKA MACKEREL FROZEN,SOUTH KOREA,"7,076","20,963",5800,E,410,0303740010,27,"LOS ANGELES, CA",08
1998,August,ATKA MACKEREL FROZEN,JAPAN,777,"4,861",5880,E,392,0303740010,10,"NEW YORK, NY",08
1998,September,ATKA MACKEREL FROZEN,THAILAND,"9,200","18,645",5490,E,764,0303794015,27,"LOS ANGELES, CA",09
1998,September,ATKA MACKEREL FROZEN,SOUTH KOREA,"2,760","5,713",5800,E,410,0303794015,10,"NEW YORK, NY",09
1998,September,ATKA MACKEREL FROZEN,SOUTH KOREA,"1,660","2,997",5800,E,410,0303794015,27,"LOS ANGELES, CA",09
1998,October,ATKA MACKEREL FRESH,PANAMA,"5,320","12,287",2250,E,591,0302694092,52,"MIAMI, FL",10
1998,October,ATKA MACKEREL FRESH,ECUADOR,"1,805","4,252",3310,E,218,0302694092,52,"MIAMI, FL",10
1998,November,ATKA MACKEREL FRESH,CANADA,"8,851","19,515",1220,E,124,0302694092,01,"PORTLAND, ME",11
1998,November,ATKA MACKEREL FRESH,PANAMA,"1,727","4,127",2250,E,591,0302694092,52,"MIAMI, FL",11
1998,November,ATKA MACKEREL FRESH,ECUADOR,"1,437","3,622",3310,E,218,0302694092,52,"MIAMI, FL",11
1998,November,ATKA MACKEREL FROZEN,CANADA,"19,051","23,471",1220,E,124,0303794015,38,"DETROIT, MI",11
