,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2012,December,GROUNDFISH BLUE WHITING FRESH,COLOMBIA,582,"5,106",3010,E,170,0302565000,52,"MIAMI, FL",12
2013,March,GROUNDFISH BLUE WHITING FROZEN,ECUADOR,"2,486","4,919",3310,E,218,0303680000,52,"MIAMI, FL",03
2013,December,GROUNDFISH BLUE WHITING FROZEN,ARGENTINA,"19,949","47,498",3570,E,032,0303680000,52,"MIAMI, FL",12
2014,April,GROUNDFISH BLUE WHITING FROZEN,ARGENTINA,"19,949","47,498",3570,E,032,0303680000,52,"MIAMI, FL",04
2014,April,GROUNDFISH BLUE WHITING FROZEN,VIETNAM,"2,093","7,734",5520,E,704,0303680000,27,"LOS ANGELES, CA",04
2014,July,GROUNDFISH BLUE WHITING FROZEN,CHINA,"17,916","44,875",5700,E,156,0303680000,10,"NEW YORK, NY",07
2014,August,GROUNDFISH BLUE WHITING FROZEN,ARGENTINA,"19,949","43,982",3570,E,032,0303680000,52,"MIAMI, FL",08
2015,January,GROUNDFISH BLUE WHITING FROZEN,ARGENTINA,"14,969","35,640",3570,E,032,0303680000,52,"MIAMI, FL",01
2015,March,GROUNDFISH BLUE WHITING FROZEN,ARGENTINA,"9,063","21,578",3570,E,032,0303680000,52,"MIAMI, FL",03
2015,July,GROUNDFISH BLUE WHITING FROZEN,ARGENTINA,"16,329","38,880",3570,E,032,0303680000,52,"MIAMI, FL",07
2016,March,GROUNDFISH BLUE WHITING FRESH,FAROE IS.,"24,000","17,400",4091,E,234,0302565000,04,"BOSTON, MA",03
2016,March,GROUNDFISH BLUE WHITING FRESH,DENMARK,"24,000","17,400",4099,E,208,0302565000,04,"BOSTON, MA",03
2016,May,GROUNDFISH BLUE WHITING FRESH,IRELAND,"23,300","15,145",4190,E,372,0302565000,04,"BOSTON, MA",05
2016,June,GROUNDFISH BLUE WHITING FRESH,IRELAND,"23,300","15,145",4190,E,372,0302565000,04,"BOSTON, MA",06
2016,June,GROUNDFISH BLUE WHITING FROZEN,ARGENTINA,"16,329","36,000",3570,E,032,0303680000,52,"MIAMI, FL",06
2016,July,GROUNDFISH BLUE WHITING FROZEN,ARGENTINA,"6,124","14,040",3570,E,032,0303680000,16,"CHARLESTON, SC",07
2016,September,GROUNDFISH BLUE WHITING FROZEN,ECUADOR,"19,051","59,640",3310,E,218,0303680000,49,"SAN JUAN, PR",09
2016,December,GROUNDFISH BLUE WHITING FROZEN,ECUADOR,"17,309","43,884",3310,E,218,0303680000,49,"SAN JUAN, PR",12
