,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,BUTTERFISH FROZEN,MEXICO,"2,080","10,318",2010,E,484,0303794040,23,"LAREDO, TX",01
1989,January,BUTTERFISH FROZEN,GUYANA,"1,701","2,812",3120,E,328,0303794040,10,"NEW YORK, NY",01
1989,January,BUTTERFISH FROZEN,CHINA - HONG KONG,"2,800","3,340",5820,E,344,0303794040,28,"SAN FRANCISCO, CA",01
1989,March,BUTTERFISH FROZEN,GUYANA,731,"1,451",3120,E,328,0303794040,10,"NEW YORK, NY",03
1989,March,BUTTERFISH FROZEN,GUYANA,762,"1,260",3120,E,328,0303794040,18,"TAMPA, FL",03
1989,April,BUTTERFISH FROZEN,THAILAND,"3,445","8,245",5490,E,764,0303794040,27,"LOS ANGELES, CA",04
1989,June,BUTTERFISH FROZEN,SURINAME,858,"1,170",3150,E,740,0303794040,10,"NEW YORK, NY",06
1989,September,BUTTERFISH FROZEN,PORTUGAL,"2,018","3,961",4710,E,620,0303794040,04,"BOSTON, MA",09
1989,November,BUTTERFISH FROZEN,SURINAME,"4,058","5,700",3150,E,740,0303794040,10,"NEW YORK, NY",11
1989,December,BUTTERFISH FROZEN,GUYANA,"3,701","6,528",3120,E,328,0303794040,10,"NEW YORK, NY",12
1990,January,BUTTERFISH FROZEN,CHINA - HONG KONG,"7,500","8,833",5820,E,344,0303794040,28,"SAN FRANCISCO, CA",01
1990,February,BUTTERFISH FROZEN,SURINAME,"1,207","3,319",3150,E,740,0303794040,10,"NEW YORK, NY",02
1990,February,BUTTERFISH FROZEN,CHINA - HONG KONG,"3,240","3,878",5820,E,344,0303794040,28,"SAN FRANCISCO, CA",02
1990,March,BUTTERFISH FROZEN,CANADA,"19,060","5,650",1220,E,124,0303794040,34,"PEMBINA, ND",03
1990,March,BUTTERFISH FROZEN,CHINA - HONG KONG,"1,110","1,331",5820,E,344,0303794040,28,"SAN FRANCISCO, CA",03
1990,May,BUTTERFISH FROZEN,SURINAME,"1,196","3,289",3150,E,740,0303794040,52,"MIAMI, FL",05
