,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1990,January,CAPELIN FROZEN,CANADA,"18,995","646,075",1220,E,124,0303794050,01,"PORTLAND, ME",01
1990,February,CAPELIN FROZEN,JAPAN,400,"3,143",5880,E,392,0303794050,27,"LOS ANGELES, CA",02
1990,March,CAPELIN FROZEN,CANADA,"7,710","2,148",1220,E,124,0303794050,01,"PORTLAND, ME",03
1990,March,CAPELIN FROZEN,SURINAME,"2,760","5,106",3150,E,740,0303794050,52,"MIAMI, FL",03
1990,March,CAPELIN FROZEN,JAPAN,"1,280","8,654",5880,E,392,0303794050,27,"LOS ANGELES, CA",03
1990,March,CAPELIN FROZEN,JAPAN,135,"1,685",5880,E,392,0303794050,32,"HONOLULU, HI",03
1990,April,CAPELIN FROZEN,CANADA,"71,862","11,930",1220,E,124,0303794050,01,"PORTLAND, ME",04
1990,June,CAPELIN FROZEN,CANADA,"19,051","5,829",1220,E,124,0303794050,02,"SAINT ALBANS, VT",06
1990,July,CAPELIN FROZEN,CANADA,"369,594","99,576",1220,E,124,0303794050,01,"PORTLAND, ME",07
1990,July,CAPELIN FROZEN,CANADA,"36,163","9,997",1220,E,124,0303794050,02,"SAINT ALBANS, VT",07
1990,August,CAPELIN FROZEN,CANADA,"153,340","45,410",1220,E,124,0303794050,01,"PORTLAND, ME",08
1990,August,CAPELIN FROZEN,CANADA,"17,972","5,501",1220,E,124,0303794050,02,"SAINT ALBANS, VT",08
1990,September,CAPELIN FROZEN,CANADA,"38,260","6,731",1220,E,124,0303794050,01,"PORTLAND, ME",09
1990,September,CAPELIN FROZEN,JAPAN,"1,595","9,752",5880,E,392,0303794050,27,"LOS ANGELES, CA",09
1990,October,CAPELIN FROZEN,CANADA,"43,346","8,785",1220,E,124,0303794050,01,"PORTLAND, ME",10
1990,November,CAPELIN FROZEN,CANADA,"58,901","32,622",1220,E,124,0303794050,01,"PORTLAND, ME",11
1990,November,CAPELIN FROZEN,JAPAN,709,"8,635",5880,E,392,0303794050,27,"LOS ANGELES, CA",11
1990,December,CAPELIN FROZEN,CANADA,"5,150","2,597",1220,E,124,0303794050,01,"PORTLAND, ME",12
1990,December,CAPELIN FROZEN,JAPAN,200,"2,549",5880,E,392,0303794050,27,"LOS ANGELES, CA",12
1991,January,CAPELIN FROZEN,CANADA,"78,298","22,059",1220,E,124,0303794050,01,"PORTLAND, ME",01
1991,January,CAPELIN FROZEN,JAPAN,"1,061","6,267",5880,E,392,0303794050,27,"LOS ANGELES, CA",01
1991,March,CAPELIN FROZEN,CANADA,"6,916","2,744",1220,E,124,0303794050,01,"PORTLAND, ME",03
1991,March,CAPELIN FROZEN,CANADA,"1,125","7,940",1220,E,124,0303794050,09,"BUFFALO, NY",03
1991,March,CAPELIN FROZEN,JAPAN,573,"3,335",5880,E,392,0303794050,27,"LOS ANGELES, CA",03
1991,April,CAPELIN FROZEN,JAPAN,200,"1,765",5880,E,392,0303794050,27,"LOS ANGELES, CA",04
1991,May,CAPELIN FROZEN,JAPAN,411,"2,120",5880,E,392,0303794050,27,"LOS ANGELES, CA",05
1991,June,CAPELIN FROZEN,CANADA,"57,165","21,530",1220,E,124,0303794050,01,"PORTLAND, ME",06
1991,June,CAPELIN FROZEN,CANADA,"26,891","6,943",1220,E,124,0303794050,02,"SAINT ALBANS, VT",06
1991,June,CAPELIN FROZEN,JAPAN,659,"3,202",5880,E,392,0303794050,27,"LOS ANGELES, CA",06
1991,July,CAPELIN FROZEN,CANADA,"302,640","129,180",1220,E,124,0303794050,01,"PORTLAND, ME",07
1991,July,CAPELIN FROZEN,JAPAN,"1,000","8,182",5880,E,392,0303794050,27,"LOS ANGELES, CA",07
1991,August,CAPELIN FROZEN,CANADA,"407,264","138,139",1220,E,124,0303794050,01,"PORTLAND, ME",08
1991,September,CAPELIN FROZEN,SOUTH KOREA,"4,969","29,100",5800,E,410,0303794050,27,"LOS ANGELES, CA",09
1991,September,CAPELIN FROZEN,JAPAN,856,"7,438",5880,E,392,0303794050,27,"LOS ANGELES, CA",09
1991,September,CAPELIN FROZEN,JAPAN,142,"1,289",5880,E,392,0303794050,28,"SAN FRANCISCO, CA",09
1991,October,CAPELIN FROZEN,CANADA,"29,700","10,215",1220,E,124,0303794050,01,"PORTLAND, ME",10
1991,October,CAPELIN FROZEN,JAPAN,200,"1,747",5880,E,392,0303794050,27,"LOS ANGELES, CA",10
1991,November,CAPELIN FROZEN,CANADA,"7,983","12,618",1220,E,124,0303794050,38,"DETROIT, MI",11
1991,November,CAPELIN FROZEN,SOUTH KOREA,"2,075","14,112",5800,E,410,0303794050,27,"LOS ANGELES, CA",11
1991,December,CAPELIN FROZEN,CANADA,"65,405","32,951",1220,E,124,0303794050,01,"PORTLAND, ME",12
1991,December,CAPELIN FROZEN,CANADA,680,"2,550",1220,E,124,0303794050,34,"PEMBINA, ND",12
1991,December,CAPELIN FROZEN,SOUTH KOREA,930,"6,291",5800,E,410,0303794050,27,"LOS ANGELES, CA",12
