,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,SALMON CHUM FRESH,CANADA,"27,994","44,374",1220,E,124,0302120025,30,"SEATTLE, WA",01
1989,January,SALMON CHUM FROZEN,CANADA,"126,133","323,579",1220,E,124,0303100025,30,"SEATTLE, WA",01
1989,January,SALMON CHUM CANNED NOT IN OIL,CANADA,"80,157","407,095",1220,E,124,1604114010,30,"SEATTLE, WA",01
1989,February,SALMON CHUM FRESH,CANADA,"6,804","46,398",1220,E,124,0302120025,30,"SEATTLE, WA",02
1989,February,SALMON CHUM FROZEN,CANADA,"86,466","260,302",1220,E,124,0303100025,30,"SEATTLE, WA",02
1989,February,SALMON CHUM CANNED NOT IN OIL,CANADA,"174,575","616,739",1220,E,124,1604114010,30,"SEATTLE, WA",02
1989,March,SALMON CHUM FRESH,CANADA,329,"1,742",1220,E,124,0302120025,30,"SEATTLE, WA",03
1989,March,SALMON CHUM STEAKS FROZEN,CANADA,"1,479","5,705",1220,E,124,0303100020,30,"SEATTLE, WA",03
1989,March,SALMON CHUM FROZEN,CANADA,"214,235","644,130",1220,E,124,0303100025,30,"SEATTLE, WA",03
1989,March,SALMON CHUM CANNED NOT IN OIL,CANADA,"16,866","92,875",1220,E,124,1604114010,30,"SEATTLE, WA",03
1989,April,SALMON CHUM FRESH,CANADA,"13,211","29,125",1220,E,124,0302120025,30,"SEATTLE, WA",04
1989,April,SALMON CHUM FROZEN,CANADA,"129,505","390,439",1220,E,124,0303100025,30,"SEATTLE, WA",04
1989,April,SALMON CHUM FROZEN,CANADA,"17,237","47,500",1220,E,124,0303100025,34,"PEMBINA, ND",04
1989,April,SALMON CHUM CANNED NOT IN OIL,CANADA,"97,247","435,161",1220,E,124,1604114010,30,"SEATTLE, WA",04
1989,May,SALMON CHUM FRESH,CANADA,680,"1,875",1220,E,124,0302120025,32,"HONOLULU, HI",05
1989,May,SALMON CHUM FRESH,MEXICO,160,"1,232",2010,E,484,0302120025,25,"SAN DIEGO, CA",05
1989,May,SALMON CHUM FROZEN,CANADA,"104,044","301,836",1220,E,124,0303100025,30,"SEATTLE, WA",05
1989,May,SALMON CHUM FROZEN,CANADA,"1,282","4,098",1220,E,124,0303100025,32,"HONOLULU, HI",05
1989,May,SALMON CHUM CANNED NOT IN OIL,CANADA,"19,340","78,532",1220,E,124,1604114010,30,"SEATTLE, WA",05
1989,June,SALMON CHUM FRESH,CANADA,"21,884","84,780",1220,E,124,0302120025,30,"SEATTLE, WA",06
1989,June,SALMON CHUM STEAKS FROZEN,CANADA,"9,793","92,901",1220,E,124,0303100020,30,"SEATTLE, WA",06
1989,June,SALMON CHUM FROZEN,CANADA,"171,750","423,826",1220,E,124,0303100025,30,"SEATTLE, WA",06
1989,June,SALMON CHUM FROZEN,CANADA,"3,108","8,229",1220,E,124,0303100025,32,"HONOLULU, HI",06
1989,June,SALMON CHUM CANNED NOT IN OIL,CANADA,"19,340","78,532",1220,E,124,1604114010,30,"SEATTLE, WA",06
1989,July,SALMON CHUM FRESH,CANADA,"4,173","16,236",1220,E,124,0302120025,27,"LOS ANGELES, CA",07
1989,July,SALMON CHUM FRESH,CANADA,"372,439","1,043,482",1220,E,124,0302120025,30,"SEATTLE, WA",07
1989,July,SALMON CHUM FROZEN,CANADA,"73,987","174,873",1220,E,124,0303100025,30,"SEATTLE, WA",07
1989,July,SALMON CHUM CANNED NOT IN OIL,CANADA,"4,287","21,779",1220,E,124,1604114010,30,"SEATTLE, WA",07
1989,August,SALMON CHUM FRESH,CANADA,"2,268","9,000",1220,E,124,0302120025,27,"LOS ANGELES, CA",08
1989,August,SALMON CHUM FRESH,CANADA,"534,655","1,522,980",1220,E,124,0302120025,30,"SEATTLE, WA",08
1989,August,SALMON CHUM FROZEN,CANADA,"260,056","556,682",1220,E,124,0303100025,30,"SEATTLE, WA",08
1989,September,SALMON CHUM FRESH,CANADA,"369,225","911,495",1220,E,124,0302120025,30,"SEATTLE, WA",09
1989,September,SALMON CHUM FROZEN,CANADA,"268,053","676,726",1220,E,124,0303100025,30,"SEATTLE, WA",09
1989,October,SALMON CHUM STEAKS FRESH,CANADA,489,"1,455",1220,E,124,0302120020,30,"SEATTLE, WA",10
1989,October,SALMON CHUM FRESH,CANADA,"868,403","1,816,454",1220,E,124,0302120025,30,"SEATTLE, WA",10
1989,October,SALMON CHUM FRESH,CANADA,"1,175","4,070",1220,E,124,0302120025,38,"DETROIT, MI",10
1989,October,SALMON CHUM FROZEN,CANADA,"157,533","435,080",1220,E,124,0303100025,30,"SEATTLE, WA",10
1989,October,SALMON CHUM FROZEN,CANADA,"35,687","64,409",1220,E,124,0303100025,31,"ANCHORAGE, AK",10
1989,November,SALMON CHUM FRESH,CANADA,"53,937","115,735",1220,E,124,0302120025,30,"SEATTLE, WA",11
1989,November,SALMON CHUM FROZEN,CANADA,"139,377","428,086",1220,E,124,0303100025,30,"SEATTLE, WA",11
1989,December,SALMON CHUM STEAKS FRESH,CANADA,363,"1,360",1220,E,124,0302120020,30,"SEATTLE, WA",12
1989,December,SALMON CHUM FRESH,CANADA,603,"1,463",1220,E,124,0302120025,30,"SEATTLE, WA",12
1989,December,SALMON CHUM FROZEN,CANADA,"78,203","230,849",1220,E,124,0303100025,30,"SEATTLE, WA",12
1989,December,SALMON CHUM FROZEN,JAPAN,"7,258","14,640",5880,E,392,0303100025,30,"SEATTLE, WA",12
1989,December,SALMON CHUM CANNED NOT IN OIL,CANADA,"15,431","64,801",1220,E,124,1604114010,30,"SEATTLE, WA",12
1990,January,SALMON CHUM FRESH,CANADA,"5,476","16,086",1220,E,124,0302120022,30,"SEATTLE, WA",01
