,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2012,January,COBIA FRESH,JAPAN,712,"8,896",5880,E,392,0302465000,32,"HONOLULU, HI",01
2012,February,COBIA FRESH NOT >6.8KG,COLOMBIA,"8,020","58,878",3010,E,170,0302461100,52,"MIAMI, FL",02
2012,February,COBIA FRESH,CANADA,"15,665","27,213",1220,E,124,0302465000,30,"SEATTLE, WA",02
2012,March,COBIA FRESH NOT >6.8KG,MEXICO,"1,040","8,304",2010,E,484,0302461100,52,"MIAMI, FL",03
2012,March,COBIA FRESH NOT >6.8KG,COLOMBIA,"5,997","44,038",3010,E,170,0302461100,52,"MIAMI, FL",03
2012,March,COBIA FRESH,CANADA,"43,062","51,269",1220,E,124,0302465000,30,"SEATTLE, WA",03
2012,March,COBIA FRESH,PANAMA,"24,429","165,505",2250,E,591,0302465000,52,"MIAMI, FL",03
2012,March,COBIA FRESH,COLOMBIA,"3,739","31,263",3010,E,170,0302465000,52,"MIAMI, FL",03
2012,March,COBIA FROZEN,MEXICO,726,"3,600",2010,E,484,0303560000,18,"TAMPA, FL",03
2012,March,COBIA FROZEN,PHILIPPINES,"3,353","7,392",5650,E,608,0303560000,10,"NEW YORK, NY",03
2012,April,COBIA FRESH NOT >6.8KG,MEXICO,"1,487","11,477",2010,E,484,0302461100,52,"MIAMI, FL",04
2012,April,COBIA FRESH NOT >6.8KG,COLOMBIA,"2,409","15,492",3010,E,170,0302461100,52,"MIAMI, FL",04
2012,April,COBIA FRESH,CANADA,"24,884","43,914",1220,E,124,0302465000,30,"SEATTLE, WA",04
2012,April,COBIA FRESH,MEXICO,381,"2,523",2010,E,484,0302465000,52,"MIAMI, FL",04
2012,April,COBIA FRESH,PANAMA,"25,338","171,830",2250,E,591,0302465000,52,"MIAMI, FL",04
2012,April,COBIA FRESH,COLOMBIA,"2,757","23,482",3010,E,170,0302465000,52,"MIAMI, FL",04
2012,April,COBIA FROZEN,VIETNAM,"2,014","25,974",5520,E,704,0303560000,27,"LOS ANGELES, CA",04
2012,May,COBIA FRESH NOT >6.8KG,MEXICO,293,"2,297",2010,E,484,0302461100,52,"MIAMI, FL",05
2012,May,COBIA FRESH NOT >6.8KG,COLOMBIA,"3,855","27,455",3010,E,170,0302461100,52,"MIAMI, FL",05
2012,May,COBIA FRESH,MEXICO,"1,305","8,009",2010,E,484,0302465000,52,"MIAMI, FL",05
2012,May,COBIA FRESH,PANAMA,"29,355","202,898",2250,E,591,0302465000,52,"MIAMI, FL",05
2012,May,COBIA FRESH,COLOMBIA,"13,163","110,490",3010,E,170,0302465000,52,"MIAMI, FL",05
2012,May,COBIA FROZEN,VIETNAM,"2,096","27,628",5520,E,704,0303560000,27,"LOS ANGELES, CA",05
2012,June,COBIA FRESH NOT >6.8KG,MEXICO,"1,210","9,411",2010,E,484,0302461100,52,"MIAMI, FL",06
2012,June,COBIA FRESH NOT >6.8KG,COLOMBIA,"2,024","13,644",3010,E,170,0302461100,52,"MIAMI, FL",06
2012,June,COBIA FRESH,CANADA,"19,046","20,995",1220,E,124,0302465000,30,"SEATTLE, WA",06
2012,June,COBIA FRESH,MEXICO,274,"2,147",2010,E,484,0302465000,52,"MIAMI, FL",06
2012,June,COBIA FRESH,PANAMA,"27,657","184,776",2250,E,591,0302465000,52,"MIAMI, FL",06
2012,June,COBIA FRESH,COLOMBIA,"6,012","48,187",3010,E,170,0302465000,52,"MIAMI, FL",06
2012,July,COBIA FRESH NOT >6.8KG,MEXICO,"1,482","11,590",2010,E,484,0302461100,52,"MIAMI, FL",07
2012,July,COBIA FRESH NOT >6.8KG,COLOMBIA,"2,183","17,975",3010,E,170,0302461100,52,"MIAMI, FL",07
2012,July,COBIA FRESH,PANAMA,"22,076","147,600",2250,E,591,0302465000,52,"MIAMI, FL",07
2012,July,COBIA FRESH,COLOMBIA,"6,935","56,805",3010,E,170,0302465000,52,"MIAMI, FL",07
2012,August,COBIA FRESH NOT >6.8KG,MEXICO,429,"3,497",2010,E,484,0302461100,52,"MIAMI, FL",08
2012,August,COBIA FRESH NOT >6.8KG,COLOMBIA,"5,515","41,042",3010,E,170,0302461100,52,"MIAMI, FL",08
2012,August,COBIA FRESH,MEXICO,887,"6,400",2010,E,484,0302465000,52,"MIAMI, FL",08
2012,August,COBIA FRESH,PANAMA,"8,973","59,351",2250,E,591,0302465000,52,"MIAMI, FL",08
2012,August,COBIA FRESH,COLOMBIA,"14,547","124,890",3010,E,170,0302465000,52,"MIAMI, FL",08
2012,September,COBIA FRESH NOT >6.8KG,MEXICO,"1,068","7,689",2010,E,484,0302461100,52,"MIAMI, FL",09
2012,September,COBIA FRESH NOT >6.8KG,COLOMBIA,"4,505","33,433",3010,E,170,0302461100,52,"MIAMI, FL",09
2012,September,COBIA FRESH,PANAMA,"9,023","64,993",2250,E,591,0302465000,52,"MIAMI, FL",09
2012,September,COBIA FRESH,COLOMBIA,"6,974","57,018",3010,E,170,0302465000,52,"MIAMI, FL",09
2012,September,COBIA FROZEN,PHILIPPINES,"1,297","3,146",5650,E,608,0303560000,10,"NEW YORK, NY",09
2012,October,COBIA FRESH NOT >6.8KG,COLOMBIA,"2,126","15,249",3010,E,170,0302461100,52,"MIAMI, FL",10
2012,October,COBIA FRESH,PANAMA,208,"2,320",2250,E,591,0302465000,17,"SAVANNAH, GA",10
2012,October,COBIA FRESH,PANAMA,"19,488","131,586",2250,E,591,0302465000,52,"MIAMI, FL",10
2012,October,COBIA FRESH,COLOMBIA,"5,697","45,505",3010,E,170,0302465000,52,"MIAMI, FL",10
2012,November,COBIA FRESH NOT >6.8KG,COLOMBIA,"2,949","21,167",3010,E,170,0302461100,52,"MIAMI, FL",11
2012,November,COBIA FRESH,MEXICO,339,"2,465",2010,E,484,0302465000,52,"MIAMI, FL",11
2012,November,COBIA FRESH,PANAMA,"17,279","123,267",2250,E,591,0302465000,52,"MIAMI, FL",11
2012,November,COBIA FRESH,COLOMBIA,"3,832","32,002",3010,E,170,0302465000,52,"MIAMI, FL",11
2012,December,COBIA FRESH NOT >6.8KG,MEXICO,"1,050","6,366",2010,E,484,0302461100,52,"MIAMI, FL",12
2012,December,COBIA FRESH NOT >6.8KG,COLOMBIA,"4,525","33,573",3010,E,170,0302461100,52,"MIAMI, FL",12
2012,December,COBIA FRESH,PANAMA,"15,967","105,595",2250,E,591,0302465000,52,"MIAMI, FL",12
2012,December,COBIA FRESH,COLOMBIA,"3,115","26,482",3010,E,170,0302465000,52,"MIAMI, FL",12
2013,January,COBIA FRESH NOT >6.8KG,COLOMBIA,"3,711","27,980",3010,E,170,0302461100,52,"MIAMI, FL",01
2013,January,COBIA FRESH,MEXICO,416,"3,025",2010,E,484,0302465000,52,"MIAMI, FL",01
2013,January,COBIA FRESH,PANAMA,"21,103","139,572",2250,E,591,0302465000,52,"MIAMI, FL",01
2013,January,COBIA FRESH,COLOMBIA,"6,406","78,910",3010,E,170,0302465000,52,"MIAMI, FL",01
2013,February,COBIA FRESH NOT >6.8KG,MEXICO,259,"2,002",2010,E,484,0302461100,52,"MIAMI, FL",02
2013,February,COBIA FRESH,PANAMA,"37,163","245,788",2250,E,591,0302465000,52,"MIAMI, FL",02
2013,February,COBIA FRESH,COLOMBIA,"2,965","23,866",3010,E,170,0302465000,52,"MIAMI, FL",02
2013,March,COBIA FRESH NOT >6.8KG,MEXICO,323,"2,666",2010,E,484,0302461100,52,"MIAMI, FL",03
2013,March,COBIA FRESH NOT >6.8KG,COLOMBIA,"2,360","16,096",3010,E,170,0302461100,52,"MIAMI, FL",03
2013,March,COBIA FRESH,PANAMA,"83,357","551,040",2250,E,591,0302465000,52,"MIAMI, FL",03
2013,March,COBIA FRESH,COLOMBIA,"6,025","56,385",3010,E,170,0302465000,27,"LOS ANGELES, CA",03
2013,March,COBIA FRESH,COLOMBIA,"2,953","22,647",3010,E,170,0302465000,52,"MIAMI, FL",03
2013,April,COBIA FRESH NOT >6.8KG,COLOMBIA,"1,743","11,992",3010,E,170,0302461100,52,"MIAMI, FL",04
