,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2012,February,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",NEW ZEALAND,"2,512","10,170",6141,E,554,0307710090,27,"LOS ANGELES, CA",02
2012,February,"COCKLES,ARK SHELLS NSPF FROZEN/DRIED/SALTED/BRINE",PERU,"1,235","27,788",3330,E,604,0307790060,28,"SAN FRANCISCO, CA",02
2012,February,"COCKLES,ARK SHELLS NSPF FROZEN/DRIED/SALTED/BRINE",VIETNAM,"1,814","6,840",5520,E,704,0307790060,14,"NORFOLK, VA",02
2012,February,"COCKLES,ARK SHELLS NSPF FROZEN/DRIED/SALTED/BRINE",CHINA,80,"4,128",5700,E,156,0307790060,32,"HONOLULU, HI",02
2012,February,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",SPAIN,43,"2,278",4700,E,724,1605566000,10,"NEW YORK, NY",02
2012,February,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",SPAIN,400,"5,498",4700,E,724,1605566000,52,"MIAMI, FL",02
2012,March,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",SOUTH KOREA,"1,140","14,802",5800,E,410,0307710090,17,"SAVANNAH, GA",03
2012,March,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",NEW ZEALAND,"1,933","7,880",6141,E,554,0307710090,27,"LOS ANGELES, CA",03
2012,March,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",ITALY,262,"2,735",4759,E,380,1605566000,10,"NEW YORK, NY",03
2012,March,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",INDONESIA,"28,627","84,935",5600,E,360,1605566000,10,"NEW YORK, NY",03
2012,April,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",SOUTH KOREA,590,"7,616",5800,E,410,0307710090,17,"SAVANNAH, GA",04
2012,April,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",NEW ZEALAND,"1,882","7,678",6141,E,554,0307710090,27,"LOS ANGELES, CA",04
2012,April,"COCKLES,ARK SHELLS NSPF FROZEN/DRIED/SALTED/BRINE",CHINA,"16,790","55,407",5700,E,156,0307790060,27,"LOS ANGELES, CA",04
2012,April,"CLAM,COCKLES,ARK SHELLS NSPF PRODUCTS PREPARED DINNERS",SPAIN,400,"5,659",4700,E,724,1605560500,52,"MIAMI, FL",04
2012,April,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",ITALY,"1,086","10,465",4759,E,380,1605566000,10,"NEW YORK, NY",04
2012,April,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",THAILAND,500,"2,690",5490,E,764,1605566000,17,"SAVANNAH, GA",04
2012,April,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",CHINA,"6,985","22,117",5700,E,156,1605566000,10,"NEW YORK, NY",04
2012,April,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",NEW ZEALAND,"19,040","81,772",6141,E,554,1605566000,27,"LOS ANGELES, CA",04
2012,May,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",CHINA,126,"2,073",5700,E,156,0307710090,10,"NEW YORK, NY",05
2012,May,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",NEW ZEALAND,"2,657","10,833",6141,E,554,0307710090,27,"LOS ANGELES, CA",05
2012,May,"COCKLES,ARK SHELLS NSPF FROZEN/DRIED/SALTED/BRINE",PORTUGAL,150,"2,512",4710,E,620,0307790060,04,"BOSTON, MA",05
2012,May,"COCKLES,ARK SHELLS NSPF FROZEN/DRIED/SALTED/BRINE",CHINA,180,"2,376",5700,E,156,0307790060,10,"NEW YORK, NY",05
2012,May,"COCKLES,ARK SHELLS NSPF PREPARED/PRESERVED",JAPAN,160,"3,403",5880,E,392,1605566000,32,"HONOLULU, HI",05
2012,June,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",CANADA,907,"3,000",1220,E,124,0307710090,01,"PORTLAND, ME",06
2012,June,"COCKLES,ARK SHELLS NSPF LIVE/FRESH",NEW ZEALAND,525,"2,141",6141,E,554,0307710090,27,"LOS ANGELES, CA",06
2012,June,"COCKLES,ARK SHELLS NSPF FROZEN/DRIED/SALTED/BRINE",CANADA,107,"2,100",1220,E,124,0307790060,01,"PORTLAND, ME",06
