,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,SALMON COHO STEAKS FRESH,CHILE,"4,127","26,885",3370,E,152,0302120050,10,"NEW YORK, NY",01
1989,January,SALMON COHO STEAKS FRESH,CHILE,"4,590","18,168",3370,E,152,0302120050,28,"SAN FRANCISCO, CA",01
1989,January,SALMON COHO FRESH,CANADA,"190,472","1,009,170",1220,E,124,0302120055,30,"SEATTLE, WA",01
1989,January,SALMON COHO FRESH,CANADA,726,"4,434",1220,E,124,0302120055,38,"DETROIT, MI",01
1989,January,SALMON COHO FRESH,CHILE,"14,448","94,529",3370,E,152,0302120055,10,"NEW YORK, NY",01
1989,January,SALMON COHO FRESH,CHILE,"47,014","254,803",3370,E,152,0302120055,27,"LOS ANGELES, CA",01
1989,January,SALMON COHO FRESH,CHILE,"9,853","56,161",3370,E,152,0302120055,52,"MIAMI, FL",01
1989,January,SALMON COHO FROZEN,CANADA,"20,352","75,635",1220,E,124,0303100055,30,"SEATTLE, WA",01
1989,February,SALMON COHO STEAKS FRESH,CHILE,"1,123","12,465",3370,E,152,0302120050,10,"NEW YORK, NY",02
1989,February,SALMON COHO STEAKS FRESH,CHILE,"2,318","12,085",3370,E,152,0302120050,28,"SAN FRANCISCO, CA",02
1989,February,SALMON COHO FRESH,CANADA,476,"2,316",1220,E,124,0302120055,27,"LOS ANGELES, CA",02
1989,February,SALMON COHO FRESH,CANADA,"59,416","318,247",1220,E,124,0302120055,30,"SEATTLE, WA",02
1989,February,SALMON COHO FRESH,CANADA,"1,067","5,731",1220,E,124,0302120055,32,"HONOLULU, HI",02
1989,February,SALMON COHO FRESH,CHILE,"43,002","261,761",3370,E,152,0302120055,10,"NEW YORK, NY",02
1989,February,SALMON COHO FRESH,CHILE,"66,015","377,345",3370,E,152,0302120055,27,"LOS ANGELES, CA",02
1989,February,SALMON COHO FRESH,CHILE,"3,743","22,274",3370,E,152,0302120055,28,"SAN FRANCISCO, CA",02
1989,February,SALMON COHO FRESH,CHILE,"34,678","166,643",3370,E,152,0302120055,52,"MIAMI, FL",02
1989,February,SALMON COHO FROZEN,CANADA,"2,620","3,149",1220,E,124,0303100055,30,"SEATTLE, WA",02
1989,February,SALMON COHO FROZEN,CANADA,"1,084","7,205",1220,E,124,0303100055,32,"HONOLULU, HI",02
1989,February,SALMON COHO FROZEN,JAPAN,150,"1,898",5880,E,392,0303100055,32,"HONOLULU, HI",02
1989,March,SALMON COHO FRESH,CANADA,"19,936","104,776",1220,E,124,0302120055,30,"SEATTLE, WA",03
1989,March,SALMON COHO FRESH,ECUADOR,"2,180","12,360",3310,E,218,0302120055,52,"MIAMI, FL",03
1989,March,SALMON COHO FRESH,CHILE,"11,159","66,431",3370,E,152,0302120055,10,"NEW YORK, NY",03
1989,March,SALMON COHO FRESH,CHILE,"34,182","166,875",3370,E,152,0302120055,27,"LOS ANGELES, CA",03
1989,March,SALMON COHO FRESH,CHILE,"20,970","118,037",3370,E,152,0302120055,52,"MIAMI, FL",03
1989,March,SALMON COHO FROZEN,CANADA,"10,423","72,531",1220,E,124,0303100055,30,"SEATTLE, WA",03
1989,April,SALMON COHO FRESH,CANADA,"5,623","23,700",1220,E,124,0302120055,30,"SEATTLE, WA",04
1989,April,SALMON COHO FROZEN,CANADA,312,"1,924",1220,E,124,0303100055,30,"SEATTLE, WA",04
1989,April,SALMON COHO FROZEN,CANADA,438,"2,898",1220,E,124,0303100055,32,"HONOLULU, HI",04
1989,May,SALMON COHO FRESH,CANADA,"16,960","61,546",1220,E,124,0302120055,30,"SEATTLE, WA",05
1989,May,SALMON COHO FRESH,CANADA,"24,569","79,970",1220,E,124,0302120055,31,"ANCHORAGE, AK",05
1989,May,SALMON COHO FROZEN,CANADA,"4,786","24,253",1220,E,124,0303100055,30,"SEATTLE, WA",05
1989,May,SALMON COHO FROZEN,CANADA,"14,969","41,250",1220,E,124,0303100055,34,"PEMBINA, ND",05
1989,June,SALMON COHO FRESH,CANADA,"2,259","13,944",1220,E,124,0302120055,27,"LOS ANGELES, CA",06
1989,June,SALMON COHO FRESH,CANADA,"34,660","149,847",1220,E,124,0302120055,30,"SEATTLE, WA",06
1989,June,SALMON COHO FROZEN,CANADA,"3,036","12,699",1220,E,124,0303100055,30,"SEATTLE, WA",06
1989,June,SALMON COHO FROZEN,CANADA,907,"6,000",1220,E,124,0303100055,34,"PEMBINA, ND",06
1989,July,SALMON COHO FRESH,CANADA,364,"1,606",1220,E,124,0302120055,27,"LOS ANGELES, CA",07
1989,July,SALMON COHO FRESH,CANADA,"236,601","703,125",1220,E,124,0302120055,30,"SEATTLE, WA",07
1989,July,SALMON COHO FRESH,CANADA,"11,245","24,739",1220,E,124,0302120055,31,"ANCHORAGE, AK",07
1989,July,SALMON COHO FROZEN,CANADA,"99,695","314,924",1220,E,124,0303100055,30,"SEATTLE, WA",07
1989,August,SALMON COHO FRESH,CANADA,"8,006","48,306",1220,E,124,0302120055,27,"LOS ANGELES, CA",08
1989,August,SALMON COHO FRESH,CANADA,865,"8,177",1220,E,124,0302120055,28,"SAN FRANCISCO, CA",08
1989,August,SALMON COHO FRESH,CANADA,"364,857","1,485,451",1220,E,124,0302120055,30,"SEATTLE, WA",08
1989,August,SALMON COHO FRESH,CANADA,"17,386","38,250",1220,E,124,0302120055,31,"ANCHORAGE, AK",08
1989,August,SALMON COHO FRESH,CHILE,"14,695","82,678",3370,E,152,0302120055,52,"MIAMI, FL",08
1989,August,SALMON COHO FROZEN,CANADA,"112,411","490,286",1220,E,124,0303100055,30,"SEATTLE, WA",08
1989,September,SALMON COHO FRESH,CANADA,998,"4,720",1220,E,124,0302120055,27,"LOS ANGELES, CA",09
1989,September,SALMON COHO FRESH,CANADA,"3,492","24,763",1220,E,124,0302120055,28,"SAN FRANCISCO, CA",09
1989,September,SALMON COHO FRESH,CANADA,"686,577","2,796,203",1220,E,124,0302120055,30,"SEATTLE, WA",09
1989,September,SALMON COHO FRESH,CANADA,"39,745","87,441",1220,E,124,0302120055,31,"ANCHORAGE, AK",09
1989,September,SALMON COHO FRESH,CHILE,"16,264","94,518",3370,E,152,0302120055,52,"MIAMI, FL",09
1989,September,SALMON COHO FROZEN,CANADA,"120,359","512,960",1220,E,124,0303100055,30,"SEATTLE, WA",09
1989,September,SALMON COHO FROZEN,CANADA,"16,057","63,100",1220,E,124,0303100055,34,"PEMBINA, ND",09
1989,October,SALMON COHO STEAKS FRESH,CANADA,"1,270","5,326",1220,E,124,0302120050,38,"DETROIT, MI",10
1989,October,SALMON COHO FRESH,CANADA,"3,635","18,551",1220,E,124,0302120055,28,"SAN FRANCISCO, CA",10
1989,October,SALMON COHO FRESH,CANADA,"62,867","211,761",1220,E,124,0302120055,30,"SEATTLE, WA",10
1989,October,SALMON COHO FRESH,CANADA,"12,397","48,152",1220,E,124,0302120055,31,"ANCHORAGE, AK",10
1989,October,SALMON COHO FRESH,CHILE,"7,534","43,285",3370,E,152,0302120055,52,"MIAMI, FL",10
1989,October,SALMON COHO FROZEN,CANADA,"22,467","84,710",1220,E,124,0303100055,30,"SEATTLE, WA",10
1989,October,SALMON COHO FROZEN,CANADA,"8,312","34,259",1220,E,124,0303100055,31,"ANCHORAGE, AK",10
1989,November,SALMON COHO STEAKS FRESH,UNITED KINGDOM,"1,185","12,102",4120,E,826,0302120050,33,"GREAT FALLS, MT",11
1989,November,SALMON COHO FRESH,CANADA,"4,294","38,493",1220,E,124,0302120055,28,"SAN FRANCISCO, CA",11
1989,November,SALMON COHO FRESH,CANADA,"5,086","19,090",1220,E,124,0302120055,30,"SEATTLE, WA",11
1989,November,SALMON COHO FRESH,CHILE,"9,653","59,787",3370,E,152,0302120055,52,"MIAMI, FL",11
1989,November,SALMON COHO FRESH,UNITED KINGDOM,768,"6,415",4120,E,826,0302120055,53,"HOUSTON-GALVESTON, TX",11
1989,November,SALMON COHO FROZEN,CANADA,817,"6,131",1220,E,124,0303100055,27,"LOS ANGELES, CA",11
1989,November,SALMON COHO FROZEN,CANADA,"15,412","74,474",1220,E,124,0303100055,30,"SEATTLE, WA",11
1989,December,SALMON COHO FRESH,CANADA,"4,608","41,063",1220,E,124,0302120055,28,"SAN FRANCISCO, CA",12
1989,December,SALMON COHO FRESH,CANADA,"67,915","318,032",1220,E,124,0302120055,30,"SEATTLE, WA",12
1989,December,SALMON COHO FRESH,CANADA,"8,536","12,094",1220,E,124,0302120055,31,"ANCHORAGE, AK",12
1989,December,SALMON COHO FRESH,CHILE,"22,564","117,609",3370,E,152,0302120055,52,"MIAMI, FL",12
1989,December,SALMON COHO FROZEN,CANADA,"2,543","12,333",1220,E,124,0303100055,30,"SEATTLE, WA",12
1990,January,SALMON COHO FRESH,CANADA,"66,895","346,160",1220,E,124,0302120052,30,"SEATTLE, WA",01
1990,January,SALMON COHO FRESH,CHILE,"11,655","56,316",3370,E,152,0302120052,27,"LOS ANGELES, CA",01
1990,January,SALMON COHO FRESH,CHILE,"6,777","42,155",3370,E,152,0302120052,52,"MIAMI, FL",01
1990,January,SALMON COHO FROZEN,CANADA,"3,786","16,380",1220,E,124,0303100052,30,"SEATTLE, WA",01
1990,January,SALMON COHO FROZEN,CHILE,"42,268","126,889",3370,E,152,0303100052,10,"NEW YORK, NY",01
