,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1986,July,CONCH FRESH/FROZEN,BELIZE,"6,305","45,362",2080,E,084,0001144512,52,"MIAMI, FL",07
1986,July,CONCH FRESH/FROZEN,HONDURAS,"2,477","9,828",2150,E,340,0001144512,52,"MIAMI, FL",07
1986,July,CONCH FRESH/FROZEN,TURKS & CAICOS IS.,"52,499","313,506",2430,E,796,0001144512,52,"MIAMI, FL",07
1986,July,CONCH FRESH/FROZEN,HAITI,"7,997","41,011",2450,E,332,0001144512,52,"MIAMI, FL",07
1986,July,CONCH FRESH/FROZEN,COLOMBIA,"7,023","19,313",3010,E,170,0001144512,10,"NEW YORK, NY",07
1986,July,CONCH FRESH/FROZEN,COLOMBIA,485,"4,860",3010,E,170,0001144512,52,"MIAMI, FL",07
1986,August,CONCH FRESH/FROZEN,PANAMA,"3,157","10,000",2250,E,591,0001144512,52,"MIAMI, FL",08
1986,August,CONCH FRESH/FROZEN,JAMAICA,227,"1,640",2410,E,388,0001144512,52,"MIAMI, FL",08
1986,August,CONCH FRESH/FROZEN,TURKS & CAICOS IS.,"1,678","9,300",2430,E,796,0001144512,52,"MIAMI, FL",08
1986,August,CONCH FRESH/FROZEN,DOMINICAN REPUBLIC,"2,722","3,300",2470,E,214,0001144512,52,"MIAMI, FL",08
1986,August,CONCH FRESH/FROZEN,LEEWARD-WINDWARD IS.,116,"1,040",2480,E,,0001144512,51,U.S. VIRGIN ISLANDS,08
1986,August,CONCH FRESH/FROZEN,LEEWARD-WINDWARD IS.,907,"3,600",2480,E,,0001144512,52,"MIAMI, FL",08
1986,August,CONCH FRESH/FROZEN,FRENCH WEST INDIES,624,"2,100",2830,E,,0001144512,51,U.S. VIRGIN ISLANDS,08
1986,August,CONCH FRESH/FROZEN,COLOMBIA,"5,148","14,108",3010,E,170,0001144512,10,"NEW YORK, NY",08
1986,August,CONCH FRESH/FROZEN,COLOMBIA,"22,680","172,500",3010,E,170,0001144512,53,"HOUSTON-GALVESTON, TX",08
1986,August,CONCH FRESH/FROZEN,SPAIN,"34,445","238,469",4700,E,724,0001144512,10,"NEW YORK, NY",08
1986,August,CONCH FRESH/FROZEN,NAMIBIA,"2,858","7,875",7920,E,516,0001144512,49,"SAN JUAN, PR",08
1986,September,CONCH FRESH/FROZEN,MEXICO,699,"2,414",2010,E,484,0001144512,25,"SAN DIEGO, CA",09
1986,September,CONCH FRESH/FROZEN,COSTA RICA,73,"1,104",2230,E,188,0001144512,49,"SAN JUAN, PR",09
1986,September,CONCH FRESH/FROZEN,COSTA RICA,626,"4,314",2230,E,188,0001144512,52,"MIAMI, FL",09
1986,September,CONCH FRESH/FROZEN,PANAMA,730,"3,220",2250,E,591,0001144512,52,"MIAMI, FL",09
1986,September,CONCH FRESH/FROZEN,TURKS & CAICOS IS.,"50,349","307,890",2430,E,796,0001144512,52,"MIAMI, FL",09
