,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,December,CRAWFISH FRESHWATER FROZEN,CHINA - HONG KONG,"2,840","7,642",5820,E,344,0306190010,27,"LOS ANGELES, CA",12
1990,June,CRAWFISH FRESHWATER FROZEN,JAPAN,"5,443","19,119",5880,E,392,0306190010,27,"LOS ANGELES, CA",06
1990,June,CRAWFISH FRESHWATER FROZEN,AUSTRALIA,97,"1,461",6021,E,036,0306190010,27,"LOS ANGELES, CA",06
1990,September,CRAWFISH FRESHWATER FROZEN,CHINA,"3,402","41,985",5700,E,156,0306190010,27,"LOS ANGELES, CA",09
1991,August,CRAWFISH FRESHWATER FROZEN,AUSTRALIA,100,"1,780",6021,E,036,0306190010,27,"LOS ANGELES, CA",08
1991,November,CRAWFISH FRESHWATER FROZEN,CHINA,"20,476","150,724",5700,E,156,0306190010,27,"LOS ANGELES, CA",11
1991,December,CRAWFISH FRESHWATER FROZEN,CHINA,"12,138","85,428",5700,E,156,0306190010,27,"LOS ANGELES, CA",12
1992,March,CRAWFISH FRESHWATER FROZEN,CHINA,"5,590","33,951",5700,E,156,0306190010,53,"HOUSTON-GALVESTON, TX",03
1992,July,CRAWFISH FRESHWATER FROZEN,CHINA - HONG KONG,"8,981","64,716",5820,E,344,0306190010,27,"LOS ANGELES, CA",07
1992,August,CRAWFISH FRESHWATER FROZEN,CHINA,"51,143","394,309",5700,E,156,0306190010,27,"LOS ANGELES, CA",08
1992,September,CRAWFISH FRESHWATER FROZEN,CHINA,"26,647","205,826",5700,E,156,0306190010,27,"LOS ANGELES, CA",09
1992,October,CRAWFISH FRESHWATER FROZEN,CHINA,"67,185","487,835",5700,E,156,0306190010,27,"LOS ANGELES, CA",10
1992,November,CRAWFISH FRESHWATER FROZEN,SPAIN,"23,081","27,307",4700,E,724,0306190010,20,"NEW ORLEANS, LA",11
1992,December,CRAWFISH FRESHWATER FROZEN,CHINA,"9,961","73,168",5700,E,156,0306190010,27,"LOS ANGELES, CA",12
1993,January,CRAWFISH FRESHWATER FROZEN,SPAIN,"10,590","20,375",4700,E,724,0306190010,20,"NEW ORLEANS, LA",01
1993,January,CRAWFISH FRESHWATER FROZEN,CHINA,"10,990","72,107",5700,E,156,0306190010,27,"LOS ANGELES, CA",01
1993,February,CRAWFISH FRESHWATER FROZEN,CHILE,"1,386","3,119",3370,E,152,0306190010,52,"MIAMI, FL",02
1993,March,CRAWFISH FRESHWATER FROZEN,CHILE,"2,034","9,188",3370,E,152,0306190010,52,"MIAMI, FL",03
1993,March,CRAWFISH FRESHWATER FROZEN,ICELAND,442,"11,858",4000,E,352,0306190010,04,"BOSTON, MA",03
1993,June,CRAWFISH FRESHWATER FROZEN,CHINA,"1,102","9,107",5700,E,156,0306190010,10,"NEW YORK, NY",06
1993,July,CRAWFISH FRESHWATER FROZEN,CHILE,"1,799","7,337",3370,E,152,0306190010,52,"MIAMI, FL",07
1993,July,CRAWFISH FRESHWATER FROZEN,CHINA,"42,254","387,363",5700,E,156,0306190010,27,"LOS ANGELES, CA",07
1993,August,CRAWFISH FRESHWATER FROZEN,CHINA,"54,365","399,801",5700,E,156,0306190010,27,"LOS ANGELES, CA",08
1993,August,CRAWFISH FRESHWATER FROZEN,CHINA,"34,706","205,895",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",08
1993,September,CRAWFISH FRESHWATER FROZEN,CHINA,"71,925","503,489",5700,E,156,0306190010,27,"LOS ANGELES, CA",09
1993,October,CRAWFISH FRESHWATER FROZEN,CHINA,"16,874","115,627",5700,E,156,0306190010,27,"LOS ANGELES, CA",10
1993,October,CRAWFISH FRESHWATER FROZEN,CHINA,"16,329","72,200",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",10
1993,October,CRAWFISH FRESHWATER FROZEN,CHINA,"16,329","51,750",5700,E,156,0306190010,30,"SEATTLE, WA",10
1994,January,CRAWFISH FRESHWATER FROZEN,CHINA,"10,780","30,926",5700,E,156,0306190010,27,"LOS ANGELES, CA",01
1994,February,CRAWFISH FRESHWATER FROZEN,CHINA,"36,218","194,512",5700,E,156,0306190010,27,"LOS ANGELES, CA",02
1994,March,CRAWFISH FRESHWATER FROZEN,CHINA,"16,667","72,822",5700,E,156,0306190010,27,"LOS ANGELES, CA",03
1994,March,CRAWFISH FRESHWATER FROZEN,CHINA,"18,082","79,520",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",03
1994,April,CRAWFISH FRESHWATER FROZEN,CHINA,"33,638","145,000",5700,E,156,0306190010,27,"LOS ANGELES, CA",04
1994,May,CRAWFISH FRESHWATER FROZEN,CHINA,"13,749","71,601",5700,E,156,0306190010,27,"LOS ANGELES, CA",05
1994,May,CRAWFISH FRESHWATER FROZEN,CHINA,"20,064","65,591",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",05
1994,June,CRAWFISH FRESHWATER FROZEN,CHINA,"16,874","89,012",5700,E,156,0306190010,27,"LOS ANGELES, CA",06
1994,July,CRAWFISH FRESHWATER FROZEN,CHINA,"60,254","311,431",5700,E,156,0306190010,27,"LOS ANGELES, CA",07
1994,July,CRAWFISH FRESHWATER FROZEN,CHINA,"91,016","439,201",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",07
1994,July,CRAWFISH FRESHWATER FROZEN,CHINA,"17,593","87,642",5700,E,156,0306190010,30,"SEATTLE, WA",07
1994,August,CRAWFISH FRESHWATER FROZEN,CHINA,"17,146","90,518",5700,E,156,0306190010,27,"LOS ANGELES, CA",08
1994,August,CRAWFISH FRESHWATER FROZEN,CHINA,"35,241","171,163",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",08
1994,September,CRAWFISH FRESHWATER FROZEN,CHINA,"130,485","692,526",5700,E,156,0306190010,27,"LOS ANGELES, CA",09
1994,September,CRAWFISH FRESHWATER FROZEN,CHINA,"15,632","87,061",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",09
1994,October,CRAWFISH FRESHWATER FROZEN,CHINA,"15,589","98,895",5700,E,156,0306190010,27,"LOS ANGELES, CA",10
1994,October,CRAWFISH FRESHWATER FROZEN,CHINA,"37,046","208,080",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",10
1994,November,CRAWFISH FRESHWATER FROZEN,CHINA,"99,067","642,422",5700,E,156,0306190010,27,"LOS ANGELES, CA",11
1994,December,CRAWFISH FRESHWATER FROZEN,CHINA,"28,674","173,341",5700,E,156,0306190010,27,"LOS ANGELES, CA",12
1995,January,CRAWFISH FRESHWATER FROZEN,CHINA,"7,033","47,107",5700,E,156,0306190010,27,"LOS ANGELES, CA",01
1995,February,CRAWFISH FRESHWATER FROZEN,CHINA,"13,178","46,882",5700,E,156,0306190010,53,"HOUSTON-GALVESTON, TX",02
1995,April,CRAWFISH FRESHWATER FROZEN,CHINA,"11,191","75,182",5700,E,156,0306190010,27,"LOS ANGELES, CA",04
1995,May,CRAWFISH FRESHWATER FROZEN,CHINA,"36,861","255,911",5700,E,156,0306190010,27,"LOS ANGELES, CA",05
1995,June,CRAWFISH FRESHWATER FROZEN,CHINA,"82,836","613,898",5700,E,156,0306190010,27,"LOS ANGELES, CA",06
1995,June,CRAWFISH FRESHWATER FROZEN,CHINA,"19,954","148,600",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",06
1995,July,CRAWFISH FRESHWATER FROZEN,CHINA,"404,474","2,951,817",5700,E,156,0306190010,27,"LOS ANGELES, CA",07
1995,August,CRAWFISH FRESHWATER FROZEN,CHINA,"212,300","1,529,124",5700,E,156,0306190010,27,"LOS ANGELES, CA",08
1995,August,CRAWFISH FRESHWATER FROZEN,CHINA,"16,395","115,782",5700,E,156,0306190010,30,"SEATTLE, WA",08
1995,September,CRAWFISH FRESHWATER FROZEN,CHINA,"259,376","1,669,703",5700,E,156,0306190010,27,"LOS ANGELES, CA",09
1995,October,CRAWFISH FRESHWATER FROZEN,SINGAPORE,"15,000","141,294",5590,E,702,0306190010,27,"LOS ANGELES, CA",10
1995,October,CRAWFISH FRESHWATER FROZEN,CHINA,"108,744","777,437",5700,E,156,0306190010,27,"LOS ANGELES, CA",10
1995,November,CRAWFISH FRESHWATER FROZEN,MEXICO,250,"2,046",2010,E,484,0306190010,53,"HOUSTON-GALVESTON, TX",11
1995,November,CRAWFISH FRESHWATER FROZEN,CHINA,"44,645","299,050",5700,E,156,0306190010,27,"LOS ANGELES, CA",11
1995,December,CRAWFISH FRESHWATER FROZEN,CHINA,"26,378","183,480",5700,E,156,0306190010,27,"LOS ANGELES, CA",12
1995,December,CRAWFISH FRESHWATER FROZEN,CHINA,"28,946","208,202",5700,E,156,0306190010,28,"SAN FRANCISCO, CA",12
1996,January,CRAWFISH FRESHWATER FROZEN,CHINA,"17,636","120,706",5700,E,156,0306190010,27,"LOS ANGELES, CA",01
1996,February,CRAWFISH FRESHWATER FROZEN,CHINA,"36,865","218,279",5700,E,156,0306190010,27,"LOS ANGELES, CA",02
1996,June,CRAWFISH FRESHWATER FROZEN,CHINA,"8,170","33,322",5700,E,156,0306190010,27,"LOS ANGELES, CA",06
1996,July,CRAWFISH FRESHWATER FROZEN,CHINA,"120,218","355,629",5700,E,156,0306190010,27,"LOS ANGELES, CA",07
1996,August,CRAWFISH FRESHWATER FROZEN,CHINA,"232,904","661,009",5700,E,156,0306190010,27,"LOS ANGELES, CA",08
1996,August,CRAWFISH FRESHWATER FROZEN,CHINA,555,"5,033",5700,E,156,0306190010,38,"DETROIT, MI",08
1996,September,CRAWFISH FRESHWATER FROZEN,CHINA,"268,227","879,683",5700,E,156,0306190010,27,"LOS ANGELES, CA",09
1996,October,CRAWFISH FRESHWATER FROZEN,CHINA,"218,146","955,144",5700,E,156,0306190010,27,"LOS ANGELES, CA",10
1996,November,CRAWFISH FRESHWATER FROZEN,CHINA,"200,156","769,242",5700,E,156,0306190010,27,"LOS ANGELES, CA",11
1996,December,CRAWFISH FRESHWATER FROZEN,VIETNAM,"1,111","2,328",5520,E,704,0306190010,27,"LOS ANGELES, CA",12
1996,December,CRAWFISH FRESHWATER FROZEN,CHINA,"163,164","799,498",5700,E,156,0306190010,27,"LOS ANGELES, CA",12
1997,January,CRAWFISH FRESHWATER FROZEN,CHINA,"108,591","569,099",5700,E,156,0306190010,27,"LOS ANGELES, CA",01
1997,February,CRAWFISH FRESHWATER FROZEN,CHINA,"67,818","344,230",5700,E,156,0306190010,27,"LOS ANGELES, CA",02
1997,April,CRAWFISH FRESHWATER FROZEN,CHINA,"17,995","37,013",5700,E,156,0306190010,10,"NEW YORK, NY",04
1997,June,CRAWFISH FRESHWATER FROZEN,CHINA,"73,072","278,924",5700,E,156,0306190010,27,"LOS ANGELES, CA",06
1997,July,CRAWFISH FRESHWATER FROZEN,CHINA,"126,727","390,664",5700,E,156,0306190010,27,"LOS ANGELES, CA",07
1997,August,CRAWFISH FRESHWATER FROZEN,CHINA,"70,227","143,040",5700,E,156,0306190010,27,"LOS ANGELES, CA",08
1997,September,CRAWFISH FRESHWATER FROZEN,CHINA,"70,413","176,746",5700,E,156,0306190010,27,"LOS ANGELES, CA",09
1997,September,CRAWFISH FRESHWATER FROZEN,CHINA,"11,316","56,133",5700,E,156,0306190010,53,"HOUSTON-GALVESTON, TX",09
1997,October,CRAWFISH FRESHWATER FROZEN,CHINA,"19,068","69,600",5700,E,156,0306190010,25,"SAN DIEGO, CA",10
1997,October,CRAWFISH FRESHWATER FROZEN,CHINA,"168,620","507,182",5700,E,156,0306190010,27,"LOS ANGELES, CA",10
1997,November,CRAWFISH FRESHWATER FROZEN,CHINA,"183,065","690,698",5700,E,156,0306190010,27,"LOS ANGELES, CA",11
