,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,"SALMON ATLANTIC,DANUBE STEAKS FRESH",UNITED KINGDOM,"2,009","22,983",4120,E,826,0302120060,54,"WASHINGTON, DC",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CANADA,"230,681","2,031,500",1220,E,124,0302120065,01,"PORTLAND, ME",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CANADA,"1,367","10,312",1220,E,124,0302120065,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CANADA,"5,775","43,951",1220,E,124,0302120065,27,"LOS ANGELES, CA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CANADA,"61,967","503,202",1220,E,124,0302120065,30,"SEATTLE, WA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CANADA,129,"1,236",1220,E,124,0302120065,38,"DETROIT, MI",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",MEXICO,"4,880","6,831",2010,E,484,0302120065,18,"TAMPA, FL",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CAYMAN IS.,"2,211","8,438",2440,E,136,0302120065,18,"TAMPA, FL",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CHILE,"59,671","275,754",3370,E,152,0302120065,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CHILE,"1,763","8,895",3370,E,152,0302120065,27,"LOS ANGELES, CA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CHILE,"15,663","96,760",3370,E,152,0302120065,52,"MIAMI, FL",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",ICELAND,"11,875","75,643",4000,E,352,0302120065,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"243,955","1,779,401",4039,E,578,0302120065,04,"BOSTON, MA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"449,191","3,071,437",4039,E,578,0302120065,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"5,611","42,346",4039,E,578,0302120065,17,"SAVANNAH, GA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"181,253","1,169,019",4039,E,578,0302120065,27,"LOS ANGELES, CA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"67,155","408,550",4039,E,578,0302120065,28,"SAN FRANCISCO, CA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"14,217","83,423",4039,E,578,0302120065,30,"SEATTLE, WA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"3,540","25,959",4039,E,578,0302120065,35,"MINNEAPOLIS, MN",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,541,"5,323",4039,E,578,0302120065,38,"DETROIT, MI",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"28,441","198,660",4039,E,578,0302120065,39,"CHICAGO, IL",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"45,456","331,553",4039,E,578,0302120065,52,"MIAMI, FL",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,807,"7,901",4039,E,578,0302120065,53,"HOUSTON-GALVESTON, TX",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"8,233","54,495",4039,E,578,0302120065,54,"WASHINGTON, DC",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"3,858","27,145",4039,E,578,0302120065,55,"DALLAS-FORT WORTH, TX",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",FAROE IS.,"3,344","17,465",4091,E,234,0302120065,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"8,001","66,298",4120,E,826,0302120065,04,"BOSTON, MA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"5,651","47,938",4120,E,826,0302120065,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"2,818","25,473",4120,E,826,0302120065,35,"MINNEAPOLIS, MN",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"2,718","24,561",4120,E,826,0302120065,39,"CHICAGO, IL",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"10,222","105,372",4120,E,826,0302120065,54,"WASHINGTON, DC",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",IRELAND,"1,797","12,412",4190,E,372,0302120065,04,"BOSTON, MA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",IRELAND,"15,692","127,610",4190,E,372,0302120065,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NETHERLANDS,"1,188","11,848",4210,E,528,0302120065,27,"LOS ANGELES, CA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",CHINA - MACAO,"3,023","19,716",5660,E,446,0302120065,04,"BOSTON, MA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NEW ZEALAND,"3,052","15,540",6141,E,554,0302120065,04,"BOSTON, MA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NEW ZEALAND,"13,016","118,422",6141,E,554,0302120065,27,"LOS ANGELES, CA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NEW ZEALAND,"3,791","27,066",6141,E,554,0302120065,28,"SAN FRANCISCO, CA",01
1989,January,"SALMON ATLANTIC,DANUBE FRESH",NEW ZEALAND,"1,999","9,884",6141,E,554,0302120065,32,"HONOLULU, HI",01
1989,January,"SALMON ATLANTIC,DANUBE FROZEN",CHILE,"5,040","30,616",3370,E,152,0303220040,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FROZEN",ICELAND,"2,744","16,569",4000,E,352,0303220040,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,275,"1,525",4039,E,578,0303220040,04,"BOSTON, MA",01
1989,January,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,"125,053","879,040",4039,E,578,0303220040,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,"4,386","25,854",4039,E,578,0303220040,18,"TAMPA, FL",01
1989,January,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,239,"1,469",4039,E,578,0303220040,39,"CHICAGO, IL",01
1989,January,"SALMON ATLANTIC,DANUBE FROZEN",IRELAND,330,"1,835",4190,E,372,0303220040,10,"NEW YORK, NY",01
1989,January,"SALMON ATLANTIC,DANUBE FROZEN",NETHERLANDS,"1,613","16,425",4210,E,528,0303220040,18,"TAMPA, FL",01
1989,February,"SALMON ATLANTIC,DANUBE STEAKS FRESH",NORWAY,"3,622","10,664",4039,E,578,0302120060,52,"MIAMI, FL",02
1989,February,"SALMON ATLANTIC,DANUBE STEAKS FRESH",UNITED KINGDOM,"1,497","19,019",4120,E,826,0302120060,54,"WASHINGTON, DC",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",CANADA,"197,236","1,569,744",1220,E,124,0302120065,01,"PORTLAND, ME",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",CANADA,"1,701","9,258",1220,E,124,0302120065,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",CANADA,"5,649","41,264",1220,E,124,0302120065,27,"LOS ANGELES, CA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",CANADA,"130,714","718,117",1220,E,124,0302120065,30,"SEATTLE, WA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",MEXICO,"12,628","27,882",2010,E,484,0302120065,18,"TAMPA, FL",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",CHILE,"34,147","152,255",3370,E,152,0302120065,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",CHILE,"9,814","51,344",3370,E,152,0302120065,27,"LOS ANGELES, CA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",CHILE,"29,961","176,981",3370,E,152,0302120065,52,"MIAMI, FL",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",ICELAND,"19,196","126,210",4000,E,352,0302120065,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",ICELAND,"1,740","8,301",4000,E,352,0302120065,18,"TAMPA, FL",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"269,161","1,826,925",4039,E,578,0302120065,04,"BOSTON, MA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"339,742","2,233,190",4039,E,578,0302120065,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"4,294","32,105",4039,E,578,0302120065,17,"SAVANNAH, GA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"166,293","1,000,965",4039,E,578,0302120065,27,"LOS ANGELES, CA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"67,604","418,906",4039,E,578,0302120065,28,"SAN FRANCISCO, CA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"18,790","114,882",4039,E,578,0302120065,30,"SEATTLE, WA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"1,471","11,634",4039,E,578,0302120065,35,"MINNEAPOLIS, MN",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"40,338","269,631",4039,E,578,0302120065,39,"CHICAGO, IL",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"41,689","304,546",4039,E,578,0302120065,52,"MIAMI, FL",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NORWAY,"10,080","65,536",4039,E,578,0302120065,54,"WASHINGTON, DC",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",FAROE IS.,"1,320","5,421",4091,E,234,0302120065,04,"BOSTON, MA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",FAROE IS.,"16,034","95,744",4091,E,234,0302120065,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"20,086","158,289",4120,E,826,0302120065,04,"BOSTON, MA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"5,952","65,366",4120,E,826,0302120065,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,902,"5,962",4120,E,826,0302120065,27,"LOS ANGELES, CA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,888,"8,024",4120,E,826,0302120065,35,"MINNEAPOLIS, MN",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"4,325","39,098",4120,E,826,0302120065,39,"CHICAGO, IL",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"2,900","28,000",4120,E,826,0302120065,52,"MIAMI, FL",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",UNITED KINGDOM,"24,811","151,416",4120,E,826,0302120065,54,"WASHINGTON, DC",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",IRELAND,"15,091","112,996",4190,E,372,0302120065,04,"BOSTON, MA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",IRELAND,"22,775","163,969",4190,E,372,0302120065,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NETHERLANDS,"1,212","11,814",4210,E,528,0302120065,27,"LOS ANGELES, CA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",SWITZERLAND,"5,189","37,345",4419,E,756,0302120065,52,"MIAMI, FL",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",NEW ZEALAND,"8,848","48,914",6141,E,554,0302120065,27,"LOS ANGELES, CA",02
1989,February,"SALMON ATLANTIC,DANUBE FRESH",GABON,"3,556","23,697",7550,E,266,0302120065,04,"BOSTON, MA",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",CANADA,"1,417","8,275",1220,E,124,0303220040,28,"SAN FRANCISCO, CA",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",CHILE,"5,998","25,088",3370,E,152,0303220040,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",ICELAND,"5,095","31,557",4000,E,352,0303220040,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,917,"8,475",4039,E,578,0303220040,04,"BOSTON, MA",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,"145,678","1,002,356",4039,E,578,0303220040,10,"NEW YORK, NY",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,"1,792","17,013",4039,E,578,0303220040,17,"SAVANNAH, GA",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,"4,737","30,080",4039,E,578,0303220040,18,"TAMPA, FL",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,"1,839","12,961",4039,E,578,0303220040,28,"SAN FRANCISCO, CA",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",NORWAY,504,"1,509",4039,E,578,0303220040,55,"DALLAS-FORT WORTH, TX",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",FAROE IS.,"13,955","101,610",4091,E,234,0303220040,04,"BOSTON, MA",02
1989,February,"SALMON ATLANTIC,DANUBE FROZEN",UNITED KINGDOM,"3,294","20,175",4120,E,826,0303220040,10,"NEW YORK, NY",02
