,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1997,January,DOLPHINFISH FILLET FROZEN,PANAMA,"9,979","32,340",2250,E,591,0304206091,52,"MIAMI, FL",01
1997,January,DOLPHINFISH FILLET FROZEN,ECUADOR,"68,879","276,193",3310,E,218,0304206091,27,"LOS ANGELES, CA",01
1997,January,DOLPHINFISH FILLET FROZEN,ECUADOR,"18,905","76,563",3310,E,218,0304206091,52,"MIAMI, FL",01
1997,January,DOLPHINFISH FILLET FROZEN,ARGENTINA,"18,099","27,770",3570,E,032,0304206091,10,"NEW YORK, NY",01
1997,January,DOLPHINFISH FILLET FROZEN,ARGENTINA,"234,487","363,736",3570,E,032,0304206091,14,"NORFOLK, VA",01
1997,January,DOLPHINFISH FILLET FROZEN,TAIWAN,"31,298","69,845",5830,E,909,0304206091,27,"LOS ANGELES, CA",01
1997,January,DOLPHINFISH FILLET FROZEN,JAPAN,"4,082","53,398",5880,E,392,0304206091,27,"LOS ANGELES, CA",01
1997,January,DOLPHINFISH FILLET FROZEN,NEW ZEALAND,"127,460","412,561",6141,E,554,0304206091,17,"SAVANNAH, GA",01
1997,January,DOLPHINFISH FILLET FROZEN,NEW ZEALAND,"36,500","117,211",6141,E,554,0304206091,18,"TAMPA, FL",01
1997,January,DOLPHINFISH FILLET FROZEN,NEW ZEALAND,"20,250","40,829",6141,E,554,0304206091,27,"LOS ANGELES, CA",01
1997,January,DOLPHINFISH FILLET FROZEN,NAMIBIA,"33,815","75,720",7920,E,516,0304206091,16,"CHARLESTON, SC",01
1997,February,DOLPHINFISH FILLET FROZEN,ECUADOR,"24,131","127,264",3310,E,218,0304206091,16,"CHARLESTON, SC",02
1997,February,DOLPHINFISH FILLET FROZEN,ECUADOR,"312,974","1,148,665",3310,E,218,0304206091,27,"LOS ANGELES, CA",02
1997,February,DOLPHINFISH FILLET FROZEN,ECUADOR,"17,132","101,098",3310,E,218,0304206091,52,"MIAMI, FL",02
1997,February,DOLPHINFISH FILLET FROZEN,URUGUAY,"37,116","48,223",3550,E,858,0304206091,14,"NORFOLK, VA",02
1997,February,DOLPHINFISH FILLET FROZEN,ARGENTINA,"153,442","251,274",3570,E,032,0304206091,14,"NORFOLK, VA",02
1997,February,DOLPHINFISH FILLET FROZEN,TAIWAN,"8,051","16,517",5830,E,909,0304206091,27,"LOS ANGELES, CA",02
1997,February,DOLPHINFISH FILLET FROZEN,JAPAN,"3,742","23,791",5880,E,392,0304206091,27,"LOS ANGELES, CA",02
1997,February,DOLPHINFISH FILLET FROZEN,NEW ZEALAND,"18,595","58,520",6141,E,554,0304206091,14,"NORFOLK, VA",02
1997,February,DOLPHINFISH FILLET FROZEN,NEW ZEALAND,"296,149","800,910",6141,E,554,0304206091,17,"SAVANNAH, GA",02
1997,February,DOLPHINFISH FILLET FROZEN,NAMIBIA,"15,360","37,455",7920,E,516,0304206091,16,"CHARLESTON, SC",02
1997,March,DOLPHINFISH FILLET FROZEN,CANADA,"5,401","17,005",1220,E,124,0304206091,30,"SEATTLE, WA",03
1997,March,DOLPHINFISH FILLET FROZEN,ECUADOR,"290,112","1,003,350",3310,E,218,0304206091,27,"LOS ANGELES, CA",03
1997,March,DOLPHINFISH FILLET FROZEN,ECUADOR,"16,875","63,178",3310,E,218,0304206091,49,"SAN JUAN, PR",03
1997,March,DOLPHINFISH FILLET FROZEN,ECUADOR,"17,513","107,250",3310,E,218,0304206091,52,"MIAMI, FL",03
1997,March,DOLPHINFISH FILLET FROZEN,URUGUAY,"25,605","39,823",3550,E,858,0304206091,14,"NORFOLK, VA",03
1997,March,DOLPHINFISH FILLET FROZEN,ARGENTINA,"16,166","26,052",3570,E,032,0304206091,13,"BALTIMORE, MD",03
1997,March,DOLPHINFISH FILLET FROZEN,ARGENTINA,"196,244","341,318",3570,E,032,0304206091,14,"NORFOLK, VA",03
1997,March,DOLPHINFISH FILLET FROZEN,VIETNAM,"6,204","16,068",5520,E,704,0304206091,27,"LOS ANGELES, CA",03
1997,March,DOLPHINFISH FILLET FROZEN,TAIWAN,"12,111","37,935",5830,E,909,0304206091,27,"LOS ANGELES, CA",03
1997,March,DOLPHINFISH FILLET FROZEN,JAPAN,"4,082","23,983",5880,E,392,0304206091,27,"LOS ANGELES, CA",03
1997,March,DOLPHINFISH FILLET FROZEN,NEW ZEALAND,"19,150","54,963",6141,E,554,0304206091,17,"SAVANNAH, GA",03
1997,April,DOLPHINFISH FILLET FROZEN,CANADA,281,"1,829",1220,E,124,0304206091,04,"BOSTON, MA",04
1997,April,DOLPHINFISH FILLET FROZEN,ECUADOR,"285,527","956,027",3310,E,218,0304206091,27,"LOS ANGELES, CA",04
1997,April,DOLPHINFISH FILLET FROZEN,URUGUAY,"38,934","65,892",3550,E,858,0304206091,14,"NORFOLK, VA",04
1997,April,DOLPHINFISH FILLET FROZEN,ARGENTINA,"248,310","394,693",3570,E,032,0304206091,14,"NORFOLK, VA",04
1997,April,DOLPHINFISH FILLET FROZEN,SINGAPORE,"2,858","11,145",5590,E,702,0304206091,27,"LOS ANGELES, CA",04
1997,April,DOLPHINFISH FILLET FROZEN,TAIWAN,"19,958","79,156",5830,E,909,0304206091,27,"LOS ANGELES, CA",04
1997,April,DOLPHINFISH FILLET FROZEN,JAPAN,108,"1,819",5880,E,392,0304206091,10,"NEW YORK, NY",04
1997,April,DOLPHINFISH FILLET FROZEN,JAPAN,"1,374","8,731",5880,E,392,0304206091,27,"LOS ANGELES, CA",04
1997,April,DOLPHINFISH FILLET FROZEN,NEW ZEALAND,"145,005","511,488",6141,E,554,0304206091,11,"PHILADELPHIA, PA",04
1997,May,DOLPHINFISH FILLET FROZEN,CANADA,"1,633","5,400",1220,E,124,0304206091,01,"PORTLAND, ME",05
1997,May,DOLPHINFISH FILLET FROZEN,ECUADOR,"18,257","58,363",3310,E,218,0304206091,27,"LOS ANGELES, CA",05
1997,May,DOLPHINFISH FILLET FROZEN,URUGUAY,"99,994","183,906",3550,E,858,0304206091,14,"NORFOLK, VA",05
1997,May,DOLPHINFISH FILLET FROZEN,ARGENTINA,"16,166","26,951",3570,E,032,0304206091,11,"PHILADELPHIA, PA",05
1997,May,DOLPHINFISH FILLET FROZEN,ARGENTINA,"55,606","83,957",3570,E,032,0304206091,13,"BALTIMORE, MD",05
1997,May,DOLPHINFISH FILLET FROZEN,ARGENTINA,"920,918","1,566,651",3570,E,032,0304206091,14,"NORFOLK, VA",05
1997,May,DOLPHINFISH FILLET FROZEN,TAIWAN,"498,613","1,833,200",5830,E,909,0304206091,27,"LOS ANGELES, CA",05
1997,May,DOLPHINFISH FILLET FROZEN,JAPAN,627,"1,641",5880,E,392,0304206091,30,"SEATTLE, WA",05
1997,June,DOLPHINFISH FILLET FROZEN,ECUADOR,"20,207","69,028",3310,E,218,0304206091,27,"LOS ANGELES, CA",06
