,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,CRABMEAT DUNGENESS IN ATC,CHINA - HONG KONG,"12,240","60,630",5820,E,344,1605102030,30,"SEATTLE, WA",01
1989,February,CRABMEAT DUNGENESS IN ATC,MALAYSIA,"6,123","32,818",5570,E,458,1605102030,27,"LOS ANGELES, CA",02
1989,May,CRABMEAT DUNGENESS IN ATC,VENEZUELA,644,"10,171",3070,E,862,1605102030,10,"NEW YORK, NY",05
1989,June,CRABMEAT DUNGENESS IN ATC,VENEZUELA,699,"16,385",3070,E,862,1605102030,10,"NEW YORK, NY",06
1989,June,CRABMEAT DUNGENESS IN ATC,THAILAND,"2,384","6,073",5490,E,764,1605102030,49,"SAN JUAN, PR",06
1989,July,CRABMEAT DUNGENESS IN ATC,MEXICO,494,"5,445",2010,E,484,1605102030,26,"NOGALES, AZ",07
1989,September,CRABMEAT DUNGENESS IN ATC,MEXICO,912,"10,050",2010,E,484,1605102030,26,"NOGALES, AZ",09
1989,September,CRABMEAT DUNGENESS IN ATC,THAILAND,"3,573","7,197",5490,E,764,1605102030,49,"SAN JUAN, PR",09
1990,February,CRABMEAT DUNGENESS IN ATC,THAILAND,"1,789","3,593",5490,E,764,1605102030,49,"SAN JUAN, PR",02
1990,May,CRABMEAT DUNGENESS IN ATC,THAILAND,"9,044","75,345",5490,E,764,1605102030,27,"LOS ANGELES, CA",05
1990,June,CRABMEAT DUNGENESS IN ATC,CANADA,204,"4,230",1220,E,124,1605102030,30,"SEATTLE, WA",06
1990,July,CRAB DUNGENESS FROZEN,CANADA,"18,036","82,927",1220,E,124,0306144030,30,"SEATTLE, WA",07
1990,July,CRABMEAT DUNGENESS IN ATC,CANADA,953,"21,840",1220,E,124,1605102030,30,"SEATTLE, WA",07
1990,August,CRAB DUNGENESS FROZEN,CANADA,"2,061","12,405",1220,E,124,0306144030,30,"SEATTLE, WA",08
1990,August,CRABMEAT DUNGENESS FROZEN,CANADA,"22,684","317,220",1220,E,124,1605104015,01,"PORTLAND, ME",08
1990,October,CRAB DUNGENESS FROZEN,CANADA,"1,683","10,100",1220,E,124,0306144030,27,"LOS ANGELES, CA",10
1990,October,CRABMEAT DUNGENESS FROZEN,CANADA,"36,803","541,909",1220,E,124,1605104015,01,"PORTLAND, ME",10
1990,November,CRAB DUNGENESS FROZEN,CANADA,"2,470","14,973",1220,E,124,0306144030,30,"SEATTLE, WA",11
1990,November,CRABMEAT DUNGENESS IN ATC,THAILAND,"2,040","17,122",5490,E,764,1605102030,27,"LOS ANGELES, CA",11
1990,November,CRABMEAT DUNGENESS FROZEN,CANADA,"8,840","156,620",1220,E,124,1605104015,01,"PORTLAND, ME",11
1990,December,CRABMEAT DUNGENESS FROZEN,CANADA,"10,859","55,192",1220,E,124,1605104015,01,"PORTLAND, ME",12
1991,January,CRABMEAT DUNGENESS IN ATC,THAILAND,"1,882","5,403",5490,E,764,1605102030,49,"SAN JUAN, PR",01
1991,February,CRAB DUNGENESS FROZEN,CANADA,371,"2,047",1220,E,124,0306144030,30,"SEATTLE, WA",02
1991,February,CRABMEAT DUNGENESS IN ATC,THAILAND,"1,446","18,651",5490,E,764,1605102030,27,"LOS ANGELES, CA",02
1991,March,CRAB DUNGENESS FROZEN,CANADA,181,"1,500",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",03
1991,April,CRAB DUNGENESS FROZEN,CANADA,577,"4,400",1220,E,124,0306144030,27,"LOS ANGELES, CA",04
1991,April,CRAB DUNGENESS FROZEN,CANADA,763,"6,293",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",04
1991,May,CRAB DUNGENESS FROZEN,CANADA,"2,369","15,613",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",05
1991,June,CRAB DUNGENESS FROZEN,CANADA,441,"3,120",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",06
1991,June,CRAB DUNGENESS FROZEN,SOUTH KOREA,218,"1,635",5800,E,410,0306144030,10,"NEW YORK, NY",06
1991,July,CRAB DUNGENESS FROZEN,CANADA,"3,905","16,795",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",07
1991,July,CRAB DUNGENESS FROZEN,CANADA,454,"4,000",1220,E,124,0306144030,30,"SEATTLE, WA",07
1991,July,CRAB DUNGENESS FROZEN,CANADA,"3,324","17,509",1220,E,124,0306144030,32,"HONOLULU, HI",07
1991,August,CRAB DUNGENESS FROZEN,CANADA,"1,015","7,250",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",08
1991,August,CRAB DUNGENESS FROZEN,CANADA,"2,306","13,387",1220,E,124,0306144030,32,"HONOLULU, HI",08
1991,August,CRABMEAT DUNGENESS IN ATC,THAILAND,"2,826","7,384",5490,E,764,1605102030,49,"SAN JUAN, PR",08
1991,September,CRAB DUNGENESS FROZEN,CANADA,317,"1,925",1220,E,124,0306144030,27,"LOS ANGELES, CA",09
1991,September,CRAB DUNGENESS FROZEN,CANADA,"2,942","21,569",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",09
1991,September,CRAB DUNGENESS FROZEN,CANADA,"2,286","17,118",1220,E,124,0306144030,32,"HONOLULU, HI",09
1991,September,CRABMEAT DUNGENESS IN ATC,THAILAND,"2,041","18,277",5490,E,764,1605102030,27,"LOS ANGELES, CA",09
1991,October,CRAB DUNGENESS FROZEN,CANADA,"1,526","9,810",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",10
1991,October,CRAB DUNGENESS FROZEN,CANADA,"1,552","8,551",1220,E,124,0306144030,30,"SEATTLE, WA",10
1991,October,CRAB DUNGENESS FROZEN,CANADA,"3,550","17,676",1220,E,124,0306144030,32,"HONOLULU, HI",10
1991,November,CRAB DUNGENESS FROZEN,CANADA,454,"2,800",1220,E,124,0306144030,30,"SEATTLE, WA",11
1991,November,CRAB DUNGENESS FROZEN,CANADA,"1,939","10,373",1220,E,124,0306144030,32,"HONOLULU, HI",11
1991,December,CRAB DUNGENESS FROZEN,CANADA,286,"1,575",1220,E,124,0306144030,32,"HONOLULU, HI",12
1992,January,CRABMEAT DUNGENESS IN ATC,CHINA,"12,247","48,185",5700,E,156,1605102030,10,"NEW YORK, NY",01
1992,March,CRAB DUNGENESS FROZEN,JAPAN,"28,154","24,862",5880,E,392,0306144030,30,"SEATTLE, WA",03
1992,April,CRABMEAT DUNGENESS IN ATC,THAILAND,"2,041","18,633",5490,E,764,1605102030,27,"LOS ANGELES, CA",04
1992,May,CRABMEAT DUNGENESS IN ATC,THAILAND,"1,632","6,600",5490,E,764,1605102030,28,"SAN FRANCISCO, CA",05
1992,July,CRAB DUNGENESS FROZEN,CANADA,"1,677","13,873",1220,E,124,0306144030,30,"SEATTLE, WA",07
1992,July,CRABMEAT DUNGENESS IN ATC,MALAYSIA,"12,247","54,660",5570,E,458,1605102030,27,"LOS ANGELES, CA",07
1992,August,CRAB DUNGENESS FROZEN,CANADA,"2,268","11,225",1220,E,124,0306144030,30,"SEATTLE, WA",08
1992,August,CRAB DUNGENESS FROZEN,CANADA,"1,021","4,725",1220,E,124,0306144030,32,"HONOLULU, HI",08
1992,September,CRAB DUNGENESS FROZEN,CANADA,"1,361","8,250",1220,E,124,0306144030,27,"LOS ANGELES, CA",09
1992,September,CRAB DUNGENESS FROZEN,CANADA,635,"3,710",1220,E,124,0306144030,30,"SEATTLE, WA",09
1992,September,CRABMEAT DUNGENESS IN ATC,PHILIPPINES,90,"2,797",5650,E,608,1605102030,27,"LOS ANGELES, CA",09
1992,October,CRAB DUNGENESS FROZEN,CANADA,"1,970","5,238",1220,E,124,0306144030,30,"SEATTLE, WA",10
1992,October,CRABMEAT DUNGENESS FROZEN,CANADA,"18,697","173,809",1220,E,124,1605104015,01,"PORTLAND, ME",10
1992,November,CRABMEAT DUNGENESS IN ATC,CANADA,504,"9,533",1220,E,124,1605102030,30,"SEATTLE, WA",11
1992,November,CRABMEAT DUNGENESS FROZEN,CANADA,272,"4,350",1220,E,124,1605104015,30,"SEATTLE, WA",11
1992,December,CRAB DUNGENESS FROZEN,CANADA,"2,424","9,988",1220,E,124,0306144030,30,"SEATTLE, WA",12
1992,December,CRAB DUNGENESS FROZEN,CHILE,"1,840","5,988",3370,E,152,0306144030,52,"MIAMI, FL",12
1992,December,CRABMEAT DUNGENESS IN ATC,CANADA,66,"1,293",1220,E,124,1605102030,30,"SEATTLE, WA",12
1992,December,CRABMEAT DUNGENESS IN ATC,INDONESIA,"11,839","53,950",5600,E,360,1605102030,27,"LOS ANGELES, CA",12
1992,December,CRABMEAT DUNGENESS FROZEN,CANADA,394,"6,247",1220,E,124,1605104015,30,"SEATTLE, WA",12
1993,January,CRABMEAT DUNGENESS IN ATC,THAILAND,"1,159","3,345",5490,E,764,1605102030,49,"SAN JUAN, PR",01
1993,January,CRABMEAT DUNGENESS FROZEN,CANADA,"18,602","179,577",1220,E,124,1605104015,01,"PORTLAND, ME",01
1993,January,CRABMEAT DUNGENESS FROZEN,CANADA,145,"2,432",1220,E,124,1605104015,30,"SEATTLE, WA",01
1993,February,CRAB DUNGENESS FROZEN,CANADA,"3,633","12,797",1220,E,124,0306144030,30,"SEATTLE, WA",02
1993,March,CRAB DUNGENESS FROZEN,CANADA,272,"1,960",1220,E,124,0306144030,27,"LOS ANGELES, CA",03
1993,March,CRAB DUNGENESS FROZEN,CANADA,363,"1,760",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",03
1993,March,CRAB DUNGENESS FROZEN,CANADA,"3,123","15,143",1220,E,124,0306144030,30,"SEATTLE, WA",03
1993,March,CRABMEAT DUNGENESS IN ATC,CANADA,122,"1,890",1220,E,124,1605102030,30,"SEATTLE, WA",03
1993,March,CRABMEAT DUNGENESS FROZEN,CANADA,"11,817","109,025",1220,E,124,1605104015,01,"PORTLAND, ME",03
1993,April,CRAB DUNGENESS FROZEN,CANADA,458,"3,339",1220,E,124,0306144030,09,"BUFFALO, NY",04
1993,April,CRAB DUNGENESS FROZEN,CANADA,272,"1,505",1220,E,124,0306144030,27,"LOS ANGELES, CA",04
1993,April,CRAB DUNGENESS FROZEN,CANADA,"1,907","9,140",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",04
1993,April,CRAB DUNGENESS FROZEN,CANADA,998,"5,390",1220,E,124,0306144030,30,"SEATTLE, WA",04
1993,April,CRABMEAT DUNGENESS FROZEN,CANADA,182,"2,900",1220,E,124,1605104015,30,"SEATTLE, WA",04
1993,May,CRAB DUNGENESS FROZEN,CANADA,908,"4,400",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",05
1993,May,CRAB DUNGENESS FROZEN,CANADA,"4,978","24,556",1220,E,124,0306144030,30,"SEATTLE, WA",05
1993,June,CRAB DUNGENESS FROZEN,CANADA,"6,573","27,634",1220,E,124,0306144030,28,"SAN FRANCISCO, CA",06
1993,June,CRAB DUNGENESS FROZEN,CANADA,"4,072","22,027",1220,E,124,0306144030,30,"SEATTLE, WA",06
1993,June,CRABMEAT DUNGENESS FROZEN,CANADA,"4,170","21,747",1220,E,124,1605104015,01,"PORTLAND, ME",06
