,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"991,000","139,207",1220,N,124,0001845530,01,"PORTLAND, ME",01
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"193,000","34,705",1220,N,124,0001845530,02,"SAINT ALBANS, VT",01
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"844,000","141,974",1220,N,124,0001845530,07,"OGDENSBURG, NY",01
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"161,000","27,846",1220,N,124,0001845530,30,"SEATTLE, WA",01
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"38,000","5,769",1220,N,124,0001845530,34,"PEMBINA, ND",01
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"680,000","140,133",1220,N,124,0001845530,38,"DETROIT, MI",01
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",ST.PIERRE & MIQUELON,"109,000","18,600",1610,N,666,0001845530,04,"BOSTON, MA",01
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",PERU,"4,684,000","613,541",3330,N,604,0001845530,13,"BALTIMORE, MD",01
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",PERU,"8,838,000","1,333,160",3330,N,604,0001845530,19,"MOBILE, AL",01
1972,January,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",ARGENTINA,"64,000","21,727",3570,N,032,0001845530,37,"MILWAUKEE, WI",01
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"194,000","24,610",1220,N,124,0001845530,01,"PORTLAND, ME",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"181,000","37,810",1220,N,124,0001845530,02,"SAINT ALBANS, VT",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"171,000","36,498",1220,N,124,0001845530,07,"OGDENSBURG, NY",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"45,000","13,061",1220,N,124,0001845530,30,"SEATTLE, WA",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"590,000","120,149",1220,N,124,0001845530,38,"DETROIT, MI",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",PERU,"23,825,000","3,316,436",3330,N,604,0001845530,15,"CHARLOTTE, NC",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",PERU,"8,707,000","1,184,905",3330,N,604,0001845530,19,"MOBILE, AL",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",PERU,"6,557,000","988,304",3330,N,604,0001845530,21,"PORT ARTHUR, TX",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",SWEDEN,"68,000","15,406",4010,N,752,0001845530,53,"HOUSTON-GALVESTON, TX",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",NORWAY,"3,000,000","475,995",4039,N,578,0001845530,19,"MOBILE, AL",02
1972,February,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",POLAND,"337,000","54,080",4550,N,616,0001845530,04,"BOSTON, MA",02
1972,March,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"290,000","36,022",1220,N,124,0001845530,01,"PORTLAND, ME",03
1972,March,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"91,000","15,925",1220,N,124,0001845530,02,"SAINT ALBANS, VT",03
1972,March,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"45,000","9,451",1220,N,124,0001845530,07,"OGDENSBURG, NY",03
1972,March,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"258,000","52,417",1220,N,124,0001845530,30,"SEATTLE, WA",03
1972,March,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"16,000","2,432",1220,N,124,0001845530,34,"PEMBINA, ND",03
1972,March,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",CANADA,"318,000","59,994",1220,N,124,0001845530,38,"DETROIT, MI",03
1972,March,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",ST.PIERRE & MIQUELON,"54,000","10,080",1610,N,666,0001845530,04,"BOSTON, MA",03
1972,March,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",PERU,"6,061,000","864,240",3330,N,604,0001845530,13,"BALTIMORE, MD",03
1972,March,"FISH,SHELLFISH MEAL UNFIT FOR HUMAN CONSUMPTION",PERU,"2,122,000","320,082",3330,N,604,0001845530,15,"CHARLOTTE, NC",03
