,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,FROG FRESH/FROZEN,MEXICO,"1,035","1,740",2010,E,484,0001066000,25,"SAN DIEGO, CA",01
1972,January,FROG FRESH/FROZEN,INDIA,"98,411","117,494",5330,E,356,0001066000,10,"NEW YORK, NY",01
1972,January,FROG FRESH/FROZEN,INDONESIA,"10,002","17,300",5600,E,360,0001066000,10,"NEW YORK, NY",01
1972,January,FROG FRESH/FROZEN,INDONESIA,"32,441","57,551",5600,E,360,0001066000,30,"SEATTLE, WA",01
1972,January,FROG FRESH/FROZEN,JAPAN,"2,268","4,258",5880,E,392,0001066000,10,"NEW YORK, NY",01
1972,January,FROG FRESH/FROZEN,JAPAN,907,"1,500",5880,E,392,0001066000,14,"NORFOLK, VA",01
1972,January,FROG FRESH/FROZEN,JAPAN,"3,221","5,349",5880,E,392,0001066000,27,"LOS ANGELES, CA",01
1972,January,FROG FRESH/FROZEN,JAPAN,"13,608","24,962",5880,E,392,0001066000,28,"SAN FRANCISCO, CA",01
1972,January,FROG MEAT PREPARED/PRESERVED,JAPAN,259,"1,145",5880,E,392,0001076500,10,"NEW YORK, NY",01
1972,January,FROG MEAT PREPARED/PRESERVED,JAPAN,"1,556","6,156",5880,E,392,0001076500,13,"BALTIMORE, MD",01
1972,January,FROG MEAT PREPARED/PRESERVED,JAPAN,156,608,5880,E,392,0001076500,52,"MIAMI, FL",01
1972,February,FROG FRESH/FROZEN,CANADA,206,683,1220,E,124,0001066000,34,"PEMBINA, ND",02
1972,February,FROG FRESH/FROZEN,INDIA,"32,663","47,805",5330,E,356,0001066000,10,"NEW YORK, NY",02
1972,February,FROG FRESH/FROZEN,INDIA,"14,488","17,898",5330,E,356,0001066000,27,"LOS ANGELES, CA",02
1972,February,FROG FRESH/FROZEN,PAKISTAN,"10,723","10,492",5350,E,586,0001066000,10,"NEW YORK, NY",02
1972,February,FROG FRESH/FROZEN,MALAYSIA,490,"1,351",5570,E,458,0001066000,30,"SEATTLE, WA",02
1972,February,FROG FRESH/FROZEN,INDONESIA,"19,491","34,100",5600,E,360,0001066000,10,"NEW YORK, NY",02
1972,February,FROG FRESH/FROZEN,INDONESIA,"4,994","7,808",5600,E,360,0001066000,11,"PHILADELPHIA, PA",02
1972,February,FROG FRESH/FROZEN,JAPAN,"2,268","4,589",5880,E,392,0001066000,04,"BOSTON, MA",02
1972,February,FROG FRESH/FROZEN,JAPAN,"17,010","25,393",5880,E,392,0001066000,10,"NEW YORK, NY",02
1972,February,FROG FRESH/FROZEN,JAPAN,"2,268","4,254",5880,E,392,0001066000,28,"SAN FRANCISCO, CA",02
1972,February,FROG MEAT PREPARED/PRESERVED,JAPAN,"1,556","6,501",5880,E,392,0001076500,10,"NEW YORK, NY",02
1972,March,FROG FRESH/FROZEN,INDIA,"50,884","61,465",5330,E,356,0001066000,10,"NEW YORK, NY",03
1972,March,FROG FRESH/FROZEN,INDIA,"1,234","1,649",5330,E,356,0001066000,28,"SAN FRANCISCO, CA",03
1972,March,FROG FRESH/FROZEN,PAKISTAN,"2,268","3,525",5350,E,586,0001066000,10,"NEW YORK, NY",03
1972,March,FROG FRESH/FROZEN,MALAYSIA,200,547,5570,E,458,0001066000,27,"LOS ANGELES, CA",03
1972,March,FROG FRESH/FROZEN,SINGAPORE,885,"2,428",5590,E,702,0001066000,27,"LOS ANGELES, CA",03
1972,March,FROG FRESH/FROZEN,INDONESIA,"5,225","6,681",5600,E,360,0001066000,10,"NEW YORK, NY",03
1972,March,FROG FRESH/FROZEN,INDONESIA,"3,524","6,681",5600,E,360,0001066000,13,"BALTIMORE, MD",03
1972,March,FROG FRESH/FROZEN,JAPAN,"2,268","4,139",5880,E,392,0001066000,04,"BOSTON, MA",03
1972,March,FROG FRESH/FROZEN,JAPAN,"4,468","7,762",5880,E,392,0001066000,10,"NEW YORK, NY",03
1972,March,FROG FRESH/FROZEN,JAPAN,"9,979","19,671",5880,E,392,0001066000,27,"LOS ANGELES, CA",03
1972,March,FROG FRESH/FROZEN,JAPAN,"2,722","4,639",5880,E,392,0001066000,28,"SAN FRANCISCO, CA",03
1972,March,FROG FRESH/FROZEN,JAPAN,"4,536","8,926",5880,E,392,0001066000,30,"SEATTLE, WA",03
1972,March,FROG FRESH/FROZEN,JAPAN,544,"1,403",5880,E,392,0001066000,32,"HONOLULU, HI",03
1972,March,FROG MEAT PREPARED/PRESERVED,JAPAN,311,"1,194",5880,E,392,0001076500,10,"NEW YORK, NY",03
1972,April,FROG FRESH/FROZEN,NETHERLANDS,"13,549","16,130",4210,E,528,0001066000,10,"NEW YORK, NY",04
1972,April,FROG FRESH/FROZEN,INDIA,"57,415","71,549",5330,E,356,0001066000,10,"NEW YORK, NY",04
1972,April,FROG FRESH/FROZEN,INDONESIA,"14,787","19,527",5600,E,360,0001066000,10,"NEW YORK, NY",04
1972,April,FROG FRESH/FROZEN,INDONESIA,"2,449","3,631",5600,E,360,0001066000,11,"PHILADELPHIA, PA",04
1972,April,FROG FRESH/FROZEN,JAPAN,"2,268","3,195",5880,E,392,0001066000,10,"NEW YORK, NY",04
