,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2012,February,"JACK,HORSE MACKEREL FRESH",MEXICO,"1,427","8,225",2010,E,484,0302455000,17,"SAVANNAH, GA",02
2012,February,"JACK,HORSE MACKEREL FRESH",MEXICO,"9,542","50,538",2010,E,484,0302455000,52,"MIAMI, FL",02
2012,February,"JACK,HORSE MACKEREL FRESH",COSTA RICA,957,"5,623",2230,E,188,0302455000,17,"SAVANNAH, GA",02
2012,February,"JACK,HORSE MACKEREL FRESH",COSTA RICA,"3,797","23,574",2230,E,188,0302455000,52,"MIAMI, FL",02
2012,February,"JACK,HORSE MACKEREL FRESH",PANAMA,"2,062","18,338",2250,E,591,0302455000,17,"SAVANNAH, GA",02
2012,February,"JACK,HORSE MACKEREL FRESH",PANAMA,471,"4,411",2250,E,591,0302455000,41,"CLEVELAND, OH",02
2012,February,"JACK,HORSE MACKEREL FRESH",PANAMA,"16,592","113,290",2250,E,591,0302455000,52,"MIAMI, FL",02
2012,February,"JACK,HORSE MACKEREL FRESH",COLOMBIA,"15,336","118,959",3010,E,170,0302455000,52,"MIAMI, FL",02
2012,February,"JACK,HORSE MACKEREL FRESH",SURINAME,"19,136","130,972",3150,E,740,0302455000,52,"MIAMI, FL",02
2012,February,"JACK,HORSE MACKEREL FRESH",ECUADOR,"8,082","68,381",3310,E,218,0302455000,27,"LOS ANGELES, CA",02
2012,February,"JACK,HORSE MACKEREL FRESH",ECUADOR,"24,493","205,188",3310,E,218,0302455000,52,"MIAMI, FL",02
2012,February,"JACK,HORSE MACKEREL FRESH",CHILE,"2,893","28,794",3370,E,152,0302455000,52,"MIAMI, FL",02
2012,February,"JACK,HORSE MACKEREL FRESH",BRAZIL,"14,429","69,405",3510,E,076,0302455000,52,"MIAMI, FL",02
2012,February,"JACK,HORSE MACKEREL FRESH",SPAIN,254,"2,990",4700,E,724,0302455000,27,"LOS ANGELES, CA",02
2012,February,"JACK,HORSE MACKEREL FRESH",PORTUGAL,"2,951","23,258",4710,E,620,0302455000,04,"BOSTON, MA",02
2012,February,"JACK,HORSE MACKEREL FRESH",GREECE,"13,430","103,121",4840,E,300,0302455000,27,"LOS ANGELES, CA",02
2012,February,"JACK,HORSE MACKEREL FRESH",GREECE,"4,520","41,608",4840,E,300,0302455000,39,"CHICAGO, IL",02
2012,February,"JACK,HORSE MACKEREL FRESH",CYPRUS,"1,900","15,123",4910,E,196,0302455000,10,"NEW YORK, NY",02
2012,February,"JACK,HORSE MACKEREL FRESH",SOUTH KOREA,279,"7,627",5800,E,410,0302455000,27,"LOS ANGELES, CA",02
2012,February,"JACK,HORSE MACKEREL FRESH",JAPAN,"12,516","199,417",5880,E,392,0302455000,27,"LOS ANGELES, CA",02
2012,February,"JACK,HORSE MACKEREL FRESH",JAPAN,71,"2,262",5880,E,392,0302455000,28,"SAN FRANCISCO, CA",02
2012,February,"JACK,HORSE MACKEREL FRESH",JAPAN,646,"8,135",5880,E,392,0302455000,32,"HONOLULU, HI",02
2012,February,"JACK,HORSE MACKEREL FRESH",NEW ZEALAND,"15,456","146,822",6141,E,554,0302455000,27,"LOS ANGELES, CA",02
2012,February,"JACK,HORSE MACKEREL FRESH",FRENCH POLYNESIA,742,"4,675",6414,E,258,0302455000,27,"LOS ANGELES, CA",02
2012,February,"JACK,HORSE MACKEREL FRESH",FIJI,"3,765","7,531",6863,E,242,0302455000,27,"LOS ANGELES, CA",02
2012,February,"JACK,HORSE MACKEREL FRESH",TONGA,684,"7,919",6864,E,776,0302455000,27,"LOS ANGELES, CA",02
2012,February,"JACK,HORSE MACKEREL FROZEN",UNITED KINGDOM,"24,000","105,800",4120,E,826,0303550000,10,"NEW YORK, NY",02
