,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2012,February,JELLYFISH (RHOPILEMA SPP.) LIVE/FRESH/FROZEN/DRIED/SALTED/BRINE/SMOKED,JAPAN,402,"6,568",5880,E,392,0308300000,10,"NEW YORK, NY",02
2012,February,JELLYFISH PREPARED/PRESERVED,CHINA,"27,993","55,726",5700,E,156,1605630000,10,"NEW YORK, NY",02
2012,February,JELLYFISH PREPARED/PRESERVED,CHINA,600,"3,631",5700,E,156,1605630000,27,"LOS ANGELES, CA",02
2012,February,JELLYFISH PREPARED/PRESERVED,CHINA,"28,500","67,139",5700,E,156,1605630000,28,"SAN FRANCISCO, CA",02
2012,February,JELLYFISH PREPARED/PRESERVED,SOUTH KOREA,400,"2,292",5800,E,410,1605630000,10,"NEW YORK, NY",02
2012,March,JELLYFISH (RHOPILEMA SPP.) LIVE/FRESH/FROZEN/DRIED/SALTED/BRINE/SMOKED,MALAYSIA,"16,639","56,547",5570,E,458,0308300000,27,"LOS ANGELES, CA",03
2012,March,JELLYFISH (RHOPILEMA SPP.) LIVE/FRESH/FROZEN/DRIED/SALTED/BRINE/SMOKED,CHINA,"18,000","190,800",5700,E,156,0308300000,10,"NEW YORK, NY",03
2012,March,JELLYFISH (RHOPILEMA SPP.) LIVE/FRESH/FROZEN/DRIED/SALTED/BRINE/SMOKED,CHINA,"10,919","29,275",5700,E,156,0308300000,27,"LOS ANGELES, CA",03
2012,March,JELLYFISH (RHOPILEMA SPP.) LIVE/FRESH/FROZEN/DRIED/SALTED/BRINE/SMOKED,SOUTH KOREA,980,"4,293",5800,E,410,0308300000,27,"LOS ANGELES, CA",03
2012,March,JELLYFISH (RHOPILEMA SPP.) LIVE/FRESH/FROZEN/DRIED/SALTED/BRINE/SMOKED,JAPAN,355,"5,632",5880,E,392,0308300000,10,"NEW YORK, NY",03
2012,March,JELLYFISH PREPARED/PRESERVED,CHINA,"26,818","159,012",5700,E,156,1605630000,10,"NEW YORK, NY",03
2012,March,JELLYFISH PREPARED/PRESERVED,SOUTH KOREA,"2,179","11,281",5800,E,410,1605630000,10,"NEW YORK, NY",03
