,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,CRABMEAT KING IN ATC,THAILAND,"4,572","10,972",5490,E,764,1605102010,27,"LOS ANGELES, CA",01
1989,January,CRABMEAT KING IN ATC,MALAYSIA,"12,240","61,840",5570,E,458,1605102010,27,"LOS ANGELES, CA",01
1989,January,CRABMEAT KING IN ATC,SOUTH KOREA,"20,000","82,428",5800,E,410,1605102010,30,"SEATTLE, WA",01
1989,January,CRABMEAT KING FROZEN,JAPAN,"15,000","94,788",5880,E,392,1605104002,30,"SEATTLE, WA",01
1989,February,CRABMEAT KING IN ATC,MALAYSIA,"12,240","61,000",5570,E,458,1605102010,27,"LOS ANGELES, CA",02
1989,February,CRABMEAT KING FROZEN,JAPAN,"15,000","95,407",5880,E,392,1605104002,30,"SEATTLE, WA",02
1989,March,CRABMEAT KING IN ATC,MALAYSIA,"9,390","41,757",5570,E,458,1605102010,27,"LOS ANGELES, CA",03
1989,March,CRABMEAT KING IN ATC,CHINA,"12,240","62,335",5700,E,156,1605102010,27,"LOS ANGELES, CA",03
1989,March,CRABMEAT KING IN ATC,JAPAN,49,"1,133",5880,E,392,1605102010,32,"HONOLULU, HI",03
1989,March,CRABMEAT KING FROZEN,SOUTH KOREA,"11,349","86,242",5800,E,410,1605104002,10,"NEW YORK, NY",03
1989,April,CRABMEAT KING IN ATC,THAILAND,"12,247","45,000",5490,E,764,1605102010,27,"LOS ANGELES, CA",04
1989,April,CRABMEAT KING IN ATC,MALAYSIA,"4,200","13,228",5570,E,458,1605102010,49,"SAN JUAN, PR",04
1989,April,CRABMEAT KING FROZEN,JAPAN,"15,000","89,884",5880,E,392,1605104002,30,"SEATTLE, WA",04
1989,May,CRABMEAT KING IN ATC,MEXICO,"1,875","21,546",2010,E,484,1605102010,26,"NOGALES, AZ",05
1989,May,CRABMEAT KING IN ATC,THAILAND,"36,741","133,500",5490,E,764,1605102010,27,"LOS ANGELES, CA",05
1989,May,CRABMEAT KING IN ATC,MALAYSIA,"12,240","65,385",5570,E,458,1605102010,10,"NEW YORK, NY",05
1989,May,CRABMEAT KING FROZEN,JAPAN,"15,000","90,396",5880,E,392,1605104002,30,"SEATTLE, WA",05
1989,June,CRABMEAT KING IN ATC,THAILAND,"2,071","11,571",5490,E,764,1605102010,27,"LOS ANGELES, CA",06
1989,June,CRABMEAT KING IN ATC,JAPAN,65,"1,341",5880,E,392,1605102010,32,"HONOLULU, HI",06
1989,June,CRABMEAT KING FROZEN,JAPAN,"15,000","90,396",5880,E,392,1605104002,30,"SEATTLE, WA",06
1989,July,CRABMEAT KING IN ATC,INDONESIA,"12,240","61,301",5600,E,360,1605102010,10,"NEW YORK, NY",07
1989,July,CRABMEAT KING IN ATC,INDONESIA,"12,240","61,690",5600,E,360,1605102010,27,"LOS ANGELES, CA",07
1989,July,CRABMEAT KING IN ATC,CHINA - HONG KONG,"4,608","19,450",5820,E,344,1605102010,27,"LOS ANGELES, CA",07
1989,July,CRABMEAT KING IN ATC,TAIWAN,816,"5,300",5830,E,909,1605102010,32,"HONOLULU, HI",07
1989,July,CRABMEAT KING FROZEN,JAPAN,"15,000","90,396",5880,E,392,1605104002,30,"SEATTLE, WA",07
1989,August,CRABMEAT KING IN ATC,USSR,86,"2,761",4610,E,810,1605102010,10,"NEW YORK, NY",08
1989,August,CRABMEAT KING IN ATC,INDONESIA,"36,480","188,842",5600,E,360,1605102010,27,"LOS ANGELES, CA",08
1989,August,CRABMEAT KING IN ATC,CHINA,"41,719","150,045",5700,E,156,1605102010,27,"LOS ANGELES, CA",08
1989,September,CRABMEAT KING IN ATC,TAIWAN,612,"4,200",5830,E,909,1605102010,10,"NEW YORK, NY",09
1989,September,CRABMEAT KING IN ATC,JAPAN,162,"3,102",5880,E,392,1605102010,27,"LOS ANGELES, CA",09
1989,October,CRABMEAT KING IN ATC,MALAYSIA,"8,615","36,262",5570,E,458,1605102010,27,"LOS ANGELES, CA",10
1989,November,CRABMEAT KING IN ATC,MEXICO,"31,086","207,057",2010,E,484,1605102010,26,"NOGALES, AZ",11
1989,November,CRABMEAT KING IN ATC,THAILAND,799,"6,030",5490,E,764,1605102010,27,"LOS ANGELES, CA",11
1989,November,CRABMEAT KING IN ATC,MALAYSIA,"2,454","7,547",5570,E,458,1605102010,49,"SAN JUAN, PR",11
1989,November,CRABMEAT KING IN ATC,INDONESIA,"23,211","56,767",5600,E,360,1605102010,27,"LOS ANGELES, CA",11
1989,November,CRABMEAT KING IN ATC,JAPAN,188,"4,050",5880,E,392,1605102010,32,"HONOLULU, HI",11
1989,December,CRABMEAT KING IN ATC,MEXICO,"27,448","194,424",2010,E,484,1605102010,26,"NOGALES, AZ",12
1989,December,CRABMEAT KING IN ATC,MALAYSIA,"1,636","7,330",5570,E,458,1605102010,27,"LOS ANGELES, CA",12
1989,December,CRABMEAT KING IN ATC,INDONESIA,"8,040","29,702",5600,E,360,1605102010,27,"LOS ANGELES, CA",12
1990,January,CRABMEAT KING IN ATC,MEXICO,"19,304","60,603",2010,E,484,1605102010,26,"NOGALES, AZ",01
1990,January,CRABMEAT KING IN ATC,THAILAND,"4,083","27,450",5490,E,764,1605102010,27,"LOS ANGELES, CA",01
1990,January,CRABMEAT KING IN ATC,MALAYSIA,"6,124","28,254",5570,E,458,1605102010,27,"LOS ANGELES, CA",01
1990,January,CRABMEAT KING IN ATC,INDONESIA,"24,480","128,461",5600,E,360,1605102010,27,"LOS ANGELES, CA",01
1990,January,CRABMEAT KING IN ATC,CHINA,"12,540","57,000",5700,E,156,1605102010,27,"LOS ANGELES, CA",01
1990,January,CRABMEAT KING FROZEN,JAPAN,"15,000","82,245",5880,E,392,1605104002,30,"SEATTLE, WA",01
1990,February,CRABMEAT KING IN ATC,MEXICO,"1,351","9,753",2010,E,484,1605102010,26,"NOGALES, AZ",02
1990,February,CRABMEAT KING IN ATC,THAILAND,"4,491","34,750",5490,E,764,1605102010,27,"LOS ANGELES, CA",02
