,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1999,January,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"19,050","14,700",1220,N,124,0511993030,02,"SAINT ALBANS, VT",01
1999,January,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"1,038,646","275,509",1220,N,124,0511993030,07,"OGDENSBURG, NY",01
1999,January,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"176,668","33,811",1220,N,124,0511993030,09,"BUFFALO, NY",01
1999,January,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"182,762","112,289",1220,N,124,0511993030,38,"DETROIT, MI",01
1999,January,KRILL ANTARCTIC FOR ANIMAL FEED,DENMARK,"18,099","22,008",4099,N,208,0511993030,38,"DETROIT, MI",01
1999,January,KRILL ANTARCTIC FOR ANIMAL FEED,JAPAN,"74,844","49,252",5880,N,392,0511993030,27,"LOS ANGELES, CA",01
1999,January,KRILL ANTARCTIC FOR ANIMAL FEED,AUSTRALIA,"18,000","19,800",6021,N,036,0511993030,28,"SAN FRANCISCO, CA",01
1999,February,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"977,496","186,296",1220,N,124,0511993030,07,"OGDENSBURG, NY",02
1999,February,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"87,561","14,820",1220,N,124,0511993030,09,"BUFFALO, NY",02
1999,February,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"250,084","44,623",1220,N,124,0511993030,38,"DETROIT, MI",02
1999,February,KRILL ANTARCTIC FOR ANIMAL FEED,JAPAN,"37,422","24,577",5880,N,392,0511993030,27,"LOS ANGELES, CA",02
1999,February,KRILL ANTARCTIC FOR ANIMAL FEED,AUSTRALIA,"43,800","11,575",6021,N,036,0511993030,53,"HOUSTON-GALVESTON, TX",02
1999,February,KRILL ANTARCTIC FOR ANIMAL FEED,NEW ZEALAND,"59,670","54,796",6141,N,554,0511993030,11,"PHILADELPHIA, PA",02
1999,February,KRILL ANTARCTIC FOR ANIMAL FEED,NEW ZEALAND,"58,370","41,180",6141,N,554,0511993030,14,"NORFOLK, VA",02
1999,March,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"493,282","98,179",1220,N,124,0511993030,07,"OGDENSBURG, NY",03
1999,March,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"19,479","2,620",1220,N,124,0511993030,09,"BUFFALO, NY",03
1999,March,KRILL ANTARCTIC FOR ANIMAL FEED,CANADA,"175,591","33,143",1220,N,124,0511993030,38,"DETROIT, MI",03
1999,March,KRILL ANTARCTIC FOR ANIMAL FEED,ARGENTINA,"21,790","16,790",3570,N,032,0511993030,10,"NEW YORK, NY",03
