,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1991,July,LINGCOD FRESH,CANADA,"30,256","23,744",1220,E,124,0302694065,30,"SEATTLE, WA",07
1991,July,LINGCOD FRESH,MEXICO,"4,949","9,940",2010,E,484,0302694065,25,"SAN DIEGO, CA",07
1991,August,LINGCOD FRESH,CANADA,"78,194","66,045",1220,E,124,0302694065,30,"SEATTLE, WA",08
1991,September,LINGCOD FRESH,CANADA,"55,828","46,133",1220,E,124,0302694065,30,"SEATTLE, WA",09
1991,October,LINGCOD FRESH,CANADA,"28,749","36,176",1220,E,124,0302694065,30,"SEATTLE, WA",10
1991,November,LINGCOD FRESH,CANADA,"8,276","22,418",1220,E,124,0302694065,30,"SEATTLE, WA",11
1991,December,LINGCOD FRESH,CANADA,"5,224","8,141",1220,E,124,0302694065,30,"SEATTLE, WA",12
1992,January,LINGCOD FRESH,CANADA,"14,695","20,079",1220,E,124,0302694065,30,"SEATTLE, WA",01
1992,January,LINGCOD FRESH,MEXICO,"2,495","6,600",2010,E,484,0302694065,53,"HOUSTON-GALVESTON, TX",01
1992,January,LINGCOD FRESH,ECUADOR,"1,226","3,948",3310,E,218,0302694065,52,"MIAMI, FL",01
1992,February,LINGCOD FRESH,CANADA,"10,828","21,503",1220,E,124,0302694065,30,"SEATTLE, WA",02
1992,February,LINGCOD FRESH,MEXICO,"6,986","17,490",2010,E,484,0302694065,53,"HOUSTON-GALVESTON, TX",02
1992,March,LINGCOD FRESH,CANADA,"23,011","53,670",1220,E,124,0302694065,30,"SEATTLE, WA",03
1992,March,LINGCOD FRESH,MEXICO,"6,418","13,863",2010,E,484,0302694065,53,"HOUSTON-GALVESTON, TX",03
1992,April,LINGCOD FRESH,CANADA,"42,844","63,389",1220,E,124,0302694065,30,"SEATTLE, WA",04
1992,April,LINGCOD FRESH,MEXICO,"4,740","11,165",2010,E,484,0302694065,53,"HOUSTON-GALVESTON, TX",04
1992,May,LINGCOD FRESH,CANADA,"47,588","62,489",1220,E,124,0302694065,30,"SEATTLE, WA",05
1992,May,LINGCOD FRESH,MEXICO,"3,694","8,360",2010,E,484,0302694065,53,"HOUSTON-GALVESTON, TX",05
1992,June,LINGCOD FRESH,CANADA,"68,839","60,431",1220,E,124,0302694065,30,"SEATTLE, WA",06
1992,June,LINGCOD FRESH,MEXICO,"1,247","2,475",2010,E,484,0302694065,53,"HOUSTON-GALVESTON, TX",06
1992,July,LINGCOD FRESH,CANADA,"40,623","25,003",1220,E,124,0302694065,30,"SEATTLE, WA",07
1992,August,LINGCOD FRESH,CANADA,"31,502","20,359",1220,E,124,0302694065,30,"SEATTLE, WA",08
1992,September,LINGCOD FRESH,CANADA,381,"1,260",1220,E,124,0302694065,27,"LOS ANGELES, CA",09
1992,September,LINGCOD FRESH,CANADA,"34,311","37,862",1220,E,124,0302694065,30,"SEATTLE, WA",09
1992,October,LINGCOD FRESH,CANADA,"49,872","52,001",1220,E,124,0302694065,30,"SEATTLE, WA",10
1992,November,LINGCOD FRESH,CANADA,572,"1,512",1220,E,124,0302694065,27,"LOS ANGELES, CA",11
1992,November,LINGCOD FRESH,CANADA,"46,815","52,958",1220,E,124,0302694065,30,"SEATTLE, WA",11
1992,December,LINGCOD FRESH,CANADA,"4,571","13,425",1220,E,124,0302694065,30,"SEATTLE, WA",12
1993,January,LINGCOD FRESH,CANADA,"3,872","11,608",1220,E,124,0302694065,30,"SEATTLE, WA",01
1993,January,LINGCOD FRESH,MEXICO,998,"2,200",2010,E,484,0302694065,53,"HOUSTON-GALVESTON, TX",01
1993,February,LINGCOD FRESH,CANADA,"15,392","26,150",1220,E,124,0302694065,30,"SEATTLE, WA",02
1993,March,LINGCOD FRESH,CANADA,"66,012","72,052",1220,E,124,0302694065,30,"SEATTLE, WA",03
1993,April,LINGCOD FRESH,CANADA,"23,661","59,675",1220,E,124,0302694065,30,"SEATTLE, WA",04
1993,May,LINGCOD FRESH,CANADA,"110,018","121,255",1220,E,124,0302694065,30,"SEATTLE, WA",05
1993,June,LINGCOD FRESH,CANADA,460,"1,318",1220,E,124,0302694065,27,"LOS ANGELES, CA",06
1993,June,LINGCOD FRESH,CANADA,"136,180","118,469",1220,E,124,0302694065,30,"SEATTLE, WA",06
1993,July,LINGCOD FRESH,CANADA,"150,436","111,594",1220,E,124,0302694065,30,"SEATTLE, WA",07
1993,August,LINGCOD FRESH,CANADA,"82,142","70,843",1220,E,124,0302694065,30,"SEATTLE, WA",08
1993,August,LINGCOD FRESH,NICARAGUA,481,"1,759",2190,E,558,0302694065,53,"HOUSTON-GALVESTON, TX",08
1993,August,LINGCOD FRESH,ECUADOR,864,"4,379",3310,E,218,0302694065,27,"LOS ANGELES, CA",08
1993,September,LINGCOD FRESH,CANADA,"159,499","147,995",1220,E,124,0302694065,30,"SEATTLE, WA",09
1993,October,LINGCOD FRESH,CANADA,"225,843","226,521",1220,E,124,0302694065,30,"SEATTLE, WA",10
1993,November,LINGCOD FRESH,CANADA,"117,052","121,282",1220,E,124,0302694065,30,"SEATTLE, WA",11
1993,December,LINGCOD FRESH,CANADA,"33,180","21,412",1220,E,124,0302694065,30,"SEATTLE, WA",12
1993,December,LINGCOD FRESH,ECUADOR,"1,755","3,396",3310,E,218,0302694065,52,"MIAMI, FL",12
1994,January,LINGCOD FRESH,CANADA,"30,238","66,967",1220,E,124,0302694065,30,"SEATTLE, WA",01
1994,February,LINGCOD FRESH,CANADA,"25,739","61,895",1220,E,124,0302694065,30,"SEATTLE, WA",02
1994,March,LINGCOD FRESH,CANADA,"1,437","1,581",1220,E,124,0302694065,27,"LOS ANGELES, CA",03
1994,March,LINGCOD FRESH,CANADA,"55,692","77,521",1220,E,124,0302694065,30,"SEATTLE, WA",03
1994,March,LINGCOD FRESH,MEXICO,645,"1,886",2010,E,484,0302694065,26,"NOGALES, AZ",03
1994,April,LINGCOD FRESH,CANADA,"291,025","273,382",1220,E,124,0302694065,30,"SEATTLE, WA",04
1994,April,LINGCOD FRESH,ECUADOR,314,"1,524",3310,E,218,0302694065,52,"MIAMI, FL",04
1994,May,LINGCOD FRESH,CANADA,"235,493","262,273",1220,E,124,0302694065,30,"SEATTLE, WA",05
1994,June,LINGCOD FRESH,CANADA,"164,087","147,677",1220,E,124,0302694065,30,"SEATTLE, WA",06
1994,July,LINGCOD FRESH,CANADA,"285,802","262,985",1220,E,124,0302694065,30,"SEATTLE, WA",07
1994,August,LINGCOD FRESH,CANADA,"153,260","127,776",1220,E,124,0302694065,30,"SEATTLE, WA",08
1994,September,LINGCOD FRESH,CANADA,"158,293","200,877",1220,E,124,0302694065,30,"SEATTLE, WA",09
1994,October,LINGCOD FRESH,CANADA,"96,559","117,599",1220,E,124,0302694065,30,"SEATTLE, WA",10
1994,November,LINGCOD FRESH,CANADA,635,"1,960",1220,E,124,0302694065,27,"LOS ANGELES, CA",11
1994,November,LINGCOD FRESH,CANADA,"13,375","17,886",1220,E,124,0302694065,30,"SEATTLE, WA",11
1994,December,LINGCOD FRESH,CANADA,"33,462","28,367",1220,E,124,0302694065,30,"SEATTLE, WA",12
