,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1995,January,MONKFISH FRESH,CANADA,"15,585","38,977",1220,E,124,0302694075,01,"PORTLAND, ME",01
1995,February,MONKFISH FRESH,CANADA,"12,469","22,100",1220,E,124,0302694075,01,"PORTLAND, ME",02
1995,March,MONKFISH FRESH,CANADA,"8,900","17,226",1220,E,124,0302694075,01,"PORTLAND, ME",03
1995,April,MONKFISH FRESH,CANADA,"10,080","18,920",1220,E,124,0302694075,01,"PORTLAND, ME",04
1995,May,MONKFISH FRESH,CANADA,"4,933","11,836",1220,E,124,0302694075,01,"PORTLAND, ME",05
1995,June,MONKFISH FRESH,CANADA,"9,179","19,439",1220,E,124,0302694075,01,"PORTLAND, ME",06
1995,July,MONKFISH FRESH,CANADA,"28,032","58,712",1220,E,124,0302694075,01,"PORTLAND, ME",07
1995,August,MONKFISH FRESH,CANADA,"24,266","50,439",1220,E,124,0302694075,01,"PORTLAND, ME",08
1995,August,MONKFISH FROZEN,MEXICO,"8,000","20,000",2010,E,484,0303794030,25,"SAN DIEGO, CA",08
1995,September,MONKFISH FRESH,CANADA,"37,533","85,510",1220,E,124,0302694075,01,"PORTLAND, ME",09
1995,October,MONKFISH FRESH,CANADA,"30,884","77,081",1220,E,124,0302694075,01,"PORTLAND, ME",10
1995,November,MONKFISH FRESH,CANADA,"11,605","29,262",1220,E,124,0302694075,01,"PORTLAND, ME",11
1995,December,MONKFISH FRESH,CANADA,"20,908","78,542",1220,E,124,0302694075,01,"PORTLAND, ME",12
1996,January,MONKFISH FRESH,CANADA,"10,981","35,649",1220,E,124,0302694075,01,"PORTLAND, ME",01
1996,February,MONKFISH FRESH,CANADA,"6,728","16,866",1220,E,124,0302694075,01,"PORTLAND, ME",02
1996,March,MONKFISH FRESH,CANADA,"46,188","103,381",1220,E,124,0302694075,01,"PORTLAND, ME",03
1996,March,MONKFISH FROZEN,CANADA,"1,031","3,990",1220,E,124,0303794030,30,"SEATTLE, WA",03
1996,April,MONKFISH FRESH,CANADA,"8,686","17,569",1220,E,124,0302694075,01,"PORTLAND, ME",04
1996,May,MONKFISH FRESH,CANADA,"7,340","17,817",1220,E,124,0302694075,01,"PORTLAND, ME",05
1996,June,MONKFISH FRESH,CANADA,"8,055","15,015",1220,E,124,0302694075,01,"PORTLAND, ME",06
1996,June,MONKFISH FRESH,CANADA,544,"3,000",1220,E,124,0302694075,38,"DETROIT, MI",06
1996,July,MONKFISH FRESH,CANADA,"10,961","24,547",1220,E,124,0302694075,01,"PORTLAND, ME",07
1996,August,MONKFISH FRESH,CANADA,"32,295","71,247",1220,E,124,0302694075,01,"PORTLAND, ME",08
1996,September,MONKFISH FRESH,CANADA,"56,209","133,678",1220,E,124,0302694075,01,"PORTLAND, ME",09
1996,October,MONKFISH FRESH,CANADA,"9,004","21,070",1220,E,124,0302694075,01,"PORTLAND, ME",10
1996,October,MONKFISH FROZEN,GUYANA,"2,885","4,897",3120,E,328,0303794030,11,"PHILADELPHIA, PA",10
1996,November,MONKFISH FRESH,CANADA,"20,533","40,631",1220,E,124,0302694075,01,"PORTLAND, ME",11
1996,December,MONKFISH FRESH,CANADA,"15,728","39,224",1220,E,124,0302694075,01,"PORTLAND, ME",12
1997,January,MONKFISH FRESH,CANADA,"3,913","6,646",1220,E,124,0302694075,01,"PORTLAND, ME",01
1997,January,MONKFISH FROZEN,CANADA,748,"1,815",1220,E,124,0303794030,01,"PORTLAND, ME",01
1997,February,MONKFISH FRESH,CANADA,"15,554","30,715",1220,E,124,0302694075,01,"PORTLAND, ME",02
1997,March,MONKFISH FRESH,CANADA,"10,814","23,597",1220,E,124,0302694075,01,"PORTLAND, ME",03
1997,March,MONKFISH FROZEN,CANADA,"1,147","4,376",1220,E,124,0303794030,30,"SEATTLE, WA",03
1997,April,MONKFISH FRESH,CANADA,"28,245","67,678",1220,E,124,0302694075,01,"PORTLAND, ME",04
1997,May,MONKFISH FRESH,CANADA,"11,957","28,119",1220,E,124,0302694075,01,"PORTLAND, ME",05
1997,June,MONKFISH FRESH,CANADA,"16,403","46,399",1220,E,124,0302694075,01,"PORTLAND, ME",06
1997,June,MONKFISH FROZEN,CANADA,"1,006","4,089",1220,E,124,0303794030,30,"SEATTLE, WA",06
1997,July,MONKFISH FRESH,CANADA,"29,777","88,376",1220,E,124,0302694075,01,"PORTLAND, ME",07
1997,August,MONKFISH FRESH,CANADA,"33,513","61,245",1220,E,124,0302694075,01,"PORTLAND, ME",08
1997,September,MONKFISH FRESH,CANADA,"20,929","54,041",1220,E,124,0302694075,01,"PORTLAND, ME",09
1997,October,MONKFISH FRESH,CANADA,"3,803","10,124",1220,E,124,0302694075,01,"PORTLAND, ME",10
1997,October,MONKFISH FRESH,CANADA,680,"3,150",1220,E,124,0302694075,38,"DETROIT, MI",10
1997,November,MONKFISH FRESH,CANADA,"3,770","8,915",1220,E,124,0302694075,01,"PORTLAND, ME",11
1997,November,MONKFISH FROZEN,CANADA,730,"1,424",1220,E,124,0303794030,01,"PORTLAND, ME",11
1997,December,MONKFISH FRESH,CANADA,"4,250","16,020",1220,E,124,0302694075,01,"PORTLAND, ME",12
1998,January,MONKFISH FRESH,CANADA,"3,098","10,239",1220,E,124,0302694075,01,"PORTLAND, ME",01
1998,February,MONKFISH FRESH,CANADA,"3,975","14,152",1220,E,124,0302694075,01,"PORTLAND, ME",02
1998,March,MONKFISH FRESH,CANADA,"10,344","10,480",1220,E,124,0302694075,01,"PORTLAND, ME",03
1998,April,MONKFISH FRESH,CANADA,"3,564","9,973",1220,E,124,0302694075,01,"PORTLAND, ME",04
1998,April,MONKFISH FROZEN,MEXICO,"1,552","3,837",2010,E,484,0303794030,25,"SAN DIEGO, CA",04
1998,May,MONKFISH FRESH,CANADA,"2,443","9,400",1220,E,124,0302694075,01,"PORTLAND, ME",05
1998,May,MONKFISH FRESH,MEXICO,359,"1,267",2010,E,484,0302694075,27,"LOS ANGELES, CA",05
1998,May,MONKFISH FROZEN,MEXICO,"4,379","10,851",2010,E,484,0303794030,25,"SAN DIEGO, CA",05
1998,June,MONKFISH FRESH,CANADA,"6,843","19,402",1220,E,124,0302694075,01,"PORTLAND, ME",06
1998,June,MONKFISH FROZEN,MEXICO,816,"2,036",2010,E,484,0303794030,25,"SAN DIEGO, CA",06
1998,July,MONKFISH FRESH,CANADA,"19,937","54,845",1220,E,124,0302694075,01,"PORTLAND, ME",07
1998,July,MONKFISH FRESH,AUSTRALIA,"1,136","6,581",6021,E,036,0302694075,32,"HONOLULU, HI",07
1998,July,MONKFISH FRESH,NEW ZEALAND,"15,830","36,197",6141,E,554,0302694075,27,"LOS ANGELES, CA",07
1998,August,MONKFISH FRESH,CANADA,"5,639","14,311",1220,E,124,0302694075,01,"PORTLAND, ME",08
1998,September,MONKFISH FRESH,CANADA,"6,612","17,888",1220,E,124,0302694075,01,"PORTLAND, ME",09
1998,October,MONKFISH FRESH,CANADA,"8,215","28,027",1220,E,124,0302694075,01,"PORTLAND, ME",10
1998,October,MONKFISH FROZEN,CANADA,"1,810","4,179",1220,E,124,0303794030,01,"PORTLAND, ME",10
1998,November,MONKFISH FRESH,CANADA,"9,561","32,347",1220,E,124,0302694075,01,"PORTLAND, ME",11
1998,November,MONKFISH FRESH,HONDURAS,"4,717","10,400",2150,E,340,0302694075,52,"MIAMI, FL",11
1998,December,MONKFISH FRESH,CANADA,991,"3,277",1220,E,124,0302694075,01,"PORTLAND, ME",12
1999,January,MONKFISH FRESH,CANADA,728,"2,297",1220,E,124,0302694075,01,"PORTLAND, ME",01
1999,January,MONKFISH FRESH,NEW ZEALAND,"4,520","8,736",6141,E,554,0302694075,27,"LOS ANGELES, CA",01
1999,January,MONKFISH FROZEN,CHINA,"1,000","3,065",5700,E,156,0303794030,27,"LOS ANGELES, CA",01
1999,February,MONKFISH FRESH,CANADA,"19,069","50,253",1220,E,124,0302694075,01,"PORTLAND, ME",02
1999,February,MONKFISH FROZEN,CANADA,"5,780","31,409",1220,E,124,0303794030,01,"PORTLAND, ME",02
1999,March,MONKFISH FRESH,CANADA,"59,676","148,938",1220,E,124,0302694075,01,"PORTLAND, ME",03
1999,April,MONKFISH FRESH,CANADA,"2,878","11,980",1220,E,124,0302694075,01,"PORTLAND, ME",04
1999,April,MONKFISH FROZEN,CANADA,"3,168","8,534",1220,E,124,0303794030,01,"PORTLAND, ME",04
1999,May,MONKFISH FRESH,CANADA,"12,922","36,398",1220,E,124,0302694075,01,"PORTLAND, ME",05
1999,May,MONKFISH FROZEN,NEW ZEALAND,"16,510","46,657",6141,E,554,0303794030,11,"PHILADELPHIA, PA",05
1999,May,MONKFISH FROZEN,NEW ZEALAND,"17,493","111,869",6141,E,554,0303794030,18,"TAMPA, FL",05
1999,June,MONKFISH FRESH,CANADA,"3,630","11,050",1220,E,124,0302694075,01,"PORTLAND, ME",06
1999,June,MONKFISH FROZEN,MEXICO,"1,425","4,417",2010,E,484,0303794030,25,"SAN DIEGO, CA",06
1999,July,MONKFISH FRESH,CANADA,"11,275","37,164",1220,E,124,0302694075,01,"PORTLAND, ME",07
1999,July,MONKFISH FROZEN,CANADA,680,"6,525",1220,E,124,0303794030,30,"SEATTLE, WA",07
1999,August,MONKFISH FRESH,CANADA,"14,940","40,397",1220,E,124,0302694075,01,"PORTLAND, ME",08
