,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,MULLET FROZEN,MEXICO,767,"1,350",2010,E,484,0303794020,25,"SAN DIEGO, CA",01
1989,February,MULLET FROZEN,THAILAND,"6,012","7,808",5490,E,764,0303794020,10,"NEW YORK, NY",02
1989,April,MULLET FROZEN,THAILAND,"3,984","5,710",5490,E,764,0303794020,10,"NEW YORK, NY",04
1989,June,MULLET FROZEN,SURINAME,840,"1,680",3150,E,740,0303794020,10,"NEW YORK, NY",06
1989,June,MULLET FROZEN,THAILAND,"1,361","3,390",5490,E,764,0303794020,38,"DETROIT, MI",06
1989,July,MULLET FROZEN,TURKEY,"1,452","2,909",4890,E,792,0303794020,10,"NEW YORK, NY",07
1989,July,MULLET FROZEN,THAILAND,"2,760","3,858",5490,E,764,0303794020,27,"LOS ANGELES, CA",07
1989,September,MULLET FROZEN,JAPAN,227,"1,450",5880,E,392,0303794020,27,"LOS ANGELES, CA",09
1989,October,MULLET FROZEN,THAILAND,"8,916","10,984",5490,E,764,0303794020,10,"NEW YORK, NY",10
1989,November,MULLET FROZEN,THAILAND,"10,206","18,439",5490,E,764,0303794020,10,"NEW YORK, NY",11
1989,December,MULLET FROZEN,THAILAND,996,"1,381",5490,E,764,0303794020,27,"LOS ANGELES, CA",12
1990,January,MULLET FROZEN,THAILAND,"1,200","1,592",5490,E,764,0303794020,27,"LOS ANGELES, CA",01
1990,January,MULLET FROZEN,THAILAND,"17,310","53,238",5490,E,764,0303794020,38,"DETROIT, MI",01
1990,April,MULLET FROZEN,VENEZUELA,"1,500","3,000",3070,E,862,0303794020,52,"MIAMI, FL",04
1990,September,MULLET FROZEN,MEXICO,"1,528","1,320",2010,E,484,0303794020,25,"SAN DIEGO, CA",09
1990,September,MULLET FROZEN,SPAIN,"18,400","33,488",4700,E,724,0303794020,27,"LOS ANGELES, CA",09
1990,November,MULLET FROZEN,CHINA,720,"1,301",5700,E,156,0303794020,27,"LOS ANGELES, CA",11
1990,November,MULLET FROZEN,CHINA,"2,188","5,953",5700,E,156,0303794020,32,"HONOLULU, HI",11
1990,December,MULLET FROZEN,SIERRA LEONE,"12,088","29,770",7470,E,694,0303794020,27,"LOS ANGELES, CA",12
1990,December,MULLET ROE FROZEN,MEXICO,"2,225","35,653",2010,E,484,0303804060,23,"LAREDO, TX",12
1991,January,MULLET FROZEN,THAILAND,"8,056","19,463",5490,E,764,0303794020,38,"DETROIT, MI",01
1991,January,MULLET ROE FROZEN,MEXICO,590,"15,982",2010,E,484,0303804060,23,"LAREDO, TX",01
1991,February,MULLET FROZEN,THAILAND,"13,608","28,265",5490,E,764,0303794020,27,"LOS ANGELES, CA",02
1991,March,MULLET FROZEN,CANADA,"2,470","11,435",1220,E,124,0303794020,38,"DETROIT, MI",03
1991,May,MULLET FROZEN,CANADA,"18,160","20,000",1220,E,124,0303794020,09,"BUFFALO, NY",05
1991,June,MULLET FROZEN,CANADA,"36,288","39,872",1220,E,124,0303794020,02,"SAINT ALBANS, VT",06
1991,June,MULLET FROZEN,MEXICO,"3,330","2,765",2010,E,484,0303794020,25,"SAN DIEGO, CA",06
1991,June,MULLET FROZEN,THAILAND,"3,456","5,312",5490,E,764,0303794020,27,"LOS ANGELES, CA",06
1991,July,MULLET FROZEN,THAILAND,"6,325","9,529",5490,E,764,0303794020,27,"LOS ANGELES, CA",07
1991,August,MULLET ROE FROZEN,BRAZIL,"22,700","499,400",3510,E,076,0303804060,10,"NEW YORK, NY",08
1991,October,MULLET FROZEN,THAILAND,"1,620","4,107",5490,E,764,0303794020,09,"BUFFALO, NY",10
1991,October,MULLET ROE FROZEN,BRAZIL,"14,528","348,672",3510,E,076,0303804060,10,"NEW YORK, NY",10
1991,November,MULLET ROE FROZEN,MEXICO,"4,135","16,280",2010,E,484,0303804060,23,"LAREDO, TX",11
1991,December,MULLET ROE FROZEN,MEXICO,"13,296","51,417",2010,E,484,0303804060,23,"LAREDO, TX",12
1992,January,MULLET FROZEN,SENEGAL,"8,740","15,902",7440,E,686,0303794020,10,"NEW YORK, NY",01
1992,January,MULLET ROE FROZEN,MEXICO,"3,720","63,182",2010,E,484,0303804060,23,"LAREDO, TX",01
1992,February,MULLET FROZEN,CHRISTMAS IS.,"1,632","3,371",6024,E,162,0303794020,32,"HONOLULU, HI",02
