,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2012,February,NILE PERCH FRESH,CANADA,544,"4,320",1220,E,124,0302795025,38,"DETROIT, MI",02
2012,February,NILE PERCH FILLET FRESH,TANZANIA,"36,360","245,430",7830,E,834,0304330000,16,"CHARLESTON, SC",02
2012,February,NILE PERCH MEAT FRESH,UGANDA,"19,152","100,852",7780,E,800,0304510020,10,"NEW YORK, NY",02
2012,February,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",MEXICO,560,"2,380",2010,E,484,0305310000,23,"LAREDO, TX",02
2012,February,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",EL SALVADOR,"4,045","49,294",2110,E,222,0305310000,17,"SAVANNAH, GA",02
2012,February,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",EL SALVADOR,"5,506","68,760",2110,E,222,0305310000,53,"HOUSTON-GALVESTON, TX",02
2012,February,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",ARGENTINA,"22,780","33,909",3570,E,032,0305310000,10,"NEW YORK, NY",02
2012,February,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",THAILAND,669,"4,410",5490,E,764,0305310000,30,"SEATTLE, WA",02
2012,February,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",CHINA,"342,219","1,391,985",5700,E,156,0305310000,10,"NEW YORK, NY",02
2012,March,NILE PERCH FILLET FRESH,UGANDA,"1,200","11,040",7780,E,800,0304330000,52,"MIAMI, FL",03
2012,March,NILE PERCH FILLET FRESH,TANZANIA,"18,180","122,715",7830,E,834,0304330000,16,"CHARLESTON, SC",03
2012,March,NILE PERCH MEAT FRESH,UGANDA,"19,686","100,426",7780,E,800,0304510020,10,"NEW YORK, NY",03
2012,March,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",MEXICO,"3,097","79,846",2010,E,484,0305310000,11,"PHILADELPHIA, PA",03
2012,March,"CARP,CATFISH,EELS,NILE PERCH,SNAKEHEAD,TILAPIA FILLET DRIED/SALTED/BRINE",MEXICO,"4,002","104,051",2010,E,484,0305310000,15,"CHARLOTTE, NC",03
