,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1995,January,ORANGE ROUGHY FILLET FROZEN,AUSTRALIA,"16,560","164,536",6021,E,036,0304206075,27,"LOS ANGELES, CA",01
1995,January,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"27,798","298,007",6141,E,554,0304206075,11,"PHILADELPHIA, PA",01
1995,January,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"14,000","51,724",6141,E,554,0304206075,16,"CHARLESTON, SC",01
1995,January,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"18,210","179,361",6141,E,554,0304206075,18,"TAMPA, FL",01
1995,January,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"68,230","677,733",6141,E,554,0304206075,27,"LOS ANGELES, CA",01
1995,January,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"51,000","488,564",6141,E,554,0304206075,28,"SAN FRANCISCO, CA",01
1995,February,ORANGE ROUGHY FILLET FROZEN,AUSTRALIA,"17,000","178,021",6021,E,036,0304206075,11,"PHILADELPHIA, PA",02
1995,February,ORANGE ROUGHY FILLET FROZEN,AUSTRALIA,"51,335","516,460",6021,E,036,0304206075,27,"LOS ANGELES, CA",02
1995,February,ORANGE ROUGHY FILLET FROZEN,AUSTRALIA,"35,150","348,831",6021,E,036,0304206075,28,"SAN FRANCISCO, CA",02
1995,February,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"2,094","23,085",6141,E,554,0304206075,04,"BOSTON, MA",02
1995,February,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"272,032","2,492,312",6141,E,554,0304206075,11,"PHILADELPHIA, PA",02
1995,February,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"90,926","872,132",6141,E,554,0304206075,18,"TAMPA, FL",02
1995,February,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"95,658","982,775",6141,E,554,0304206075,27,"LOS ANGELES, CA",02
1995,February,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"80,680","794,038",6141,E,554,0304206075,28,"SAN FRANCISCO, CA",02
1995,February,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,600,"5,639",6141,E,554,0304206075,32,"HONOLULU, HI",02
1995,February,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"1,089","13,274",6141,E,554,0304206075,38,"DETROIT, MI",02
1995,March,ORANGE ROUGHY FILLET FROZEN,CANADA,"31,802","34,709",1220,E,124,0304206075,38,"DETROIT, MI",03
1995,March,ORANGE ROUGHY FILLET FROZEN,NETHERLANDS,200,"1,848",4210,E,528,0304206075,10,"NEW YORK, NY",03
1995,March,ORANGE ROUGHY FILLET FROZEN,THAILAND,441,"5,346",5490,E,764,0304206075,04,"BOSTON, MA",03
1995,March,ORANGE ROUGHY FILLET FROZEN,AUSTRALIA,"16,900","169,332",6021,E,036,0304206075,27,"LOS ANGELES, CA",03
1995,March,ORANGE ROUGHY FILLET FROZEN,NEW ZEALAND,"3,664","41,462",6141,E,554,0304206075,10,"NEW YORK, NY",03
