,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2012,January,AQUATIC INVERTEBRATES NSPF,CANADA,"3,221","74,894",1220,E,124,0308900000,01,"PORTLAND, ME",01
2012,January,AQUATIC INVERTEBRATES NSPF,CANADA,"2,318","192,500",1220,E,124,0308900000,30,"SEATTLE, WA",01
2012,January,AQUATIC INVERTEBRATES NSPF,MEXICO,"88,299","906,972",2010,E,484,0308900000,25,"SAN DIEGO, CA",01
2012,January,AQUATIC INVERTEBRATES NSPF,BELIZE,"29,484","338,250",2080,E,084,0308900000,52,"MIAMI, FL",01
2012,January,AQUATIC INVERTEBRATES NSPF,HAITI,255,"6,183",2450,E,332,0308900000,27,"LOS ANGELES, CA",01
2012,January,AQUATIC INVERTEBRATES NSPF,HAITI,"4,296","59,644",2450,E,332,0308900000,52,"MIAMI, FL",01
2012,January,AQUATIC INVERTEBRATES NSPF,PERU,"2,000","37,920",3330,E,604,0308900000,27,"LOS ANGELES, CA",01
2012,January,AQUATIC INVERTEBRATES NSPF,PERU,"22,659","113,527",3330,E,604,0308900000,52,"MIAMI, FL",01
2012,January,AQUATIC INVERTEBRATES NSPF,ARGENTINA,"11,780","86,041",3570,E,032,0308900000,27,"LOS ANGELES, CA",01
2012,January,AQUATIC INVERTEBRATES NSPF,SPAIN,"8,165","47,583",4700,E,724,0308900000,49,"SAN JUAN, PR",01
2012,January,AQUATIC INVERTEBRATES NSPF,TURKEY,180,"5,090",4890,E,792,0308900000,27,"LOS ANGELES, CA",01
2012,January,AQUATIC INVERTEBRATES NSPF,PAKISTAN,985,"4,118",5350,E,586,0308900000,10,"NEW YORK, NY",01
2012,January,AQUATIC INVERTEBRATES NSPF,THAILAND,"5,636","48,583",5490,E,764,0308900000,27,"LOS ANGELES, CA",01
2012,January,AQUATIC INVERTEBRATES NSPF,MALAYSIA,"7,056","77,616",5570,E,458,0308900000,09,"BUFFALO, NY",01
2012,January,AQUATIC INVERTEBRATES NSPF,INDONESIA,584,"24,040",5600,E,360,0308900000,28,"SAN FRANCISCO, CA",01
2012,January,AQUATIC INVERTEBRATES NSPF,CHINA,"15,781","65,632",5700,E,156,0308900000,10,"NEW YORK, NY",01
2012,January,AQUATIC INVERTEBRATES NSPF,CHINA,"1,929","41,348",5700,E,156,0308900000,27,"LOS ANGELES, CA",01
2012,January,AQUATIC INVERTEBRATES NSPF,CHINA,"19,720","58,260",5700,E,156,0308900000,28,"SAN FRANCISCO, CA",01
2012,January,AQUATIC INVERTEBRATES NSPF,CHINA,64,"3,182",5700,E,156,0308900000,32,"HONOLULU, HI",01
