,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,CRUSTACEANS NSPF FROZEN,CANADA,"42,817","46,974",1220,E,124,0306190090,30,"SEATTLE, WA",01
1989,January,CRUSTACEANS NSPF FROZEN,CANADA,"5,353","33,427",1220,E,124,0306190090,34,"PEMBINA, ND",01
1989,January,CRUSTACEANS NSPF FROZEN,BELIZE,"1,633","29,830",2080,E,084,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,EL SALVADOR,"5,176","70,716",2110,E,222,0306190090,52,"MIAMI, FL",01
1989,January,CRUSTACEANS NSPF FROZEN,HONDURAS,"8,782","147,650",2150,E,340,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,COSTA RICA,"14,532","255,267",2230,E,188,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,BAHAMAS,"5,443","97,200",2360,E,044,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,DOMINICAN REPUBLIC,"1,164","5,100",2470,E,214,0306190090,49,"SAN JUAN, PR",01
1989,January,CRUSTACEANS NSPF FROZEN,CHILE,"21,772","216,000",3370,E,152,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,BRAZIL,"17,325","312,072",3510,E,076,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,BRAZIL,"8,092","151,600",3510,E,076,0306190090,11,"PHILADELPHIA, PA",01
1989,January,CRUSTACEANS NSPF FROZEN,IRELAND,"12,193","33,647",4190,E,372,0306190090,04,"BOSTON, MA",01
1989,January,CRUSTACEANS NSPF FROZEN,SPAIN,501,"9,106",4700,E,724,0306190090,49,"SAN JUAN, PR",01
1989,January,CRUSTACEANS NSPF FROZEN,INDIA,"14,629","82,775",5330,E,356,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,INDIA,"1,397","12,859",5330,E,356,0306190090,27,"LOS ANGELES, CA",01
1989,January,CRUSTACEANS NSPF FROZEN,SRI LANKA,780,"7,986",5420,E,144,0306190090,27,"LOS ANGELES, CA",01
1989,January,CRUSTACEANS NSPF FROZEN,SRI LANKA,"1,488","15,123",5420,E,144,0306190090,28,"SAN FRANCISCO, CA",01
1989,January,CRUSTACEANS NSPF FROZEN,THAILAND,"6,804","77,105",5490,E,764,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,THAILAND,"2,800","6,160",5490,E,764,0306190090,27,"LOS ANGELES, CA",01
1989,January,CRUSTACEANS NSPF FROZEN,PHILIPPINES,966,"2,141",5650,E,608,0306190090,27,"LOS ANGELES, CA",01
1989,January,CRUSTACEANS NSPF FROZEN,CHINA - MACAO,"1,361","20,659",5660,E,446,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,CHINA - HONG KONG,"4,123","48,944",5820,E,344,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,TAIWAN,"7,711","88,190",5830,E,909,0306190090,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF FROZEN,JAPAN,"1,497","4,547",5880,E,392,0306190090,30,"SEATTLE, WA",01
1989,January,CRUSTACEANS NSPF FROZEN,AUSTRALIA,249,"5,863",6021,E,036,0306190090,28,"SAN FRANCISCO, CA",01
1989,January,CRUSTACEANS NSPF FROZEN,NEW ZEALAND,"9,562","270,397",6141,E,554,0306190090,11,"PHILADELPHIA, PA",01
1989,January,CRUSTACEANS NSPF FROZEN,NEW ZEALAND,"9,041","22,278",6141,E,554,0306190090,27,"LOS ANGELES, CA",01
1989,January,CRUSTACEANS NSPF LIVE/FRESH/DRIED/SALTED/BRINE,CANADA,"3,252","18,161",1220,E,124,0306290000,52,"MIAMI, FL",01
1989,January,CRUSTACEANS NSPF LIVE/FRESH/DRIED/SALTED/BRINE,NETHERLANDS,"11,440","23,280",4210,E,528,0306290000,10,"NEW YORK, NY",01
1989,January,CRUSTACEANS NSPF LIVE/FRESH/DRIED/SALTED/BRINE,THAILAND,"15,000","87,000",5490,E,764,0306290000,27,"LOS ANGELES, CA",01
1989,January,CRUSTACEANS NSPF LIVE/FRESH/DRIED/SALTED/BRINE,THAILAND,"1,072","3,430",5490,E,764,0306290000,28,"SAN FRANCISCO, CA",01
1989,January,CRUSTACEANS NSPF LIVE/FRESH/DRIED/SALTED/BRINE,CHINA,658,"4,182",5700,E,156,0306290000,28,"SAN FRANCISCO, CA",01
1989,January,CRUSTACEANS NSPF LIVE/FRESH/DRIED/SALTED/BRINE,JAPAN,37,"1,836",5880,E,392,0306290000,17,"SAVANNAH, GA",01
1989,January,CRUSTACEANS NSPF LIVE/FRESH/DRIED/SALTED/BRINE,JAPAN,111,"2,758",5880,E,392,0306290000,27,"LOS ANGELES, CA",01
1989,January,CRUSTACEANS NSPF PRODUCTS PREPARED DINNERS,SPAIN,"15,048","63,101",4700,E,724,1605400500,17,"SAVANNAH, GA",01
