,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,SALMON PINK FRESH,CANADA,"36,632","347,066",1220,E,124,0302120035,01,"PORTLAND, ME",01
1989,January,SALMON PINK FRESH,NETHERLANDS,851,"4,666",4210,E,528,0302120035,18,"TAMPA, FL",01
1989,January,SALMON PINK CANNED NOT IN OIL,CANADA,"122,854","693,607",1220,E,124,1604114020,30,"SEATTLE, WA",01
1989,January,SALMON PINK CANNED NOT IN OIL,SOUTH KOREA,"13,778","105,211",5800,E,410,1604114020,10,"NEW YORK, NY",01
1989,February,SALMON PINK CANNED NOT IN OIL,CANADA,"42,361","129,745",1220,E,124,1604114020,30,"SEATTLE, WA",02
1989,March,SALMON PINK FROZEN,CANADA,786,"3,463",1220,E,124,0303100035,30,"SEATTLE, WA",03
1989,March,SALMON PINK CANNED NOT IN OIL,CANADA,"15,546","112,450",1220,E,124,1604114020,30,"SEATTLE, WA",03
1989,April,SALMON PINK CANNED NOT IN OIL,CANADA,"41,925","267,814",1220,E,124,1604114020,30,"SEATTLE, WA",04
1989,June,SALMON PINK FRESH,NORWAY,590,"2,719",4039,E,578,0302120035,04,"BOSTON, MA",06
1989,June,SALMON PINK FROZEN,CANADA,"3,036","9,638",1220,E,124,0303100035,30,"SEATTLE, WA",06
1989,July,SALMON PINK FRESH,CANADA,"352,886","484,754",1220,E,124,0302120035,30,"SEATTLE, WA",07
1989,July,SALMON PINK FROZEN,CANADA,"20,734","64,930",1220,E,124,0303100035,30,"SEATTLE, WA",07
1989,July,SALMON PINK CANNED NOT IN OIL,SOUTH KOREA,"13,778","81,000",5800,E,410,1604114020,10,"NEW YORK, NY",07
1989,July,SALMON PINK CANNED NOT IN OIL,SOUTH KOREA,"13,778","81,000",5800,E,410,1604114020,16,"CHARLESTON, SC",07
1989,August,SALMON PINK FRESH,CANADA,"1,202,170","1,811,466",1220,E,124,0302120035,30,"SEATTLE, WA",08
1989,August,SALMON PINK FROZEN,CANADA,"209,529","529,737",1220,E,124,0303100035,30,"SEATTLE, WA",08
1989,August,SALMON PINK FROZEN,CANADA,"139,860","169,585",1220,E,124,0303100035,31,"ANCHORAGE, AK",08
1989,September,SALMON PINK FRESH,CANADA,"158,461","208,782",1220,E,124,0302120035,30,"SEATTLE, WA",09
1989,September,SALMON PINK FRESH,NORWAY,774,"2,758",4039,E,578,0302120035,18,"TAMPA, FL",09
1989,September,SALMON PINK FRESH,NORWAY,294,"1,553",4039,E,578,0302120035,35,"MINNEAPOLIS, MN",09
1989,September,SALMON PINK FROZEN,CANADA,"223,914","571,919",1220,E,124,0303100035,30,"SEATTLE, WA",09
1989,September,SALMON PINK FROZEN,SOUTH KOREA,"52,500","201,600",5800,E,410,0303100035,30,"SEATTLE, WA",09
