,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2012,March,"RAYS, SKATES FROZEN",CANADA,414,"3,196",1220,E,124,0303820000,30,"SEATTLE, WA",03
2012,June,"RAYS, SKATES FROZEN",CANADA,"1,082","8,590",1220,E,124,0303820000,30,"SEATTLE, WA",06
2012,August,"RAYS, SKATES FRESH",CANADA,511,"2,244",1220,E,124,0302820000,01,"PORTLAND, ME",08
2012,August,"RAYS, SKATES FROZEN",CANADA,"20,034","24,687",1220,E,124,0303820000,30,"SEATTLE, WA",08
2012,September,"RAYS, SKATES FROZEN",CANADA,"4,687","11,990",1220,E,124,0303820000,30,"SEATTLE, WA",09
2012,October,"RAYS, SKATES FROZEN",GUYANA,"5,283","6,970",3120,E,328,0303820000,10,"NEW YORK, NY",10
2012,October,"RAYS, SKATES FROZEN",GUYANA,"2,996","2,760",3120,E,328,0303820000,52,"MIAMI, FL",10
2012,November,"RAYS, SKATES FROZEN",GUYANA,"14,575","11,935",3120,E,328,0303820000,10,"NEW YORK, NY",11
2012,November,"RAYS, SKATES FROZEN",GUYANA,"3,222","2,760",3120,E,328,0303820000,52,"MIAMI, FL",11
2013,February,"RAYS, SKATES FROZEN",CANADA,"9,795","10,780",1220,E,124,0303820000,30,"SEATTLE, WA",02
2013,March,"RAYS, SKATES FRESH",CANADA,"2,772","3,100",1220,E,124,0302820000,30,"SEATTLE, WA",03
2013,April,"RAYS, SKATES FRESH",CANADA,"8,624","9,353",1220,E,124,0302820000,30,"SEATTLE, WA",04
2013,May,"RAYS, SKATES FRESH",CANADA,"4,716","5,113",1220,E,124,0302820000,30,"SEATTLE, WA",05
2013,June,"RAYS, SKATES FRESH",CANADA,"2,340","2,537",1220,E,124,0302820000,30,"SEATTLE, WA",06
2013,July,"RAYS, SKATES FRESH",MEXICO,"2,525","8,332",2010,E,484,0302820000,26,"NOGALES, AZ",07
2013,August,"RAYS, SKATES FRESH",MEXICO,"2,140","4,483",2010,E,484,0302820000,25,"SAN DIEGO, CA",08
2013,August,"RAYS, SKATES FRESH",MEXICO,"1,100","3,856",2010,E,484,0302820000,26,"NOGALES, AZ",08
2013,September,"RAYS, SKATES FROZEN",CANADA,"1,360","4,500",1220,E,124,0303820000,30,"SEATTLE, WA",09
2013,October,"RAYS, SKATES FRESH",MEXICO,"2,400","7,751",2010,E,484,0302820000,26,"NOGALES, AZ",10
