,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2002,April,REPTILE FRESH/FROZEN,TAIWAN,580,"3,687",5830,E,909,0208500000,10,"NEW YORK, NY",04
2002,April,REPTILE MEAT DRIED/SALTED/BRINE/SMOKED,CANADA,"1,419","11,620",1220,E,124,0210930000,09,"BUFFALO, NY",04
2002,October,REPTILE FRESH/FROZEN,EL SALVADOR,191,"2,637",2110,E,222,0208500000,17,"SAVANNAH, GA",10
2002,November,REPTILE MEAT DRIED/SALTED/BRINE/SMOKED,EL SALVADOR,270,"2,569",2110,E,222,0210930000,17,"SAVANNAH, GA",11
2003,January,REPTILE FRESH/FROZEN,EL SALVADOR,225,"2,270",2110,E,222,0208500000,17,"SAVANNAH, GA",01
2003,April,REPTILE FRESH/FROZEN,EL SALVADOR,163,"2,248",2110,E,222,0208500000,17,"SAVANNAH, GA",04
2003,May,REPTILE FRESH/FROZEN,EL SALVADOR,170,"2,349",2110,E,222,0208500000,17,"SAVANNAH, GA",05
2003,June,REPTILE FRESH/FROZEN,EL SALVADOR,158,"2,614",2110,E,222,0208500000,17,"SAVANNAH, GA",06
2003,July,REPTILE FRESH/FROZEN,EL SALVADOR,191,"3,155",2110,E,222,0208500000,17,"SAVANNAH, GA",07
2003,August,REPTILE FRESH/FROZEN,EL SALVADOR,172,"2,846",2110,E,222,0208500000,17,"SAVANNAH, GA",08
2003,October,REPTILE FRESH/FROZEN,EL SALVADOR,180,"2,971",2110,E,222,0208500000,17,"SAVANNAH, GA",10
2003,November,REPTILE FRESH/FROZEN,EL SALVADOR,182,"3,003",2110,E,222,0208500000,17,"SAVANNAH, GA",11
2003,December,REPTILE FRESH/FROZEN,EL SALVADOR,364,"6,008",2110,E,222,0208500000,17,"SAVANNAH, GA",12
2004,February,REPTILE FRESH/FROZEN,EL SALVADOR,343,"5,678",2110,E,222,0208500000,17,"SAVANNAH, GA",02
2004,April,REPTILE FRESH/FROZEN,EL SALVADOR,180,"2,979",2110,E,222,0208500000,17,"SAVANNAH, GA",04
2004,May,REPTILE FRESH/FROZEN,EL SALVADOR,274,"3,682",2110,E,222,0208500000,17,"SAVANNAH, GA",05
2004,June,REPTILE FRESH/FROZEN,EL SALVADOR,250,"4,136",2110,E,222,0208500000,17,"SAVANNAH, GA",06
2004,October,REPTILE FRESH/FROZEN,BOLIVIA,"2,500","19,170",3350,E,068,0208500000,52,"MIAMI, FL",10
2004,November,REPTILE FRESH/FROZEN,BOLIVIA,"5,000","38,588",3350,E,068,0208500000,52,"MIAMI, FL",11
2004,December,REPTILE FRESH/FROZEN,BOLIVIA,"14,000","115,763",3350,E,068,0208500000,52,"MIAMI, FL",12
2005,August,REPTILE FRESH/FROZEN,BOLIVIA,"5,000","36,778",3350,E,068,0208500000,52,"MIAMI, FL",08
2005,September,REPTILE FRESH/FROZEN,BOLIVIA,500,"3,310",3350,E,068,0208500000,52,"MIAMI, FL",09
2005,November,REPTILE FRESH/FROZEN,EL SALVADOR,211,"3,489",2110,E,222,0208500000,52,"MIAMI, FL",11
2005,November,REPTILE FRESH/FROZEN,BOLIVIA,"20,000","132,400",3350,E,068,0208500000,27,"LOS ANGELES, CA",11
2005,November,REPTILE FRESH/FROZEN,BOLIVIA,"20,000","132,400",3350,E,068,0208500000,52,"MIAMI, FL",11
2005,December,REPTILE FRESH/FROZEN,EL SALVADOR,483,"7,971",2110,E,222,0208500000,52,"MIAMI, FL",12
2006,April,REPTILE FRESH/FROZEN,EL SALVADOR,379,"6,257",2110,E,222,0208500000,52,"MIAMI, FL",04
2006,May,REPTILE FRESH/FROZEN,EL SALVADOR,379,"6,248",2110,E,222,0208500000,52,"MIAMI, FL",05
2006,September,REPTILE FRESH/FROZEN,EL SALVADOR,422,"4,571",2110,E,222,0208500000,52,"MIAMI, FL",09
2006,October,REPTILE FRESH/FROZEN,EL SALVADOR,415,"4,471",2110,E,222,0208500000,52,"MIAMI, FL",10
2006,December,REPTILE FRESH/FROZEN,EL SALVADOR,605,"8,351",2110,E,222,0208500000,52,"MIAMI, FL",12
2007,January,REPTILE FRESH/FROZEN,EL SALVADOR,396,"4,629",2110,E,222,0208500000,52,"MIAMI, FL",01
