,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,SABLEFISH FRESH,CANADA,"69,306","27,243",1220,E,124,0302694020,01,"PORTLAND, ME",01
1989,February,SABLEFISH FRESH,CANADA,"13,494","2,678",1220,E,124,0302694020,01,"PORTLAND, ME",02
1989,February,SABLEFISH FRESH,MEXICO,638,"2,317",2010,E,484,0302694020,23,"LAREDO, TX",02
1989,March,SABLEFISH FRESH,CANADA,"1,296","1,155",1220,E,124,0302694020,01,"PORTLAND, ME",03
1989,March,SABLEFISH FRESH,CANADA,"7,079","13,190",1220,E,124,0302694020,30,"SEATTLE, WA",03
1989,March,SABLEFISH FRESH,CANADA,"1,805","6,780",1220,E,124,0302694020,38,"DETROIT, MI",03
1989,March,SABLEFISH FRESH,MEXICO,"3,122","10,141",2010,E,484,0302694020,23,"LAREDO, TX",03
1989,April,SABLEFISH FRESH,CANADA,"19,420","29,171",1220,E,124,0302694020,30,"SEATTLE, WA",04
1989,May,SABLEFISH FRESH,CANADA,"3,353","3,496",1220,E,124,0302694020,01,"PORTLAND, ME",05
1989,May,SABLEFISH FRESH,CANADA,"36,449","54,248",1220,E,124,0302694020,30,"SEATTLE, WA",05
1989,May,SABLEFISH FROZEN,JAPAN,"4,288","38,160",5880,E,392,0303794060,27,"LOS ANGELES, CA",05
1989,June,SABLEFISH FRESH,CANADA,"14,942","30,808",1220,E,124,0302694020,30,"SEATTLE, WA",06
1989,June,SABLEFISH FRESH,GRENADA,168,"1,969",2489,E,308,0302694020,52,"MIAMI, FL",06
1989,July,SABLEFISH FRESH,CANADA,"29,531","17,486",1220,E,124,0302694020,01,"PORTLAND, ME",07
1989,July,SABLEFISH FRESH,CANADA,"5,189","9,769",1220,E,124,0302694020,30,"SEATTLE, WA",07
1989,July,SABLEFISH FRESH,ECUADOR,534,"1,705",3310,E,218,0302694020,52,"MIAMI, FL",07
1989,August,SABLEFISH FRESH,CANADA,"42,419","29,425",1220,E,124,0302694020,01,"PORTLAND, ME",08
1989,August,SABLEFISH FRESH,CANADA,"1,349","4,461",1220,E,124,0302694020,28,"SAN FRANCISCO, CA",08
1989,September,SABLEFISH FRESH,CANADA,"28,181","16,252",1220,E,124,0302694020,01,"PORTLAND, ME",09
1989,September,SABLEFISH FRESH,CANADA,"4,576","15,264",1220,E,124,0302694020,30,"SEATTLE, WA",09
1989,October,SABLEFISH FRESH,CANADA,"2,204","6,908",1220,E,124,0302694020,01,"PORTLAND, ME",10
1989,November,SABLEFISH FROZEN,SURINAME,"1,012","2,526",3150,E,740,0303794060,52,"MIAMI, FL",11
1989,November,SABLEFISH FROZEN,URUGUAY,"36,072","29,024",3550,E,858,0303794060,14,"NORFOLK, VA",11
