,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,SEA URCHIN LIVE/FRESH,CANADA,"13,717","25,257",1220,E,124,0307910020,01,"PORTLAND, ME",01
1989,January,SEA URCHIN LIVE/FRESH,CANADA,"3,914","29,527",1220,E,124,0307910020,02,"SAINT ALBANS, VT",01
1989,January,SEA URCHIN LIVE/FRESH,CANADA,"1,671","5,987",1220,E,124,0307910020,07,"OGDENSBURG, NY",01
1989,January,SEA URCHIN LIVE/FRESH,MEXICO,"37,553","470,936",2010,E,484,0307910020,25,"SAN DIEGO, CA",01
1989,January,SEA URCHIN LIVE/FRESH,JAPAN,43,"1,706",5880,E,392,0307910020,27,"LOS ANGELES, CA",01
1989,February,SEA URCHIN LIVE/FRESH,CANADA,"1,588","1,225",1220,E,124,0307910020,01,"PORTLAND, ME",02
1989,February,SEA URCHIN LIVE/FRESH,CANADA,"3,514","20,141",1220,E,124,0307910020,02,"SAINT ALBANS, VT",02
1989,February,SEA URCHIN LIVE/FRESH,MEXICO,"30,305","306,195",2010,E,484,0307910020,25,"SAN DIEGO, CA",02
1989,February,SEA URCHIN LIVE/FRESH,TURKS & CAICOS IS.,"2,034","11,610",2430,E,796,0307910020,52,"MIAMI, FL",02
1989,March,SEA URCHIN LIVE/FRESH,CANADA,"2,033","1,344",1220,E,124,0307910020,01,"PORTLAND, ME",03
1989,March,SEA URCHIN LIVE/FRESH,CANADA,"2,296","17,185",1220,E,124,0307910020,02,"SAINT ALBANS, VT",03
1989,March,SEA URCHIN LIVE/FRESH,MEXICO,859,"13,442",2010,E,484,0307910020,25,"SAN DIEGO, CA",03
1989,March,SEA URCHIN LIVE/FRESH,ICELAND,299,"1,300",4000,E,352,0307910020,10,"NEW YORK, NY",03
1989,April,SEA URCHIN LIVE/FRESH,CANADA,"2,986","2,300",1220,E,124,0307910020,01,"PORTLAND, ME",04
1989,April,SEA URCHIN LIVE/FRESH,CANADA,"2,241","13,159",1220,E,124,0307910020,02,"SAINT ALBANS, VT",04
1989,April,SEA URCHIN LIVE/FRESH,JAPAN,23,"1,379",5880,E,392,0307910020,27,"LOS ANGELES, CA",04
1989,May,SEA URCHIN LIVE/FRESH,CANADA,144,"2,320",1220,E,124,0307910020,02,"SAINT ALBANS, VT",05
1989,May,SEA URCHIN LIVE/FRESH,JAPAN,37,"1,271",5880,E,392,0307910020,27,"LOS ANGELES, CA",05
1989,June,SEA URCHIN LIVE/FRESH,MEXICO,"22,919","262,935",2010,E,484,0307910020,25,"SAN DIEGO, CA",06
1989,June,SEA URCHIN LIVE/FRESH,JAPAN,37,"1,271",5880,E,392,0307910020,27,"LOS ANGELES, CA",06
1989,July,SEA URCHIN LIVE/FRESH,MEXICO,"33,576","453,770",2010,E,484,0307910020,25,"SAN DIEGO, CA",07
1989,August,SEA URCHIN LIVE/FRESH,MEXICO,"49,224","617,903",2010,E,484,0307910020,25,"SAN DIEGO, CA",08
1989,September,SEA URCHIN LIVE/FRESH,MEXICO,"35,411","523,254",2010,E,484,0307910020,25,"SAN DIEGO, CA",09
1989,October,SEA URCHIN LIVE/FRESH,MEXICO,"42,417","635,473",2010,E,484,0307910020,25,"SAN DIEGO, CA",10
1989,October,SEA URCHIN LIVE/FRESH,JAPAN,49,"2,011",5880,E,392,0307910020,27,"LOS ANGELES, CA",10
1989,November,SEA URCHIN LIVE/FRESH,MEXICO,"51,182","824,899",2010,E,484,0307910020,25,"SAN DIEGO, CA",11
1989,December,SEA URCHIN LIVE/FRESH,CANADA,"3,629","2,000",1220,E,124,0307910020,01,"PORTLAND, ME",12
1989,December,SEA URCHIN LIVE/FRESH,MEXICO,"36,160","535,765",2010,E,484,0307910020,25,"SAN DIEGO, CA",12
1989,December,SEA URCHIN LIVE/FRESH,JAPAN,"2,823","10,115",5880,E,392,0307910020,27,"LOS ANGELES, CA",12
1990,January,SEA URCHIN LIVE/FRESH,CANADA,"2,366","1,643",1220,E,124,0307910020,01,"PORTLAND, ME",01
1990,January,SEA URCHIN LIVE/FRESH,MEXICO,"10,206","163,235",2010,E,484,0307910020,25,"SAN DIEGO, CA",01
1990,February,SEA URCHIN LIVE/FRESH,CANADA,"5,321","4,104",1220,E,124,0307910020,01,"PORTLAND, ME",02
1990,February,SEA URCHIN LIVE/FRESH,CANADA,898,"2,970",1220,E,124,0307910020,27,"LOS ANGELES, CA",02
1990,February,SEA URCHIN LIVE/FRESH,MEXICO,"15,430","239,797",2010,E,484,0307910020,25,"SAN DIEGO, CA",02
1990,March,SEA URCHIN LIVE/FRESH,CANADA,"3,125","4,505",1220,E,124,0307910020,01,"PORTLAND, ME",03
1990,March,SEA URCHIN LIVE/FRESH,MEXICO,"14,367","221,209",2010,E,484,0307910020,25,"SAN DIEGO, CA",03
1990,April,SEA URCHIN LIVE/FRESH,CANADA,"2,223","3,561",1220,E,124,0307910020,01,"PORTLAND, ME",04
1990,April,SEA URCHIN LIVE/FRESH,CANADA,"1,426","1,729",1220,E,124,0307910020,30,"SEATTLE, WA",04
1990,April,SEA URCHIN LIVE/FRESH,MEXICO,"3,972","30,594",2010,E,484,0307910020,25,"SAN DIEGO, CA",04
1990,April,SEA URCHIN LIVE/FRESH,NORWAY,500,"2,000",4039,E,578,0307910020,10,"NEW YORK, NY",04
1990,May,SEA URCHIN LIVE/FRESH,CANADA,"4,980","5,491",1220,E,124,0307910020,30,"SEATTLE, WA",05
1990,July,SEA URCHIN LIVE/FRESH,MEXICO,"34,151","543,160",2010,E,484,0307910029,25,"SAN DIEGO, CA",07
1990,July,SEA URCHIN LIVE/FRESH,TURKS & CAICOS IS.,"5,706","24,560",2430,E,796,0307910029,52,"MIAMI, FL",07
1990,August,SEA URCHIN ROE FRESH,MEXICO,984,"17,323",2010,E,484,0307910021,27,"LOS ANGELES, CA",08
1990,August,SEA URCHIN LIVE/FRESH,MEXICO,"66,034","1,082,748",2010,E,484,0307910029,25,"SAN DIEGO, CA",08
1990,August,SEA URCHIN LIVE/FRESH,TURKS & CAICOS IS.,"7,563","33,412",2430,E,796,0307910029,52,"MIAMI, FL",08
1990,September,SEA URCHIN ROE FRESH,MEXICO,303,"5,734",2010,E,484,0307910021,27,"LOS ANGELES, CA",09
1990,September,SEA URCHIN LIVE/FRESH,MEXICO,"40,465","672,122",2010,E,484,0307910029,25,"SAN DIEGO, CA",09
1990,September,SEA URCHIN LIVE/FRESH,JAMAICA,"1,776","7,500",2410,E,388,0307910029,52,"MIAMI, FL",09
1990,September,SEA URCHIN LIVE/FRESH,TURKS & CAICOS IS.,"2,154","12,587",2430,E,796,0307910029,52,"MIAMI, FL",09
1990,September,SEA URCHIN LIVE/FRESH,CHILE,182,"1,835",3370,E,152,0307910029,27,"LOS ANGELES, CA",09
1990,September,SEA URCHIN LIVE/FRESH,NORWAY,500,"1,800",4039,E,578,0307910029,10,"NEW YORK, NY",09
1990,October,SEA URCHIN LIVE/FRESH,CANADA,"1,633","1,260",1220,E,124,0307910029,01,"PORTLAND, ME",10
1990,October,SEA URCHIN LIVE/FRESH,MEXICO,"44,675","752,541",2010,E,484,0307910029,25,"SAN DIEGO, CA",10
1990,October,SEA URCHIN LIVE/FRESH,TURKS & CAICOS IS.,"1,923","9,570",2430,E,796,0307910029,52,"MIAMI, FL",10
1990,October,SEA URCHIN LIVE/FRESH,NORWAY,500,"1,800",4039,E,578,0307910029,10,"NEW YORK, NY",10
1990,November,SEA URCHIN ROE FRESH,CANADA,"1,107","2,000",1220,E,124,0307910021,01,"PORTLAND, ME",11
1990,November,SEA URCHIN LIVE/FRESH,CANADA,"1,691","4,661",1220,E,124,0307910029,01,"PORTLAND, ME",11
1990,November,SEA URCHIN LIVE/FRESH,MEXICO,"33,854","603,715",2010,E,484,0307910029,25,"SAN DIEGO, CA",11
1990,November,SEA URCHIN LIVE/FRESH,TURKS & CAICOS IS.,703,"3,410",2430,E,796,0307910029,52,"MIAMI, FL",11
1990,November,SEA URCHIN LIVE/FRESH,NORWAY,980,"3,528",4039,E,578,0307910029,10,"NEW YORK, NY",11
1990,December,SEA URCHIN LIVE/FRESH,CANADA,"1,315","1,880",1220,E,124,0307910029,01,"PORTLAND, ME",12
1990,December,SEA URCHIN LIVE/FRESH,CANADA,"1,800","1,730",1220,E,124,0307910029,10,"NEW YORK, NY",12
