,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2012,February,SEABREAM (SPARIDAE) FRESH,GREECE,"15,730","117,976",4840,E,300,0302855000,10,"NEW YORK, NY",02
2012,February,SEABREAM (SPARIDAE) FRESH,GREECE,460,"3,349",4840,E,300,0302855000,27,"LOS ANGELES, CA",02
2012,February,SEABREAM (SPARIDAE) FRESH,GREECE,"1,200","12,228",4840,E,300,0302855000,52,"MIAMI, FL",02
2012,February,SEABREAM (SPARIDAE) FRESH,CYPRUS,"1,000","9,630",4910,E,196,0302855000,28,"SAN FRANCISCO, CA",02
2012,February,SEABREAM (SPARIDAE) FRESH,SOUTH KOREA,87,"2,676",5800,E,410,0302855000,27,"LOS ANGELES, CA",02
2012,February,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,738","26,221",5880,E,392,0302855000,10,"NEW YORK, NY",02
2012,February,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,295","17,136",5880,E,392,0302855000,27,"LOS ANGELES, CA",02
2012,February,SEABREAM (SPARIDAE) FRESH,JAPAN,594,"7,234",5880,E,392,0302855000,28,"SAN FRANCISCO, CA",02
2012,February,SEABREAM (SPARIDAE) FRESH,JAPAN,335,"4,184",5880,E,392,0302855000,32,"HONOLULU, HI",02
2012,February,SEABREAM (SPARIDAE) FRESH,JAPAN,713,"8,987",5880,E,392,0302855000,55,"DALLAS-FORT WORTH, TX",02
2012,March,SEABREAM (SPARIDAE) FRESH,GREECE,"22,251","169,439",4840,E,300,0302855000,10,"NEW YORK, NY",03
2012,March,SEABREAM (SPARIDAE) FRESH,GREECE,"1,310","8,533",4840,E,300,0302855000,27,"LOS ANGELES, CA",03
2012,March,SEABREAM (SPARIDAE) FRESH,TURKEY,620,"4,188",4890,E,792,0302855000,27,"LOS ANGELES, CA",03
2012,March,SEABREAM (SPARIDAE) FRESH,CYPRUS,"1,100","6,107",4910,E,196,0302855000,27,"LOS ANGELES, CA",03
2012,March,SEABREAM (SPARIDAE) FRESH,CYPRUS,"1,400","13,270",4910,E,196,0302855000,28,"SAN FRANCISCO, CA",03
2012,March,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,508","22,495",5880,E,392,0302855000,10,"NEW YORK, NY",03
2012,March,SEABREAM (SPARIDAE) FRESH,JAPAN,338,"4,564",5880,E,392,0302855000,27,"LOS ANGELES, CA",03
2012,March,SEABREAM (SPARIDAE) FRESH,JAPAN,844,"9,909",5880,E,392,0302855000,28,"SAN FRANCISCO, CA",03
2012,April,SEABREAM (SPARIDAE) FRESH NOT > 6.8KG,GREECE,250,"2,700",4840,E,300,0302851100,52,"MIAMI, FL",04
2012,April,SEABREAM (SPARIDAE) FRESH,SPAIN,240,"2,466",4700,E,724,0302855000,10,"NEW YORK, NY",04
2012,April,SEABREAM (SPARIDAE) FRESH,ITALY,80,"2,306",4759,E,380,0302855000,27,"LOS ANGELES, CA",04
2012,April,SEABREAM (SPARIDAE) FRESH,GREECE,"21,330","167,430",4840,E,300,0302855000,10,"NEW YORK, NY",04
2012,April,SEABREAM (SPARIDAE) FRESH,GREECE,"1,330","9,258",4840,E,300,0302855000,27,"LOS ANGELES, CA",04
2012,April,SEABREAM (SPARIDAE) FRESH,TURKEY,"1,030","6,875",4890,E,792,0302855000,27,"LOS ANGELES, CA",04
2012,April,SEABREAM (SPARIDAE) FRESH,CYPRUS,"1,490","9,494",4910,E,196,0302855000,27,"LOS ANGELES, CA",04
2012,April,SEABREAM (SPARIDAE) FRESH,CYPRUS,"1,120","10,514",4910,E,196,0302855000,28,"SAN FRANCISCO, CA",04
2012,April,SEABREAM (SPARIDAE) FRESH,TAIWAN,503,"4,197",5830,E,909,0302855000,32,"HONOLULU, HI",04
2012,April,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,646","22,020",5880,E,392,0302855000,10,"NEW YORK, NY",04
2012,April,SEABREAM (SPARIDAE) FRESH,JAPAN,648,"8,458",5880,E,392,0302855000,27,"LOS ANGELES, CA",04
2012,April,SEABREAM (SPARIDAE) FRESH,JAPAN,731,"9,016",5880,E,392,0302855000,28,"SAN FRANCISCO, CA",04
2012,April,SEABREAM (SPARIDAE) FRESH,JAPAN,164,"2,006",5880,E,392,0302855000,55,"DALLAS-FORT WORTH, TX",04
2012,April,SEABREAM (SPARIDAE) FRESH,TUNISIA,400,"3,080",7230,E,788,0302855000,10,"NEW YORK, NY",04
2012,May,SEABREAM (SPARIDAE) FRESH,SPAIN,456,"4,851",4700,E,724,0302855000,10,"NEW YORK, NY",05
2012,May,SEABREAM (SPARIDAE) FRESH,ITALY,84,"2,108",4759,E,380,0302855000,27,"LOS ANGELES, CA",05
2012,May,SEABREAM (SPARIDAE) FRESH,GREECE,"21,120","180,168",4840,E,300,0302855000,10,"NEW YORK, NY",05
2012,May,SEABREAM (SPARIDAE) FRESH,CYPRUS,"2,590","22,419",4910,E,196,0302855000,27,"LOS ANGELES, CA",05
2012,May,SEABREAM (SPARIDAE) FRESH,CYPRUS,850,"7,972",4910,E,196,0302855000,28,"SAN FRANCISCO, CA",05
2012,May,SEABREAM (SPARIDAE) FRESH,JAPAN,"2,448","36,410",5880,E,392,0302855000,10,"NEW YORK, NY",05
2012,May,SEABREAM (SPARIDAE) FRESH,JAPAN,171,"2,262",5880,E,392,0302855000,27,"LOS ANGELES, CA",05
2012,May,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,382","18,283",5880,E,392,0302855000,28,"SAN FRANCISCO, CA",05
2012,May,SEABREAM (SPARIDAE) FRESH,JAPAN,660,"8,599",5880,E,392,0302855000,55,"DALLAS-FORT WORTH, TX",05
2012,June,SEABREAM (SPARIDAE) FRESH,GREECE,"19,930","160,550",4840,E,300,0302855000,10,"NEW YORK, NY",06
2012,June,SEABREAM (SPARIDAE) FRESH,CYPRUS,"3,240","26,612",4910,E,196,0302855000,27,"LOS ANGELES, CA",06
2012,June,SEABREAM (SPARIDAE) FRESH,CYPRUS,710,"6,572",4910,E,196,0302855000,28,"SAN FRANCISCO, CA",06
2012,June,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,290","20,709",5880,E,392,0302855000,10,"NEW YORK, NY",06
2012,June,SEABREAM (SPARIDAE) FRESH,JAPAN,155,"3,223",5880,E,392,0302855000,27,"LOS ANGELES, CA",06
2012,June,SEABREAM (SPARIDAE) FRESH,JAPAN,701,"10,048",5880,E,392,0302855000,28,"SAN FRANCISCO, CA",06
2012,June,SEABREAM (SPARIDAE) FRESH,JAPAN,428,"8,080",5880,E,392,0302855000,32,"HONOLULU, HI",06
2012,June,SEABREAM (SPARIDAE) FRESH,JAPAN,837,"11,737",5880,E,392,0302855000,55,"DALLAS-FORT WORTH, TX",06
2012,July,SEABREAM (SPARIDAE) FRESH,GREECE,"21,110","165,572",4840,E,300,0302855000,10,"NEW YORK, NY",07
2012,July,SEABREAM (SPARIDAE) FRESH,GREECE,720,"5,529",4840,E,300,0302855000,27,"LOS ANGELES, CA",07
2012,July,SEABREAM (SPARIDAE) FRESH,GREECE,"1,060","10,975",4840,E,300,0302855000,28,"SAN FRANCISCO, CA",07
2012,July,SEABREAM (SPARIDAE) FRESH,GREECE,610,"6,199",4840,E,300,0302855000,52,"MIAMI, FL",07
2012,July,SEABREAM (SPARIDAE) FRESH,CYPRUS,"2,491","20,396",4910,E,196,0302855000,27,"LOS ANGELES, CA",07
2012,July,SEABREAM (SPARIDAE) FRESH,JAPAN,"2,027","36,684",5880,E,392,0302855000,10,"NEW YORK, NY",07
2012,July,SEABREAM (SPARIDAE) FRESH,JAPAN,139,"2,089",5880,E,392,0302855000,27,"LOS ANGELES, CA",07
2012,July,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,136","17,543",5880,E,392,0302855000,28,"SAN FRANCISCO, CA",07
2012,July,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,091","21,400",5880,E,392,0302855000,32,"HONOLULU, HI",07
2012,July,SEABREAM (SPARIDAE) FRESH,JAPAN,"8,345","20,283",5880,E,392,0302855000,52,"MIAMI, FL",07
2012,July,SEABREAM (SPARIDAE) FRESH,JAPAN,962,"14,716",5880,E,392,0302855000,55,"DALLAS-FORT WORTH, TX",07
2012,August,SEABREAM (SPARIDAE) FRESH,CANADA,"3,175","8,850",1220,E,124,0302855000,30,"SEATTLE, WA",08
2012,August,SEABREAM (SPARIDAE) FRESH,ITALY,97,"2,464",4759,E,380,0302855000,27,"LOS ANGELES, CA",08
2012,August,SEABREAM (SPARIDAE) FRESH,GREECE,"17,270","136,023",4840,E,300,0302855000,10,"NEW YORK, NY",08
2012,August,SEABREAM (SPARIDAE) FRESH,GREECE,"1,850","11,432",4840,E,300,0302855000,27,"LOS ANGELES, CA",08
2012,August,SEABREAM (SPARIDAE) FRESH,GREECE,830,"10,141",4840,E,300,0302855000,28,"SAN FRANCISCO, CA",08
2012,August,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,329","23,242",5880,E,392,0302855000,10,"NEW YORK, NY",08
2012,August,SEABREAM (SPARIDAE) FRESH,JAPAN,327,"5,043",5880,E,392,0302855000,27,"LOS ANGELES, CA",08
2012,August,SEABREAM (SPARIDAE) FRESH,JAPAN,991,"15,338",5880,E,392,0302855000,28,"SAN FRANCISCO, CA",08
2012,August,SEABREAM (SPARIDAE) FRESH,JAPAN,"1,270","19,451",5880,E,392,0302855000,55,"DALLAS-FORT WORTH, TX",08
2012,August,SEABREAM (SPARIDAE) FRESH,TUNISIA,560,"4,522",7230,E,788,0302855000,27,"LOS ANGELES, CA",08
2012,September,SEABREAM (SPARIDAE) FRESH NOT > 6.8KG,CYPRUS,400,"3,939",4910,E,196,0302851100,11,"PHILADELPHIA, PA",09
