,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,SHARK FINS DRIED,MEXICO,"1,299","5,726",2010,E,484,0001111500,11,"PHILADELPHIA, PA",01
1972,January,SHARK FINS DRIED,MEXICO,"1,188","1,118",2010,E,484,0001111500,25,"SAN DIEGO, CA",01
1972,January,SHARK FINS DRIED,MEXICO,698,"2,096",2010,E,484,0001111500,26,"NOGALES, AZ",01
1972,January,SHARK FINS DRIED,VENEZUELA,98,432,3070,E,862,0001111500,10,"NEW YORK, NY",01
1972,January,SHARK FINS DRIED,VENEZUELA,113,747,3070,E,862,0001111500,27,"LOS ANGELES, CA",01
1972,January,SHARK FINS DRIED,CHINA - HONG KONG,113,"2,627",5820,E,344,0001111500,27,"LOS ANGELES, CA",01
1972,January,SHARK FINS DRIED,CHINA - HONG KONG,204,"3,794",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",01
1972,January,SHARK FINS DRIED,CHINA - HONG KONG,14,275,5820,E,344,0001111500,32,"HONOLULU, HI",01
1972,January,SHARK FINS DRIED,TAIWAN,136,"3,103",5830,E,909,0001111500,25,"SAN DIEGO, CA",01
1972,January,SHARK FINS DRIED,JAPAN,272,"4,740",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",01
1972,January,SHARK FINS DRIED,JAPAN,295,"4,796",5880,E,392,0001111500,32,"HONOLULU, HI",01
1972,February,SHARK FINS DRIED,MEXICO,953,"4,200",2010,E,484,0001111500,10,"NEW YORK, NY",02
1972,February,SHARK FINS DRIED,MEXICO,"1,397","2,793",2010,E,484,0001111500,25,"SAN DIEGO, CA",02
1972,February,SHARK FINS DRIED,MEXICO,"1,210","2,455",2010,E,484,0001111500,26,"NOGALES, AZ",02
1972,February,SHARK FINS DRIED,COLOMBIA,136,600,3010,E,170,0001111500,10,"NEW YORK, NY",02
1972,February,SHARK FINS DRIED,BRAZIL,726,"3,520",3510,E,076,0001111500,10,"NEW YORK, NY",02
1972,February,SHARK FINS DRIED,SOUTH KOREA,68,"1,050",5800,E,410,0001111500,32,"HONOLULU, HI",02
1972,February,SHARK FINS DRIED,CHINA - HONG KONG,40,732,5820,E,344,0001111500,27,"LOS ANGELES, CA",02
1972,February,SHARK FINS DRIED,CHINA - HONG KONG,263,"4,438",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",02
1972,February,SHARK FINS DRIED,CHINA - HONG KONG,454,"5,175",5820,E,344,0001111500,32,"HONOLULU, HI",02
1972,February,SHARK FINS DRIED,CHINA - HONG KONG,27,463,5820,E,344,0001111500,52,"MIAMI, FL",02
1972,February,SHARK FINS DRIED,JAPAN,454,"7,510",5880,E,392,0001111500,10,"NEW YORK, NY",02
1972,February,SHARK FINS DRIED,JAPAN,454,"7,535",5880,E,392,0001111500,27,"LOS ANGELES, CA",02
1972,February,SHARK FINS DRIED,JAPAN,"2,399","11,901",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",02
1972,February,SHARK FINS DRIED,JAPAN,306,"5,123",5880,E,392,0001111500,32,"HONOLULU, HI",02
1972,March,SHARK FINS DRIED,MEXICO,"1,200","3,362",2010,E,484,0001111500,25,"SAN DIEGO, CA",03
1972,March,SHARK FINS DRIED,MEXICO,"1,363","3,048",2010,E,484,0001111500,26,"NOGALES, AZ",03
1972,March,SHARK FINS DRIED,BRAZIL,998,"4,840",3510,E,076,0001111500,10,"NEW YORK, NY",03
1972,March,SHARK FINS DRIED,CHINA - HONG KONG,57,770,5820,E,344,0001111500,28,"SAN FRANCISCO, CA",03
1972,March,SHARK FINS DRIED,JAPAN,170,"2,976",5880,E,392,0001111500,04,"BOSTON, MA",03
1972,March,SHARK FINS DRIED,JAPAN,227,"4,315",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",03
1972,March,SHARK FINS DRIED,JAPAN,193,"3,076",5880,E,392,0001111500,32,"HONOLULU, HI",03
1972,April,SHARK FINS DRIED,MEXICO,"2,415","10,650",2010,E,484,0001111500,10,"NEW YORK, NY",04
1972,April,SHARK FINS DRIED,MEXICO,815,"2,447",2010,E,484,0001111500,26,"NOGALES, AZ",04
1972,April,SHARK FINS DRIED,JAPAN,287,"4,657",5880,E,392,0001111500,10,"NEW YORK, NY",04
1972,April,SHARK FINS DRIED,JAPAN,830,"7,845",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",04
1972,May,SHARK FINS DRIED,MEXICO,"1,537","6,676",2010,E,484,0001111500,10,"NEW YORK, NY",05
1972,May,SHARK FINS DRIED,MEXICO,"1,652","4,957",2010,E,484,0001111500,26,"NOGALES, AZ",05
1972,May,SHARK FINS DRIED,PERU,907,"4,400",3330,E,604,0001111500,10,"NEW YORK, NY",05
1972,May,SHARK FINS DRIED,CHINA - HONG KONG,318,"5,616",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",05
1972,May,SHARK FINS DRIED,TAIWAN,227,"4,038",5830,E,909,0001111500,10,"NEW YORK, NY",05
1972,June,SHARK FINS DRIED,MEXICO,"1,322","5,828",2010,E,484,0001111500,10,"NEW YORK, NY",06
1972,June,SHARK FINS DRIED,MEXICO,"1,447","2,672",2010,E,484,0001111500,26,"NOGALES, AZ",06
1972,June,SHARK FINS DRIED,BRAZIL,907,"4,400",3510,E,076,0001111500,10,"NEW YORK, NY",06
1972,June,SHARK FINS DRIED,SOUTH KOREA,23,902,5800,E,410,0001111500,28,"SAN FRANCISCO, CA",06
1972,June,SHARK FINS DRIED,CHINA - HONG KONG,363,"6,842",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",06
1972,June,SHARK FINS DRIED,CHINA - HONG KONG,54,"1,044",5820,E,344,0001111500,32,"HONOLULU, HI",06
1972,June,SHARK FINS DRIED,CHINA - HONG KONG,68,988,5820,E,344,0001111500,52,"MIAMI, FL",06
1972,June,SHARK FINS DRIED,JAPAN,625,"5,460",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",06
1972,June,SHARK FINS DRIED,JAPAN,257,"3,340",5880,E,392,0001111500,32,"HONOLULU, HI",06
1972,July,SHARK FINS DRIED,MEXICO,286,400,2010,E,484,0001111500,25,"SAN DIEGO, CA",07
1972,July,SHARK FINS DRIED,MEXICO,962,"2,068",2010,E,484,0001111500,26,"NOGALES, AZ",07
1972,July,SHARK FINS DRIED,ECUADOR,454,"1,000",3310,E,218,0001111500,10,"NEW YORK, NY",07
1972,July,SHARK FINS DRIED,CHINA - HONG KONG,249,"4,802",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",07
1972,July,SHARK FINS DRIED,JAPAN,"1,150","11,467",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",07
1972,July,SHARK FINS DRIED,JAPAN,136,"2,452",5880,E,392,0001111500,32,"HONOLULU, HI",07
1972,August,SHARK FINS DRIED,MEXICO,"1,070","4,720",2010,E,484,0001111500,10,"NEW YORK, NY",08
1972,August,SHARK FINS DRIED,MEXICO,"1,113","4,452",2010,E,484,0001111500,25,"SAN DIEGO, CA",08
1972,August,SHARK FINS DRIED,COSTA RICA,283,624,2230,E,188,0001111500,10,"NEW YORK, NY",08
1972,August,SHARK FINS DRIED,CHINA - HONG KONG,408,"8,512",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",08
1972,August,SHARK FINS DRIED,JAPAN,45,785,5880,E,392,0001111500,32,"HONOLULU, HI",08
1972,September,SHARK FINS DRIED,MEXICO,212,509,2010,E,484,0001111500,25,"SAN DIEGO, CA",09
1972,September,SHARK FINS DRIED,ECUADOR,74,660,3310,E,218,0001111500,10,"NEW YORK, NY",09
1972,September,SHARK FINS DRIED,BRAZIL,907,"4,400",3510,E,076,0001111500,10,"NEW YORK, NY",09
1972,September,SHARK FINS DRIED,SOUTH KOREA,68,"1,200",5800,E,410,0001111500,32,"HONOLULU, HI",09
1972,September,SHARK FINS DRIED,CHINA - HONG KONG,113,"2,644",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",09
1972,September,SHARK FINS DRIED,JAPAN,227,"3,925",5880,E,392,0001111500,10,"NEW YORK, NY",09
1972,September,SHARK FINS DRIED,JAPAN,23,483,5880,E,392,0001111500,27,"LOS ANGELES, CA",09
1972,September,SHARK FINS DRIED,JAPAN,714,"5,903",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",09
1972,September,SHARK FINS DRIED,JAPAN,340,"5,952",5880,E,392,0001111500,32,"HONOLULU, HI",09
1972,October,SHARK FINS DRIED,MEXICO,834,"4,001",2010,E,484,0001111500,10,"NEW YORK, NY",10
1972,October,SHARK FINS DRIED,MEXICO,"1,333","3,999",2010,E,484,0001111500,26,"NOGALES, AZ",10
1972,October,SHARK FINS DRIED,ECUADOR,73,720,3310,E,218,0001111500,10,"NEW YORK, NY",10
1972,October,SHARK FINS DRIED,CHINA - HONG KONG,590,"11,863",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",10
1972,October,SHARK FINS DRIED,TAIWAN,227,"5,963",5830,E,909,0001111500,27,"LOS ANGELES, CA",10
1972,October,SHARK FINS DRIED,JAPAN,147,"2,390",5880,E,392,0001111500,10,"NEW YORK, NY",10
1972,October,SHARK FINS DRIED,JAPAN,302,"3,611",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",10
1972,October,SHARK FINS DRIED,JAPAN,386,"6,916",5880,E,392,0001111500,32,"HONOLULU, HI",10
1972,October,SHARK OIL/FRACTIONS,JAPAN,"3,600","2,659",5880,N,392,0001771600,10,"NEW YORK, NY",10
1972,November,SHARK FINS DRIED,MEXICO,681,"3,002",2010,E,484,0001111500,10,"NEW YORK, NY",11
1972,November,SHARK FINS DRIED,MEXICO,200,441,2010,E,484,0001111500,26,"NOGALES, AZ",11
1972,November,SHARK FINS DRIED,BRAZIL,454,"2,500",3510,E,076,0001111500,10,"NEW YORK, NY",11
1972,November,SHARK FINS DRIED,CHINA - HONG KONG,54,976,5820,E,344,0001111500,10,"NEW YORK, NY",11
1972,November,SHARK FINS DRIED,CHINA - HONG KONG,18,383,5820,E,344,0001111500,13,"BALTIMORE, MD",11
1972,November,SHARK FINS DRIED,CHINA - HONG KONG,227,"6,203",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",11
1972,November,SHARK FINS DRIED,TAIWAN,179,"1,974",5830,E,909,0001111500,28,"SAN FRANCISCO, CA",11
1972,November,SHARK FINS DRIED,TAIWAN,406,"5,474",5830,E,909,0001111500,32,"HONOLULU, HI",11
1972,November,SHARK FINS DRIED,JAPAN,113,"1,966",5880,E,392,0001111500,10,"NEW YORK, NY",11
1972,November,SHARK FINS DRIED,JAPAN,119,"2,313",5880,E,392,0001111500,27,"LOS ANGELES, CA",11
1972,November,SHARK FINS DRIED,JAPAN,806,"6,713",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",11
1972,November,SHARK FINS DRIED,JAPAN,113,"2,778",5880,E,392,0001111500,32,"HONOLULU, HI",11
1972,November,SHARK OIL/FRACTIONS,JAPAN,900,"3,347",5880,N,392,0001771600,10,"NEW YORK, NY",11
1972,December,SHARK FINS DRIED,CHINA - HONG KONG,590,"13,200",5820,E,344,0001111500,28,"SAN FRANCISCO, CA",12
1972,December,SHARK FINS DRIED,CHINA - HONG KONG,"1,134","17,005",5820,E,344,0001111500,32,"HONOLULU, HI",12
1972,December,SHARK FINS DRIED,JAPAN,454,"9,075",5880,E,392,0001111500,27,"LOS ANGELES, CA",12
1972,December,SHARK FINS DRIED,JAPAN,590,"10,765",5880,E,392,0001111500,32,"HONOLULU, HI",12
1973,January,SHARK FINS DRIED,MEXICO,881,"3,884",2010,E,484,0001111500,10,"NEW YORK, NY",01
1973,January,SHARK FINS DRIED,BRAZIL,590,"3,640",3510,E,076,0001111500,10,"NEW YORK, NY",01
1973,January,SHARK FINS DRIED,CHINA - HONG KONG,18,384,5820,E,344,0001111500,13,"BALTIMORE, MD",01
1973,January,SHARK FINS DRIED,JAPAN,181,"4,227",5880,E,392,0001111500,10,"NEW YORK, NY",01
1973,January,SHARK FINS DRIED,JAPAN,159,"3,115",5880,E,392,0001111500,27,"LOS ANGELES, CA",01
1973,January,SHARK FINS DRIED,JAPAN,136,"3,201",5880,E,392,0001111500,28,"SAN FRANCISCO, CA",01
1973,January,SHARK FINS DRIED,JAPAN,189,"4,045",5880,E,392,0001111500,32,"HONOLULU, HI",01
1973,February,SHARK FINS DRIED,MEXICO,606,"2,670",2010,E,484,0001111500,10,"NEW YORK, NY",02
1973,February,SHARK FINS DRIED,MEXICO,633,"1,899",2010,E,484,0001111500,26,"NOGALES, AZ",02
