,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,TUNA SKIPJACK FRESH/FROZEN,ECUADOR,"279,425","94,951",3310,E,218,0001101045,27,"LOS ANGELES, CA",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,ECUADOR,"1,198,299","407,593",3310,E,218,0001101045,49,"SAN JUAN, PR",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,PERU,"226,118","100,946",3330,E,604,0001101045,49,"SAN JUAN, PR",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,FRANCE,"936,124","206,380",4279,E,250,0001101045,49,"SAN JUAN, PR",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,SPAIN,"314,225","280,260",4700,E,724,0001101045,49,"SAN JUAN, PR",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,TAIWAN,"28,667","12,510",5830,E,909,0001101045,27,"LOS ANGELES, CA",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"2,322,700","1,061,255",5880,E,392,0001101045,27,"LOS ANGELES, CA",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"707,604","316,784",5880,E,392,0001101045,28,"SAN FRANCISCO, CA",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"199,581","94,056",5880,E,392,0001101045,29,"PORTLAND, OR",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"146,601","67,018",5880,E,392,0001101045,30,"SEATTLE, WA",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"2,138,733","471,511",5880,E,392,0001101045,49,"SAN JUAN, PR",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,SENEGAL,"826,732","455,500",7440,E,686,0001101045,49,"SAN JUAN, PR",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,IVORY COAST,"1,527,163","844,230",7480,E,384,0001101045,49,"SAN JUAN, PR",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,GHANA,"735,727","405,500",7490,E,288,0001101045,49,"SAN JUAN, PR",01
1972,January,TUNA SKIPJACK FRESH/FROZEN,ANGOLA,"742,992","356,265",7620,E,024,0001101045,49,"SAN JUAN, PR",01
1972,February,TUNA SKIPJACK FRESH/FROZEN,SPAIN,"470,829","225,765",4700,E,724,0001101045,49,"SAN JUAN, PR",02
1972,February,TUNA SKIPJACK FRESH/FROZEN,PORTUGAL,590,500,4710,E,620,0001101045,10,"NEW YORK, NY",02
1972,February,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"1,504,741","691,093",5880,E,392,0001101045,27,"LOS ANGELES, CA",02
1972,February,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"3,255","3,475",5880,E,392,0001101045,32,"HONOLULU, HI",02
1972,February,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"315,646","86,304",5880,E,392,0001101045,49,"SAN JUAN, PR",02
1972,February,TUNA SKIPJACK FRESH/FROZEN,NEW ZEALAND,"69,536","9,612",6141,E,554,0001101045,27,"LOS ANGELES, CA",02
1972,February,TUNA SKIPJACK FRESH/FROZEN,IVORY COAST,"408,233","195,750",7480,E,384,0001101045,49,"SAN JUAN, PR",02
1972,February,TUNA SKIPJACK FRESH/FROZEN,GHANA,"1,001,418","328,540",7490,E,288,0001101045,25,"SAN DIEGO, CA",02
1972,February,TUNA SKIPJACK FRESH/FROZEN,CONGO (BRAZZAVILLE),"738,186","288,867",7630,E,178,0001101045,49,"SAN JUAN, PR",02
1972,March,TUNA SKIPJACK FRESH/FROZEN,CANADA,"58,967","23,920",1220,E,124,0001101045,49,"SAN JUAN, PR",03
1972,March,TUNA SKIPJACK FRESH/FROZEN,MEXICO,"362,874","162,400",2010,E,484,0001101045,27,"LOS ANGELES, CA",03
1972,March,TUNA SKIPJACK FRESH/FROZEN,COSTA RICA,"90,718","40,500",2230,E,188,0001101045,49,"SAN JUAN, PR",03
1972,March,TUNA SKIPJACK FRESH/FROZEN,FRANCE,"1,376,644","505,870",4279,E,250,0001101045,49,"SAN JUAN, PR",03
1972,March,TUNA SKIPJACK FRESH/FROZEN,SPAIN,"149,998","33,069",4700,E,724,0001101045,49,"SAN JUAN, PR",03
1972,March,TUNA SKIPJACK FRESH/FROZEN,PORTUGAL,680,747,4710,E,620,0001101045,10,"NEW YORK, NY",03
1972,March,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"4,765,586","2,078,218",5880,E,392,0001101045,27,"LOS ANGELES, CA",03
1972,March,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"896,207","405,686",5880,E,392,0001101045,28,"SAN FRANCISCO, CA",03
1972,March,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"1,841,384","571,142",5880,E,392,0001101045,49,"SAN JUAN, PR",03
1972,March,TUNA SKIPJACK FRESH/FROZEN,PAPUA NEW GUINEA,"660,748","345,966",6040,E,598,0001101045,32,"HONOLULU, HI",03
1972,April,TUNA SKIPJACK FRESH/FROZEN,CANADA,"689,460","307,800",1220,E,124,0001101045,49,"SAN JUAN, PR",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,MEXICO,"89,999","36,000",2010,E,484,0001101045,25,"SAN DIEGO, CA",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,FRANCE,"1,478,821","324,457",4279,E,250,0001101045,49,"SAN JUAN, PR",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,SPAIN,"1,111,345","557,012",4700,E,724,0001101045,49,"SAN JUAN, PR",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,ITALY,"19,450","8,683",4759,E,380,0001101045,49,"SAN JUAN, PR",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"5,740,522","2,724,019",5880,E,392,0001101045,27,"LOS ANGELES, CA",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"4,536","4,796",5880,E,392,0001101045,32,"HONOLULU, HI",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"402,210","106,290",5880,E,392,0001101045,49,"SAN JUAN, PR",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,NEW ZEALAND,"12,993","3,909",6141,E,554,0001101045,27,"LOS ANGELES, CA",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,NEW ZEALAND,"3,130","13,800",6141,E,554,0001101045,32,"HONOLULU, HI",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,SENEGAL,"261,177","135,312",7440,E,686,0001101045,49,"SAN JUAN, PR",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,IVORY COAST,"344,517","178,489",7480,E,384,0001101045,49,"SAN JUAN, PR",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,CONGO (BRAZZAVILLE),"99,479","51,539",7630,E,178,0001101045,49,"SAN JUAN, PR",04
1972,April,TUNA SKIPJACK FRESH/FROZEN,MAURITIUS,"243,685","110,133",7850,E,480,0001101045,49,"SAN JUAN, PR",04
1972,May,TUNA SKIPJACK FRESH/FROZEN,MEXICO,"35,999","6,480",2010,E,484,0001101045,25,"SAN DIEGO, CA",05
1972,May,TUNA SKIPJACK FRESH/FROZEN,FRANCE,"1,219,664","382,639",4279,E,250,0001101045,49,"SAN JUAN, PR",05
1972,May,TUNA SKIPJACK FRESH/FROZEN,PORTUGAL,"233,997","77,220",4710,E,620,0001101045,49,"SAN JUAN, PR",05
1972,May,TUNA SKIPJACK FRESH/FROZEN,TAIWAN,"477,908","231,010",5830,E,909,0001101045,27,"LOS ANGELES, CA",05
1972,May,TUNA SKIPJACK FRESH/FROZEN,TAIWAN,"2,494",824,5830,E,909,0001101045,49,"SAN JUAN, PR",05
1972,May,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"3,568,594","1,720,981",5880,E,392,0001101045,27,"LOS ANGELES, CA",05
1972,May,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"89,590","42,511",5880,E,392,0001101045,30,"SEATTLE, WA",05
1972,May,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"2,722","2,870",5880,E,392,0001101045,32,"HONOLULU, HI",05
1972,May,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"1,557,409","343,350",5880,E,392,0001101045,49,"SAN JUAN, PR",05
1972,May,TUNA SKIPJACK FRESH/FROZEN,NEW ZEALAND,"12,701","3,810",6141,E,554,0001101045,27,"LOS ANGELES, CA",05
1972,June,TUNA SKIPJACK FRESH/FROZEN,CANADA,"136,078","46,500",1220,E,124,0001101045,49,"SAN JUAN, PR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,MEXICO,"179,898","51,468",2010,E,484,0001101045,25,"SAN DIEGO, CA",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,PANAMA,"22,680","11,250",2250,E,591,0001101045,49,"SAN JUAN, PR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,ECUADOR,"62,596","24,150",3310,E,218,0001101045,49,"SAN JUAN, PR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,PERU,"153,424","33,824",3330,E,604,0001101045,49,"SAN JUAN, PR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,FRANCE,"595,382","190,935",4279,E,250,0001101045,49,"SAN JUAN, PR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,SPAIN,"467,379","208,921",4700,E,724,0001101045,49,"SAN JUAN, PR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,PORTUGAL,"206,998","45,635",4710,E,620,0001101045,49,"SAN JUAN, PR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,SINGAPORE,"259,405","128,298",5590,E,702,0001101045,27,"LOS ANGELES, CA",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,PHILIPPINES,"18,144","7,560",5650,E,608,0001101045,27,"LOS ANGELES, CA",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"989,280","469,298",5880,E,392,0001101045,27,"LOS ANGELES, CA",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,JAPAN,"286,490","63,160",5880,E,392,0001101045,49,"SAN JUAN, PR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,NEW ZEALAND,"90,663","38,197",6141,E,554,0001101045,27,"LOS ANGELES, CA",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,OTHER PACIFIC IS.,"5,703","2,358",6860,E,,0001101045,29,"PORTLAND, OR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,SENEGAL,"362,874","176,800",7440,E,686,0001101045,49,"SAN JUAN, PR",06
1972,June,TUNA SKIPJACK FRESH/FROZEN,ANGOLA,"1,198,412","514,721",7620,E,024,0001101045,27,"LOS ANGELES, CA",06
