,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,HAITI,"2,000","6,782",2450,E,332,0307600000,10,"NEW YORK, NY",01
1989,January,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,800,"6,131",4279,E,250,0307600000,10,"NEW YORK, NY",01
1989,January,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"2,500","19,232",4279,E,250,0307600000,13,"BALTIMORE, MD",01
1989,January,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"9,993","62,518",4279,E,250,1605905500,10,"NEW YORK, NY",01
1989,January,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"4,750","49,679",4279,E,250,1605905500,13,"BALTIMORE, MD",01
1989,January,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,INDONESIA,"7,620","27,834",5600,E,360,1605905500,14,"NORFOLK, VA",01
1989,January,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,TAIWAN,"2,896","9,876",5830,E,909,1605905500,27,"LOS ANGELES, CA",01
1989,February,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"1,484","12,858",4279,E,250,0307600000,10,"NEW YORK, NY",02
1989,February,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"1,056","9,516",4279,E,250,0307600000,35,"MINNEAPOLIS, MN",02
1989,February,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,GERMANY,"1,165","7,932",4280,E,276,0307600000,30,"SEATTLE, WA",02
1989,February,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,NEW ZEALAND,822,"9,586",6141,E,554,0307600000,27,"LOS ANGELES, CA",02
1989,February,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"13,444","77,315",4279,E,250,1605905500,10,"NEW YORK, NY",02
1989,February,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,180,"3,232",4279,E,250,1605905500,13,"BALTIMORE, MD",02
1989,February,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"15,622","56,225",4279,E,250,1605905500,17,"SAVANNAH, GA",02
1989,February,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"12,000","85,636",4279,E,250,1605905500,27,"LOS ANGELES, CA",02
1989,February,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,GREECE,"12,400","72,900",4840,E,300,1605905500,10,"NEW YORK, NY",02
1989,March,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,CANADA,"2,700","1,215",1220,E,124,0307600000,01,"PORTLAND, ME",03
1989,March,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,HAITI,"1,345","4,445",2450,E,332,0307600000,10,"NEW YORK, NY",03
1989,March,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"1,402","12,397",4279,E,250,0307600000,27,"LOS ANGELES, CA",03
1989,March,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"4,745","43,764",4279,E,250,0307600000,39,"CHICAGO, IL",03
1989,March,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,650,"5,859",4279,E,250,0307600000,52,"MIAMI, FL",03
1989,March,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"12,000","85,636",4279,E,250,0307600000,53,"HOUSTON-GALVESTON, TX",03
1989,March,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,TAIWAN,"2,400","5,805",5830,E,909,0307600000,13,"BALTIMORE, MD",03
1989,March,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,JAPAN,500,"4,940",5880,E,392,0307600000,10,"NEW YORK, NY",03
1989,March,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"9,250","56,169",4279,E,250,1605905500,10,"NEW YORK, NY",03
1989,March,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"12,763","97,544",4279,E,250,1605905500,13,"BALTIMORE, MD",03
1989,March,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"2,500","16,752",4279,E,250,1605905500,28,"SAN FRANCISCO, CA",03
1989,March,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,660,"6,027",4279,E,250,1605905500,39,"CHICAGO, IL",03
1989,March,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,THAILAND,"5,963","17,517",5490,E,764,1605905500,10,"NEW YORK, NY",03
1989,March,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,INDONESIA,"6,916","25,682",5600,E,360,1605905500,14,"NORFOLK, VA",03
1989,April,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,HAITI,"1,939","6,371",2450,E,332,0307600000,10,"NEW YORK, NY",04
1989,April,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"11,567","105,034",4279,E,250,0307600000,27,"LOS ANGELES, CA",04
1989,April,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,SPAIN,989,"1,110",4700,E,724,0307600000,52,"MIAMI, FL",04
1989,April,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"27,555","119,820",4279,E,250,1605905500,10,"NEW YORK, NY",04
1989,April,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,FRANCE,"1,835","18,322",4279,E,250,1605905500,28,"SAN FRANCISCO, CA",04
1989,April,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,MALAYSIA,"3,375","8,858",5570,E,458,1605905500,49,"SAN JUAN, PR",04
1989,April,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,MALAYSIA,"13,440","40,102",5570,E,458,1605905500,52,"MIAMI, FL",04
1989,April,SNAIL OTHER THAN SEA SNAIL PREPARED/PRESERVED,TAIWAN,"3,546","12,263",5830,E,909,1605905500,10,"NEW YORK, NY",04
1989,May,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,HAITI,"3,259","11,097",2450,E,332,0307600000,10,"NEW YORK, NY",05
1989,May,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"1,400","11,691",4279,E,250,0307600000,16,"CHARLESTON, SC",05
1989,May,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"2,855","7,488",4279,E,250,0307600000,17,"SAVANNAH, GA",05
1989,May,SNAIL OTHER THAN SEA SNAIL LIVE/FRESH/FROZEN/SALTED,FRANCE,"32,108","26,410",4279,E,250,0307600000,27,"LOS ANGELES, CA",05
