,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1989,January,SALMON SOCKEYE STEAKS FRESH,VENEZUELA,546,"3,885",3070,E,862,0302120040,52,"MIAMI, FL",01
1989,January,SALMON SOCKEYE STEAKS FROZEN,CANADA,"1,626","3,738",1220,E,124,0303100040,01,"PORTLAND, ME",01
1989,January,SALMON SOCKEYE FROZEN,CANADA,52,"1,129",1220,E,124,0303100045,27,"LOS ANGELES, CA",01
1989,January,SALMON SOCKEYE FROZEN,CANADA,644,"8,387",1220,E,124,0303100045,30,"SEATTLE, WA",01
1989,January,SALMON SOCKEYE FROZEN,CANADA,"50,439","517,631",1220,E,124,0303100045,38,"DETROIT, MI",01
1989,February,SALMON SOCKEYE STEAKS FROZEN,CANADA,"18,053","189,050",1220,E,124,0303100040,34,"PEMBINA, ND",02
1989,February,SALMON SOCKEYE FROZEN,CANADA,59,"1,327",1220,E,124,0303100045,27,"LOS ANGELES, CA",02
1989,February,SALMON SOCKEYE FROZEN,CANADA,"7,454","61,962",1220,E,124,0303100045,30,"SEATTLE, WA",02
1989,February,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"4,082","73,259",1220,E,124,1604114030,30,"SEATTLE, WA",02
1989,March,SALMON SOCKEYE FRESH,ICELAND,"1,152","9,169",4000,E,352,0302120045,04,"BOSTON, MA",03
1989,March,SALMON SOCKEYE FROZEN,CANADA,48,"1,039",1220,E,124,0303100045,27,"LOS ANGELES, CA",03
1989,March,SALMON SOCKEYE FROZEN,CANADA,"5,785","61,652",1220,E,124,0303100045,30,"SEATTLE, WA",03
1989,March,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"17,101","179,617",1220,E,124,1604114030,30,"SEATTLE, WA",03
1989,April,SALMON SOCKEYE FROZEN,CANADA,"17,237","180,500",1220,E,124,0303100045,09,"BUFFALO, NY",04
1989,April,SALMON SOCKEYE FROZEN,CANADA,54,"1,168",1220,E,124,0303100045,27,"LOS ANGELES, CA",04
1989,April,SALMON SOCKEYE FROZEN,CANADA,"1,081","12,079",1220,E,124,0303100045,30,"SEATTLE, WA",04
1989,April,SALMON SOCKEYE FROZEN,CANADA,"1,386","12,224",1220,E,124,0303100045,32,"HONOLULU, HI",04
1989,May,SALMON SOCKEYE FROZEN,CANADA,453,"5,250",1220,E,124,0303100045,27,"LOS ANGELES, CA",05
1989,May,SALMON SOCKEYE FROZEN,CANADA,"9,446","83,104",1220,E,124,0303100045,30,"SEATTLE, WA",05
1989,May,SALMON SOCKEYE FROZEN,CANADA,"47,955","435,415",1220,E,124,0303100045,34,"PEMBINA, ND",05
1989,June,SALMON SOCKEYE FRESH,CANADA,"6,762","47,551",1220,E,124,0302120045,30,"SEATTLE, WA",06
1989,June,SALMON SOCKEYE FRESH,CANADA,"1,270","7,292",1220,E,124,0302120045,32,"HONOLULU, HI",06
1989,June,SALMON SOCKEYE FROZEN,CANADA,"1,859","17,216",1220,E,124,0303100045,30,"SEATTLE, WA",06
1989,July,SALMON SOCKEYE FRESH,CANADA,"207,470","978,549",1220,E,124,0302120045,30,"SEATTLE, WA",07
1989,July,SALMON SOCKEYE FRESH,CANADA,"2,540","15,233",1220,E,124,0302120045,35,"MINNEAPOLIS, MN",07
1989,July,SALMON SOCKEYE FROZEN,CANADA,200,"1,344",1220,E,124,0303100045,30,"SEATTLE, WA",07
1989,July,SALMON SOCKEYE FROZEN,CANADA,"27,216","238,650",1220,E,124,0303100045,34,"PEMBINA, ND",07
1989,July,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"16,330","142,500",1220,E,124,1604114030,30,"SEATTLE, WA",07
1989,August,SALMON SOCKEYE STEAKS FRESH,CANADA,283,"7,545",1220,E,124,0302120040,01,"PORTLAND, ME",08
1989,August,SALMON SOCKEYE FRESH,CANADA,"2,196,573","10,748,367",1220,E,124,0302120045,30,"SEATTLE, WA",08
1989,August,SALMON SOCKEYE FROZEN,CANADA,"245,893","1,855,201",1220,E,124,0303100045,30,"SEATTLE, WA",08
1989,August,SALMON SOCKEYE FROZEN,CANADA,"1,255","9,350",1220,E,124,0303100045,32,"HONOLULU, HI",08
1989,August,SALMON SOCKEYE FROZEN,CANADA,"19,686","121,000",1220,E,124,0303100045,34,"PEMBINA, ND",08
1989,August,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"70,541","537,802",1220,E,124,1604114030,30,"SEATTLE, WA",08
1989,September,SALMON SOCKEYE FRESH,CANADA,"27,921","178,154",1220,E,124,0302120045,30,"SEATTLE, WA",09
1989,September,SALMON SOCKEYE FROZEN,CANADA,"102,264","755,185",1220,E,124,0303100045,30,"SEATTLE, WA",09
1989,September,SALMON SOCKEYE FROZEN,CANADA,"3,719","29,463",1220,E,124,0303100045,32,"HONOLULU, HI",09
1989,September,SALMON SOCKEYE FROZEN,CANADA,"37,376","249,970",1220,E,124,0303100045,34,"PEMBINA, ND",09
1989,September,SALMON SOCKEYE FROZEN,SOUTH KOREA,"38,520","208,650",5800,E,410,0303100045,30,"SEATTLE, WA",09
1989,October,SALMON SOCKEYE FROZEN,CANADA,408,"2,229",1220,E,124,0303100045,07,"OGDENSBURG, NY",10
1989,October,SALMON SOCKEYE FROZEN,CANADA,"1,755","10,338",1220,E,124,0303100045,30,"SEATTLE, WA",10
1989,October,SALMON SOCKEYE FROZEN,CANADA,"11,629","59,845",1220,E,124,0303100045,31,"ANCHORAGE, AK",10
1989,October,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"29,122","330,158",1220,E,124,1604114030,30,"SEATTLE, WA",10
1989,November,SALMON SOCKEYE FRESH,CANADA,"3,243","14,300",1220,E,124,0302120045,30,"SEATTLE, WA",11
1989,November,SALMON SOCKEYE FROZEN,CANADA,"11,788","80,192",1220,E,124,0303100045,30,"SEATTLE, WA",11
1989,November,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"30,218","356,031",1220,E,124,1604114030,30,"SEATTLE, WA",11
1989,November,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"2,600","20,156",1220,E,124,1604114030,45,"SAINT LOUIS, MO",11
1989,December,SALMON SOCKEYE FROZEN,CANADA,"29,739","196,546",1220,E,124,0303100045,30,"SEATTLE, WA",12
1989,December,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"85,984","965,664",1220,E,124,1604114030,30,"SEATTLE, WA",12
1990,January,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"78,131","807,234",1220,E,124,1604114030,30,"SEATTLE, WA",01
1990,February,SALMON SOCKEYE FRESH,CANADA,"7,915","41,521",1220,E,124,0302120042,07,"OGDENSBURG, NY",02
1990,February,SALMON SOCKEYE FRESH,CANADA,544,"2,143",1220,E,124,0302120042,30,"SEATTLE, WA",02
1990,February,SALMON SOCKEYE FROZEN,CANADA,"20,025","103,564",1220,E,124,0303100042,30,"SEATTLE, WA",02
1990,February,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"12,452","110,495",1220,E,124,1604114030,30,"SEATTLE, WA",02
1990,March,SALMON SOCKEYE FROZEN,CANADA,"2,296","16,959",1220,E,124,0303100042,30,"SEATTLE, WA",03
1990,March,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"29,926","258,534",1220,E,124,1604114030,30,"SEATTLE, WA",03
1990,April,SALMON SOCKEYE FROZEN,CANADA,"19,317","63,879",1220,E,124,0303100042,27,"LOS ANGELES, CA",04
1990,April,SALMON SOCKEYE FROZEN,CANADA,"1,588","10,500",1220,E,124,0303100042,32,"HONOLULU, HI",04
1990,April,SALMON SOCKEYE CANNED NOT IN OIL,JAPAN,90,"1,284",5880,E,392,1604114030,10,"NEW YORK, NY",04
1990,May,SALMON SOCKEYE FRESH,CANADA,"2,884","6,357",1220,E,124,0302120042,30,"SEATTLE, WA",05
1990,May,SALMON SOCKEYE FROZEN,CANADA,"10,442","54,365",1220,E,124,0303100042,30,"SEATTLE, WA",05
1990,May,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"14,200","97,414",1220,E,124,1604114030,30,"SEATTLE, WA",05
1990,June,SALMON SOCKEYE FRESH,CANADA,"1,261","5,919",1220,E,124,0302120042,30,"SEATTLE, WA",06
1990,June,SALMON SOCKEYE FROZEN,CANADA,"4,738","22,909",1220,E,124,0303100042,30,"SEATTLE, WA",06
1990,June,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"1,148","11,447",1220,E,124,1604114030,30,"SEATTLE, WA",06
1990,July,SALMON SOCKEYE FRESH,CANADA,"107,109","468,223",1220,E,124,0302120042,30,"SEATTLE, WA",07
1990,July,SALMON SOCKEYE FRESH,CANADA,"37,287","120,621",1220,E,124,0302120042,31,"ANCHORAGE, AK",07
1990,July,SALMON SOCKEYE FROZEN,CANADA,125,"2,281",1220,E,124,0303100042,09,"BUFFALO, NY",07
1990,July,SALMON SOCKEYE CANNED NOT IN OIL,CANADA,"41,384","408,647",1220,E,124,1604114030,30,"SEATTLE, WA",07
1990,August,SALMON SOCKEYE FRESH,CANADA,"2,132","10,598",1220,E,124,0302120042,27,"LOS ANGELES, CA",08
1990,August,SALMON SOCKEYE FRESH,CANADA,"2,432,936","10,726,969",1220,E,124,0302120042,30,"SEATTLE, WA",08
1990,August,SALMON SOCKEYE FRESH,CANADA,"58,864","168,393",1220,E,124,0302120042,31,"ANCHORAGE, AK",08
1990,August,SALMON SOCKEYE FROZEN,CANADA,"105,193","634,394",1220,E,124,0303100042,30,"SEATTLE, WA",08
1990,August,SALMON SOCKEYE FROZEN,CANADA,"14,648","32,294",1220,E,124,0303100042,31,"ANCHORAGE, AK",08
