,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,SPONGE GRASS/VELVET/YELLOW,BAHAMAS,243,"1,070",2360,N,044,0001908500,52,"MIAMI, FL",01
1972,January,SPONGE SHEEPS WOOL,BAHAMAS,259,"2,280",2360,N,044,0001908700,52,"MIAMI, FL",01
1972,January,SPONGE SHEEPS WOOL,ISRAEL,50,330,5081,N,376,0001908700,10,"NEW YORK, NY",01
1972,January,SPONGE SHEEPS WOOL,JAPAN,49,633,5880,N,392,0001908700,28,"SAN FRANCISCO, CA",01
1972,January,SPONGE NSPF,FRANCE,78,"3,488",4279,N,250,0001909300,10,"NEW YORK, NY",01
1972,January,SPONGE NSPF,GREECE,19,"2,080",4840,N,300,0001909300,04,"BOSTON, MA",01
1972,January,SPONGE NSPF,GREECE,320,"2,560",4840,N,300,0001909300,10,"NEW YORK, NY",01
1972,January,SPONGE NSPF,GREECE,16,"5,352",4840,N,300,0001909300,11,"PHILADELPHIA, PA",01
1972,January,SPONGE NSPF,GREECE,"1,567","39,250",4840,N,300,0001909300,39,"CHICAGO, IL",01
1972,February,SPONGE GRASS/VELVET/YELLOW,TAIWAN,272,540,5830,N,909,0001908500,10,"NEW YORK, NY",02
1972,February,SPONGE NSPF,ITALY,7,423,4759,N,380,0001909300,11,"PHILADELPHIA, PA",02
1972,February,SPONGE NSPF,GREECE,"1,134","32,140",4840,N,300,0001909300,10,"NEW YORK, NY",02
1972,February,SPONGE NSPF,GREECE,73,"3,285",4840,N,300,0001909300,11,"PHILADELPHIA, PA",02
1972,February,SPONGE NSPF,GREECE,329,"4,178",4840,N,300,0001909300,39,"CHICAGO, IL",02
1972,February,SPONGE NSPF,GREECE,8,800,4840,N,300,0001909300,45,"SAINT LOUIS, MO",02
1972,February,SPONGE NATURAL ARTICLES,PHILIPPINES,100,619,5650,N,608,0007927000,27,"LOS ANGELES, CA",02
1972,March,SPONGE GRASS/VELVET/YELLOW,BAHAMAS,"1,579","9,301",2360,N,044,0001908500,52,"MIAMI, FL",03
1972,March,SPONGE GRASS/VELVET/YELLOW,GREECE,8,255,4840,N,300,0001908500,10,"NEW YORK, NY",03
1972,March,SPONGE SHEEPS WOOL,BAHAMAS,75,"1,313",2360,N,044,0001908700,10,"NEW YORK, NY",03
1972,March,SPONGE SHEEPS WOOL,ISRAEL,104,690,5081,N,376,0001908700,10,"NEW YORK, NY",03
1972,March,SPONGE NSPF,GREECE,32,"3,855",4840,N,300,0001909300,04,"BOSTON, MA",03
1972,March,SPONGE NSPF,GREECE,"1,016","39,500",4840,N,300,0001909300,10,"NEW YORK, NY",03
1972,March,SPONGE NSPF,GREECE,400,"1,600",4840,N,300,0001909300,11,"PHILADELPHIA, PA",03
1972,March,SPONGE NSPF,GREECE,421,"4,541",4840,N,300,0001909300,39,"CHICAGO, IL",03
1972,March,SPONGE NSPF,TUNISIA,976,"3,856",7230,N,788,0001909300,10,"NEW YORK, NY",03
1972,March,SPONGE NATURAL ARTICLES,GERMANY,54,720,4280,N,276,0007927000,39,"CHICAGO, IL",03
1972,April,SPONGE GRASS/VELVET/YELLOW,BAHAMAS,272,640,2360,N,044,0001908500,52,"MIAMI, FL",04
1972,April,SPONGE SHEEPS WOOL,BAHAMAS,100,770,2360,N,044,0001908700,52,"MIAMI, FL",04
1972,April,SPONGE SHEEPS WOOL,JAPAN,159,"2,767",5880,N,392,0001908700,27,"LOS ANGELES, CA",04
1972,April,SPONGE NSPF,UNITED KINGDOM,8,421,4120,N,826,0001909300,04,"BOSTON, MA",04
1972,April,SPONGE NSPF,FRANCE,136,"5,654",4279,N,250,0001909300,10,"NEW YORK, NY",04
1972,April,SPONGE NSPF,GREECE,"1,823","45,024",4840,N,300,0001909300,10,"NEW YORK, NY",04
1972,April,SPONGE NSPF,GREECE,60,"2,400",4840,N,300,0001909300,11,"PHILADELPHIA, PA",04
1972,April,SPONGE NSPF,LEBANON,845,"5,281",5040,N,422,0001909300,10,"NEW YORK, NY",04
1972,April,SPONGE NATURAL ARTICLES,GREECE,7,350,4840,N,300,0007927000,10,"NEW YORK, NY",04
1972,April,SPONGE NATURAL ARTICLES,PHILIPPINES,390,"1,763",5650,N,608,0007927000,28,"SAN FRANCISCO, CA",04
1972,May,SPONGE GRASS/VELVET/YELLOW,BAHAMAS,446,"2,362",2360,N,044,0001908500,52,"MIAMI, FL",05
1972,May,SPONGE SHEEPS WOOL,BAHAMAS,587,"6,582",2360,N,044,0001908700,52,"MIAMI, FL",05
1972,May,SPONGE NSPF,GREECE,5,448,4840,N,300,0001909300,04,"BOSTON, MA",05
1972,May,SPONGE NSPF,GREECE,"1,906","20,371",4840,N,300,0001909300,10,"NEW YORK, NY",05
1972,May,SPONGE NSPF,GREECE,50,"1,310",4840,N,300,0001909300,39,"CHICAGO, IL",05
1972,May,SPONGE NSPF,TUNISIA,174,"4,808",7230,N,788,0001909300,10,"NEW YORK, NY",05
