,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"1,036","32,362",5070,E,364,0001133000,10,"NEW YORK, NY",01
1972,February,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,79,"5,595",4610,E,810,0001133000,27,"LOS ANGELES, CA",02
1972,February,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,410,"10,730",5070,E,364,0001133000,10,"NEW YORK, NY",02
1972,February,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,214,"16,469",5070,E,364,0001133000,27,"LOS ANGELES, CA",02
1972,March,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,24,"1,501",4610,E,810,0001133000,10,"NEW YORK, NY",03
1972,March,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"4,253","140,998",5070,E,364,0001133000,10,"NEW YORK, NY",03
1972,March,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,172,"13,994",5070,E,364,0001133000,27,"LOS ANGELES, CA",03
1972,April,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,24,"1,485",4610,E,810,0001133000,10,"NEW YORK, NY",04
1972,April,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"4,193","98,107",5070,E,364,0001133000,10,"NEW YORK, NY",04
1972,April,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,24,"1,408",5070,E,364,0001133000,27,"LOS ANGELES, CA",04
1972,May,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,151,"2,986",4610,E,810,0001133000,10,"NEW YORK, NY",05
1972,May,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,ROMANIA,100,"7,600",4850,E,642,0001133000,10,"NEW YORK, NY",05
1972,May,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,LEBANON,72,"3,635",5040,E,422,0001133000,10,"NEW YORK, NY",05
1972,May,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"2,110","62,243",5070,E,364,0001133000,10,"NEW YORK, NY",05
1972,May,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,166,"12,995",5070,E,364,0001133000,27,"LOS ANGELES, CA",05
1972,June,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,26,526,5070,E,364,0001133000,10,"NEW YORK, NY",06
1972,July,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"1,534","72,869",5070,E,364,0001133000,10,"NEW YORK, NY",07
1972,July,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,122,"9,391",5070,E,364,0001133000,27,"LOS ANGELES, CA",07
1972,August,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,CANADA,45,392,1220,E,124,0001133000,07,"OGDENSBURG, NY",08
1972,August,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,49,"3,010",4610,E,810,0001133000,10,"NEW YORK, NY",08
1972,August,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,ROMANIA,25,"1,625",4850,E,642,0001133000,10,"NEW YORK, NY",08
1972,August,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"3,914","57,032",5070,E,364,0001133000,10,"NEW YORK, NY",08
1972,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,DENMARK,429,"2,397",4099,E,208,0001133000,13,"BALTIMORE, MD",09
1972,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,"1,132","68,145",4610,E,810,0001133000,10,"NEW YORK, NY",09
1972,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,84,"8,140",4610,E,810,0001133000,27,"LOS ANGELES, CA",09
1972,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"3,965","119,582",5070,E,364,0001133000,10,"NEW YORK, NY",09
1972,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,10,630,5070,E,364,0001133000,52,"MIAMI, FL",09
1972,October,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,99,"5,990",4610,E,810,0001133000,10,"NEW YORK, NY",10
1972,October,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,LEBANON,187,"7,228",5040,E,422,0001133000,10,"NEW YORK, NY",10
1972,October,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"4,386","142,282",5070,E,364,0001133000,10,"NEW YORK, NY",10
1972,October,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,125,"9,352",5070,E,364,0001133000,27,"LOS ANGELES, CA",10
1972,November,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,116,"5,660",4610,E,810,0001133000,10,"NEW YORK, NY",11
1972,November,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"1,312","38,221",5070,E,364,0001133000,10,"NEW YORK, NY",11
1972,November,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,120,"9,720",5070,E,364,0001133000,27,"LOS ANGELES, CA",11
1972,November,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,7,408,5070,E,364,0001133000,52,"MIAMI, FL",11
1972,December,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,8,570,4610,E,810,0001133000,10,"NEW YORK, NY",12
1972,December,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"4,851","225,636",5070,E,364,0001133000,10,"NEW YORK, NY",12
1972,December,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,13,"1,271",5070,E,364,0001133000,52,"MIAMI, FL",12
1973,January,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,173,"13,382",4610,E,810,0001133000,10,"NEW YORK, NY",01
1973,January,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"4,657","260,115",5070,E,364,0001133000,10,"NEW YORK, NY",01
1973,January,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,183,"14,600",5070,E,364,0001133000,27,"LOS ANGELES, CA",01
1973,January,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,7,408,5070,E,364,0001133000,52,"MIAMI, FL",01
1973,February,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,32,"2,709",4610,E,810,0001133000,10,"NEW YORK, NY",02
1973,February,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,43,"3,657",4610,E,810,0001133000,27,"LOS ANGELES, CA",02
1973,February,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"3,643","216,377",5070,E,364,0001133000,10,"NEW YORK, NY",02
1973,February,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,194,"16,449",5070,E,364,0001133000,27,"LOS ANGELES, CA",02
1973,February,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,21,"1,224",5070,E,364,0001133000,52,"MIAMI, FL",02
1973,March,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"3,378","147,384",5070,E,364,0001133000,10,"NEW YORK, NY",03
1973,April,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,GERMANY,5,397,4280,E,276,0001133000,52,"MIAMI, FL",04
1973,April,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,24,"2,018",4610,E,810,0001133000,10,"NEW YORK, NY",04
1973,April,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"2,103","113,459",5070,E,364,0001133000,10,"NEW YORK, NY",04
1973,May,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,65,"3,425",4610,E,810,0001133000,10,"NEW YORK, NY",05
1973,May,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"2,191","83,783",5070,E,364,0001133000,10,"NEW YORK, NY",05
1973,May,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,63,"5,355",5070,E,364,0001133000,27,"LOS ANGELES, CA",05
1973,May,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,6,839,5070,E,364,0001133000,52,"MIAMI, FL",05
1973,June,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,130,"8,472",4610,E,810,0001133000,10,"NEW YORK, NY",06
1973,June,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"2,104","118,990",5070,E,364,0001133000,10,"NEW YORK, NY",06
1973,July,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,CANADA,26,285,1220,E,124,0001133000,07,"OGDENSBURG, NY",07
1973,July,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,28,"3,143",4610,E,810,0001133000,10,"NEW YORK, NY",07
1973,July,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"2,256","99,183",5070,E,364,0001133000,10,"NEW YORK, NY",07
1973,July,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,14,"1,032",5070,E,364,0001133000,52,"MIAMI, FL",07
1973,August,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,439,"15,525",4610,E,810,0001133000,10,"NEW YORK, NY",08
1973,August,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAQ,8,691,5050,E,368,0001133000,10,"NEW YORK, NY",08
1973,August,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,"2,771","130,428",5070,E,364,0001133000,10,"NEW YORK, NY",08
1973,August,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,6,903,5070,E,364,0001133000,52,"MIAMI, FL",08
1973,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,USSR,77,"7,328",4610,E,810,0001133000,10,"NEW YORK, NY",09
1973,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,LEBANON,33,"2,764",5040,E,422,0001133000,10,"NEW YORK, NY",09
1973,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,755,"42,159",5070,E,364,0001133000,10,"NEW YORK, NY",09
1973,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,187,"17,825",5070,E,364,0001133000,27,"LOS ANGELES, CA",09
1973,September,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,IRAN,8,"1,032",5070,E,364,0001133000,52,"MIAMI, FL",09
1973,October,STURGEON ROE FRESH/FROZEN PREPARED/PRESERVED,ROMANIA,44,"1,538",4850,E,642,0001133000,10,"NEW YORK, NY",10
