,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1992,January,FISH NSPF SURIMI,FAROE IS.,"15,282","26,874",4091,E,234,0304901002,04,"BOSTON, MA",01
1992,January,FISH NSPF SURIMI,SOUTH KOREA,"20,000","90,390",5800,E,410,0304901002,30,"SEATTLE, WA",01
1992,January,FISH NSPF SURIMI,JAPAN,"22,680","102,010",5880,E,392,0304901002,32,"HONOLULU, HI",01
1992,February,FISH NSPF SURIMI,JAPAN,"8,000","28,825",5880,E,392,0304901002,30,"SEATTLE, WA",02
1992,February,FISH NSPF SURIMI,JAPAN,"11,340","51,339",5880,E,392,0304901002,32,"HONOLULU, HI",02
1992,March,FISH NSPF SURIMI,JAPAN,"22,680","101,950",5880,E,392,0304901002,32,"HONOLULU, HI",03
1992,April,FISH NSPF SURIMI,JAPAN,"20,000","56,355",5880,E,392,0304901002,30,"SEATTLE, WA",04
1992,May,FISH NSPF SURIMI,ICELAND,"9,280","7,821",4000,E,352,0304901002,04,"BOSTON, MA",05
1992,May,FISH NSPF SURIMI,ISRAEL,346,"3,113",5081,E,376,0304901002,10,"NEW YORK, NY",05
1992,June,FISH NSPF SURIMI,JAPAN,"20,000","45,885",5880,E,392,0304901002,30,"SEATTLE, WA",06
1992,June,FISH NSPF SURIMI,JAPAN,"11,340","46,930",5880,E,392,0304901002,32,"HONOLULU, HI",06
1992,July,FISH NSPF SURIMI,THAILAND,"9,680","41,826",5490,E,764,0304901002,38,"DETROIT, MI",07
1992,August,FISH NSPF SURIMI,JAPAN,"20,000","44,975",5880,E,392,0304901002,32,"HONOLULU, HI",08
1992,September,FISH NSPF SURIMI,CANADA,"276,338","663,192",1220,E,124,0304901002,30,"SEATTLE, WA",09
1992,October,FISH NSPF SURIMI,CANADA,"378,775","875,490",1220,E,124,0304901002,30,"SEATTLE, WA",10
1992,December,FISH NSPF SURIMI,CANADA,"2,694","2,885",1220,E,124,0304901002,01,"PORTLAND, ME",12
1993,April,FISH NSPF SURIMI,JAPAN,"13,268","6,728",5880,E,392,0304901002,30,"SEATTLE, WA",04
1993,May,FISH NSPF SURIMI,NEW ZEALAND,"17,300","16,717",6141,E,554,0304901002,32,"HONOLULU, HI",05
1993,November,FISH NSPF SURIMI,CANADA,"2,395","7,920",1220,E,124,0304901002,30,"SEATTLE, WA",11
1994,February,FISH NSPF SURIMI,CANADA,"29,472","12,142",1220,E,124,0304901002,30,"SEATTLE, WA",02
1994,March,FISH NSPF SURIMI,CANADA,"73,182","68,427",1220,E,124,0304901002,30,"SEATTLE, WA",03
