,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
2000,January,CRABMEAT SWIMMING (CALLINECTES) IN ATC,MEXICO,"2,440","23,180",2010,E,484,1605102051,23,"LAREDO, TX",01
2000,January,CRABMEAT SWIMMING (CALLINECTES) IN ATC,THAILAND,"15,513","214,015",5490,E,764,1605102051,10,"NEW YORK, NY",01
2000,January,CRABMEAT SWIMMING (CALLINECTES) IN ATC,THAILAND,"66,031","816,073",5490,E,764,1605102051,14,"NORFOLK, VA",01
2000,January,CRABMEAT SWIMMING (CALLINECTES) IN ATC,INDONESIA,"193,326","1,936,850",5600,E,360,1605102051,14,"NORFOLK, VA",01
2000,January,CRABMEAT SWIMMING (CALLINECTES) IN ATC,PHILIPPINES,"65,066","910,249",5650,E,608,1605102051,14,"NORFOLK, VA",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,MEXICO,"27,151","422,371",2010,E,484,1605102059,26,"NOGALES, AZ",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,COLOMBIA,959,"11,136",3010,E,170,1605102059,52,"MIAMI, FL",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,VENEZUELA,"7,253","102,663",3070,E,862,1605102059,52,"MIAMI, FL",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,ECUADOR,"8,037","74,339",3310,E,218,1605102059,52,"MIAMI, FL",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,CHILE,"7,317","102,190",3370,E,152,1605102059,52,"MIAMI, FL",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,THAILAND,"12,240","55,750",5490,E,764,1605102059,10,"NEW YORK, NY",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,THAILAND,"70,654","336,406",5490,E,764,1605102059,27,"LOS ANGELES, CA",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,THAILAND,"2,056","17,187",5490,E,764,1605102059,52,"MIAMI, FL",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,MALAYSIA,"56,010","326,720",5570,E,458,1605102059,27,"LOS ANGELES, CA",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,INDONESIA,"16,329","255,468",5600,E,360,1605102059,14,"NORFOLK, VA",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,INDONESIA,"128,339","736,690",5600,E,360,1605102059,27,"LOS ANGELES, CA",01
2000,January,CRABMEAT SWIMMING (CALLINECTES) FROZEN,INDONESIA,"25,898","326,790",5600,E,360,1605104025,14,"NORFOLK, VA",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) FROZEN,CANADA,"21,833","217,523",1220,E,124,1605104030,01,"PORTLAND, ME",01
2000,January,CRABMEAT SWIMMING (PORTUNIDAE) FROZEN,SOUTH KOREA,"12,247","123,935",5800,E,410,1605104030,27,"LOS ANGELES, CA",01
2000,February,CRABMEAT SWIMMING (CALLINECTES) IN ATC,MEXICO,"17,861","169,677",2010,E,484,1605102051,23,"LAREDO, TX",02
2000,February,CRABMEAT SWIMMING (CALLINECTES) IN ATC,THAILAND,"106,293","1,391,656",5490,E,764,1605102051,14,"NORFOLK, VA",02
2000,February,CRABMEAT SWIMMING (CALLINECTES) IN ATC,THAILAND,"15,551","190,488",5490,E,764,1605102051,27,"LOS ANGELES, CA",02
2000,February,CRABMEAT SWIMMING (CALLINECTES) IN ATC,INDONESIA,"261,260","2,716,596",5600,E,360,1605102051,14,"NORFOLK, VA",02
2000,February,CRABMEAT SWIMMING (CALLINECTES) IN ATC,PHILIPPINES,"19,763","282,100",5650,E,608,1605102051,14,"NORFOLK, VA",02
2000,February,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,MEXICO,"23,842","390,678",2010,E,484,1605102059,26,"NOGALES, AZ",02
