,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1998,January,TOOTHFISH PATAGONIAN FROZEN,PANAMA,"44,207","217,462",2250,E,591,0303794093,10,"NEW YORK, NY",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,GUYANA,800,"1,840",3120,E,328,0303794093,10,"NEW YORK, NY",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,CHILE,"6,047","38,828",3370,E,152,0303794093,10,"NEW YORK, NY",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,CHILE,"44,126","250,324",3370,E,152,0303794093,27,"LOS ANGELES, CA",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,CHILE,"3,646","34,051",3370,E,152,0303794093,52,"MIAMI, FL",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,CHILE,"3,741","31,808",3370,E,152,0303794093,55,"DALLAS-FORT WORTH, TX",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,URUGUAY,"41,595","226,981",3550,E,858,0303794093,10,"NEW YORK, NY",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,URUGUAY,"9,094","46,382",3550,E,858,0303794093,27,"LOS ANGELES, CA",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"345,574","1,971,894",3570,E,032,0303794093,30,"SEATTLE, WA",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,SOUTH AFRICA,"34,127","200,070",7910,E,710,0303794093,10,"NEW YORK, NY",01
1998,January,TOOTHFISH PATAGONIAN FROZEN,NAMIBIA,"74,610","392,707",7920,E,516,0303794093,30,"SEATTLE, WA",01
1998,January,TOOTHFISH PATAGONIAN FILLET FROZEN,CHILE,"19,255","155,495",3370,E,152,0304206093,27,"LOS ANGELES, CA",01
1998,February,TOOTHFISH PATAGONIAN FROZEN,BELIZE,"48,737","187,784",2080,E,084,0303794093,27,"LOS ANGELES, CA",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,CAYMAN IS.,"15,725","145,200",2440,E,136,0303794093,30,"SEATTLE, WA",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,CHILE,"45,841","234,478",3370,E,152,0303794093,10,"NEW YORK, NY",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,CHILE,"2,788","19,463",3370,E,152,0303794093,27,"LOS ANGELES, CA",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,CHILE,"1,214","10,083",3370,E,152,0303794093,28,"SAN FRANCISCO, CA",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,CHILE,"275,236","1,592,160",3370,E,152,0303794093,30,"SEATTLE, WA",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,CHILE,"23,834","164,501",3370,E,152,0303794093,52,"MIAMI, FL",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,CHILE,"2,906","19,603",3370,E,152,0303794093,55,"DALLAS-FORT WORTH, TX",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,GUINEA-BISSAU,"18,006","37,813",7642,E,624,0303794093,14,"NORFOLK, VA",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,SEYCHELLES,"13,374","72,889",7800,E,690,0303794093,27,"LOS ANGELES, CA",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,SOUTH AFRICA,"17,162","90,814",7910,E,710,0303794093,10,"NEW YORK, NY",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,SOUTH AFRICA,"35,880","198,156",7910,E,710,0303794093,30,"SEATTLE, WA",02
1998,February,TOOTHFISH PATAGONIAN FROZEN,NAMIBIA,"24,440","223,626",7920,E,516,0303794093,30,"SEATTLE, WA",02
1998,February,TOOTHFISH PATAGONIAN FILLET FROZEN,CHILE,"1,500","7,029",3370,E,152,0304206093,30,"SEATTLE, WA",02
1998,March,TOOTHFISH PATAGONIAN FROZEN,PANAMA,"25,289","131,985",2250,E,591,0303794093,27,"LOS ANGELES, CA",03
1998,March,TOOTHFISH PATAGONIAN FROZEN,CHILE,"20,519","94,604",3370,E,152,0303794093,10,"NEW YORK, NY",03
1998,March,TOOTHFISH PATAGONIAN FROZEN,CHILE,"1,391","11,068",3370,E,152,0303794093,27,"LOS ANGELES, CA",03
1998,March,TOOTHFISH PATAGONIAN FROZEN,CHILE,"4,763","25,113",3370,E,152,0303794093,30,"SEATTLE, WA",03
1998,March,TOOTHFISH PATAGONIAN FROZEN,CHILE,"30,378","243,712",3370,E,152,0303794093,52,"MIAMI, FL",03
1998,March,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"39,104","187,457",3570,E,032,0303794093,10,"NEW YORK, NY",03
1998,March,TOOTHFISH PATAGONIAN FROZEN,MALDIVE IS.,"24,035","108,498",5683,E,462,0303794093,13,"BALTIMORE, MD",03
1998,March,TOOTHFISH PATAGONIAN FROZEN,AUSTRALIA,"2,700","6,073",6021,E,036,0303794093,30,"SEATTLE, WA",03
1998,March,TOOTHFISH PATAGONIAN FROZEN,MAURITIUS,"63,760","282,430",7850,E,480,0303794093,30,"SEATTLE, WA",03
1998,March,TOOTHFISH PATAGONIAN FROZEN,SOUTH AFRICA,"37,168","192,861",7910,E,710,0303794093,10,"NEW YORK, NY",03
1998,March,TOOTHFISH PATAGONIAN FILLET FROZEN,ARGENTINA,"38,824","202,677",3570,E,032,0304206093,14,"NORFOLK, VA",03
1998,March,TOOTHFISH PATAGONIAN FILLET FROZEN,NAMIBIA,"35,832","270,120",7920,E,516,0304206093,02,"SAINT ALBANS, VT",03
1998,April,TOOTHFISH PATAGONIAN FROZEN,CHILE,"6,224","51,674",3370,E,152,0303794093,10,"NEW YORK, NY",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,CHILE,"85,537","390,884",3370,E,152,0303794093,27,"LOS ANGELES, CA",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,CHILE,"29,187","211,734",3370,E,152,0303794093,52,"MIAMI, FL",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,CHILE,"6,262","48,421",3370,E,152,0303794093,55,"DALLAS-FORT WORTH, TX",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,URUGUAY,"25,535","98,572",3550,E,858,0303794093,10,"NEW YORK, NY",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"23,021","116,730",3570,E,032,0303794093,10,"NEW YORK, NY",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"140,304","812,240",3570,E,032,0303794093,30,"SEATTLE, WA",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,AUSTRALIA,"12,117","70,262",6021,E,036,0303794093,30,"SEATTLE, WA",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,MAURITIUS,"6,186","38,351",7850,E,480,0303794093,30,"SEATTLE, WA",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,SOUTH AFRICA,"18,407","102,605",7910,E,710,0303794093,10,"NEW YORK, NY",04
1998,April,TOOTHFISH PATAGONIAN FROZEN,NAMIBIA,"38,534","119,405",7920,E,516,0303794093,30,"SEATTLE, WA",04
1998,April,TOOTHFISH PATAGONIAN FILLET FROZEN,CHILE,"21,215","126,057",3370,E,152,0304206093,10,"NEW YORK, NY",04
1998,April,TOOTHFISH PATAGONIAN FILLET FROZEN,THAILAND,"19,550","153,996",5490,E,764,0304206093,27,"LOS ANGELES, CA",04
1998,April,TOOTHFISH PATAGONIAN FILLET FROZEN,NAMIBIA,"8,692","61,886",7920,E,516,0304206093,10,"NEW YORK, NY",04
1998,April,TOOTHFISH PATAGONIAN FILLET FROZEN,NAMIBIA,"46,735","332,283",7920,E,516,0304206093,30,"SEATTLE, WA",04
1998,May,TOOTHFISH PATAGONIAN FROZEN,BELIZE,"22,736","98,972",2080,E,084,0303794093,27,"LOS ANGELES, CA",05
1998,May,TOOTHFISH PATAGONIAN FROZEN,PANAMA,"22,900","105,630",2250,E,591,0303794093,27,"LOS ANGELES, CA",05
1998,May,TOOTHFISH PATAGONIAN FROZEN,CHILE,"37,873","192,231",3370,E,152,0303794093,10,"NEW YORK, NY",05
1998,May,TOOTHFISH PATAGONIAN FROZEN,CHILE,"113,079","526,579",3370,E,152,0303794093,27,"LOS ANGELES, CA",05
1998,May,TOOTHFISH PATAGONIAN FROZEN,CHILE,"1,935","10,240",3370,E,152,0303794093,30,"SEATTLE, WA",05
1998,May,TOOTHFISH PATAGONIAN FROZEN,CHILE,"15,292","111,375",3370,E,152,0303794093,52,"MIAMI, FL",05
1998,May,TOOTHFISH PATAGONIAN FROZEN,CHILE,"3,755","28,424",3370,E,152,0303794093,55,"DALLAS-FORT WORTH, TX",05
1998,May,TOOTHFISH PATAGONIAN FROZEN,URUGUAY,"24,123","102,729",3550,E,858,0303794093,10,"NEW YORK, NY",05
1998,May,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"179,230","956,371",3570,E,032,0303794093,30,"SEATTLE, WA",05
1998,May,TOOTHFISH PATAGONIAN FROZEN,AUSTRALIA,"19,988","99,028",6021,E,036,0303794093,30,"SEATTLE, WA",05
1998,May,TOOTHFISH PATAGONIAN FILLET FROZEN,CHILE,"22,977","151,504",3370,E,152,0304206093,10,"NEW YORK, NY",05
1998,May,TOOTHFISH PATAGONIAN FILLET FROZEN,CHILE,"21,092","33,068",3370,E,152,0304206093,16,"CHARLESTON, SC",05
1998,May,TOOTHFISH PATAGONIAN FILLET FROZEN,CHILE,"22,000","104,182",3370,E,152,0304206093,27,"LOS ANGELES, CA",05
1998,May,TOOTHFISH PATAGONIAN FILLET FROZEN,AUSTRALIA,"28,694","184,158",6021,E,036,0304206093,30,"SEATTLE, WA",05
1998,June,TOOTHFISH PATAGONIAN FROZEN,BELIZE,"24,388","118,528",2080,E,084,0303794093,27,"LOS ANGELES, CA",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,CHILE,"16,261","78,529",3370,E,152,0303794093,09,"BUFFALO, NY",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,CHILE,"4,420","30,161",3370,E,152,0303794093,10,"NEW YORK, NY",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,CHILE,"4,260","30,254",3370,E,152,0303794093,28,"SAN FRANCISCO, CA",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,CHILE,"104,508","580,600",3370,E,152,0303794093,30,"SEATTLE, WA",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,CHILE,"11,905","69,639",3370,E,152,0303794093,52,"MIAMI, FL",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,CHILE,"5,585","44,533",3370,E,152,0303794093,55,"DALLAS-FORT WORTH, TX",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,URUGUAY,"22,596","62,783",3550,E,858,0303794093,10,"NEW YORK, NY",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"33,904","165,857",3570,E,032,0303794093,10,"NEW YORK, NY",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"24,774","105,222",3570,E,032,0303794093,27,"LOS ANGELES, CA",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"20,163","100,016",3570,E,032,0303794093,52,"MIAMI, FL",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,MAURITIUS,"35,610","161,730",7850,E,480,0303794093,30,"SEATTLE, WA",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,SOUTH AFRICA,"5,917","30,148",7910,E,710,0303794093,10,"NEW YORK, NY",06
1998,June,TOOTHFISH PATAGONIAN FROZEN,NAMIBIA,"9,340","61,912",7920,E,516,0303794093,30,"SEATTLE, WA",06
1998,June,TOOTHFISH PATAGONIAN FILLET FROZEN,AUSTRALIA,"48,125","274,647",6021,E,036,0304206093,30,"SEATTLE, WA",06
1998,July,TOOTHFISH PATAGONIAN FROZEN,CANADA,"25,613","141,168",1220,E,124,0303794093,30,"SEATTLE, WA",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,BELIZE,"10,998","50,541",2080,E,084,0303794093,27,"LOS ANGELES, CA",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,GUYANA,"1,364","2,213",3120,E,328,0303794093,10,"NEW YORK, NY",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,CHILE,"94,266","408,109",3370,E,152,0303794093,10,"NEW YORK, NY",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,CHILE,"22,748","113,741",3370,E,152,0303794093,27,"LOS ANGELES, CA",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,CHILE,"6,798","55,916",3370,E,152,0303794093,28,"SAN FRANCISCO, CA",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,CHILE,"9,954","85,222",3370,E,152,0303794093,52,"MIAMI, FL",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,URUGUAY,"19,876","97,394",3550,E,858,0303794093,10,"NEW YORK, NY",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,URUGUAY,"12,754","66,569",3550,E,858,0303794093,53,"HOUSTON-GALVESTON, TX",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"4,354","21,598",3570,E,032,0303794093,07,"OGDENSBURG, NY",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"246,446","629,525",3570,E,032,0303794093,30,"SEATTLE, WA",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,UNITED KINGDOM,"6,928","33,948",4120,E,826,0303794093,53,"HOUSTON-GALVESTON, TX",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,MAURITIUS,"50,862","206,699",7850,E,480,0303794093,30,"SEATTLE, WA",07
1998,July,TOOTHFISH PATAGONIAN FROZEN,SOUTH AFRICA,"6,321","33,714",7910,E,710,0303794093,10,"NEW YORK, NY",07
1998,July,TOOTHFISH PATAGONIAN FILLET FROZEN,AUSTRALIA,"16,039","82,183",6021,E,036,0304206093,30,"SEATTLE, WA",07
1998,August,TOOTHFISH PATAGONIAN FROZEN,BELIZE,"80,828","435,766",2080,E,084,0303794093,10,"NEW YORK, NY",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,BELIZE,"23,783","116,535",2080,E,084,0303794093,27,"LOS ANGELES, CA",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,PANAMA,"25,778","132,344",2250,E,591,0303794093,10,"NEW YORK, NY",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,CHILE,"3,013","25,254",3370,E,152,0303794093,10,"NEW YORK, NY",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,CHILE,"33,125","164,055",3370,E,152,0303794093,27,"LOS ANGELES, CA",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,CHILE,"7,982","61,665",3370,E,152,0303794093,28,"SAN FRANCISCO, CA",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,CHILE,"8,450","69,564",3370,E,152,0303794093,52,"MIAMI, FL",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"41,135","201,698",3570,E,032,0303794093,10,"NEW YORK, NY",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,ARGENTINA,"110,288","586,957",3570,E,032,0303794093,30,"SEATTLE, WA",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,AUSTRALIA,"2,470","27,094",6021,E,036,0303794093,30,"SEATTLE, WA",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,MAURITIUS,"25,233","111,672",7850,E,480,0303794093,10,"NEW YORK, NY",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,SOUTH AFRICA,"3,672","22,682",7910,E,710,0303794093,10,"NEW YORK, NY",08
1998,August,TOOTHFISH PATAGONIAN FROZEN,SOUTH AFRICA,"23,324","116,410",7910,E,710,0303794093,27,"LOS ANGELES, CA",08
1998,August,TOOTHFISH PATAGONIAN FILLET FROZEN,AUSTRALIA,"6,414","40,590",6021,E,036,0304206093,30,"SEATTLE, WA",08
1998,September,TOOTHFISH PATAGONIAN FROZEN,CHILE,"14,010","32,740",3370,E,152,0303794093,09,"BUFFALO, NY",09
