,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1975,February,FLATFISH TURBOT NSPF FILLET BLOCKS FROZEN > 4.5KG,CANADA,"101,337","107,789",1220,E,124,0001104724,01,"PORTLAND, ME",02
1975,February,FLATFISH TURBOT NSPF FILLET BLOCKS FROZEN > 4.5KG,CANADA,"29,189","30,411",1220,E,124,0001104724,04,"BOSTON, MA",02
1975,February,FLATFISH TURBOT NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"10,029","9,992",4039,E,578,0001104724,04,"BOSTON, MA",02
1975,February,FLATFISH TURBOT NSPF FILLET BLOCKS FROZEN > 4.5KG,JAPAN,863,"1,168",5880,E,392,0001104724,04,"BOSTON, MA",02
1975,February,FLATFISH TURBOT NSPF FILLET BLOCKS FROZEN > 4.5KG,JAPAN,"90,718","77,394",5880,E,392,0001104724,10,"NEW YORK, NY",02
1975,February,FLATFISH TURBOT NSPF FILLET BLOCKS FROZEN > 4.5KG,JAPAN,"181,437","155,204",5880,E,392,0001104724,11,"PHILADELPHIA, PA",02
1975,February,FLATFISH TURBOT NSPF FILLET FROZEN,CANADA,"85,960","103,660",1220,E,124,0001107038,01,"PORTLAND, ME",02
1975,February,FLATFISH TURBOT NSPF FILLET FROZEN,CANADA,"149,332","175,399",1220,E,124,0001107038,04,"BOSTON, MA",02
1975,February,FLATFISH TURBOT NSPF FILLET FROZEN,CANADA,"11,367","11,662",1220,E,124,0001107038,36,"DULUTH, MN",02
1975,February,FLATFISH TURBOT NSPF FILLET FROZEN,ST.PIERRE & MIQUELON,308,306,1610,E,666,0001107038,04,"BOSTON, MA",02
1975,February,FLATFISH TURBOT NSPF FILLET FROZEN,ICELAND,"2,830","3,179",4000,E,352,0001107038,04,"BOSTON, MA",02
1975,February,FLATFISH TURBOT NSPF FILLET FROZEN,UNITED KINGDOM,"6,804","10,288",4120,E,826,0001107038,10,"NEW YORK, NY",02
1975,February,FLATFISH TURBOT NSPF FILLET FROZEN,JAPAN,"3,453,063","2,979,099",5880,E,392,0001107038,04,"BOSTON, MA",02
1975,February,FLATFISH TURBOT NSPF FILLET FROZEN,JAPAN,"11,793","9,574",5880,E,392,0001107038,13,"BALTIMORE, MD",02
1975,February,FLATFISH TURBOT NSPF FILLET FROZEN,JAPAN,"482,849","426,407",5880,E,392,0001107038,27,"LOS ANGELES, CA",02
