,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,WHITEFISH FRESH/FROZEN,CANADA,"58,585","64,155",1220,E,124,0001101510,07,"OGDENSBURG, NY",01
1972,January,WHITEFISH FRESH/FROZEN,CANADA,"1,547","1,937",1220,E,124,0001101510,09,"BUFFALO, NY",01
1972,January,WHITEFISH FRESH/FROZEN,CANADA,"1,353","1,951",1220,E,124,0001101510,27,"LOS ANGELES, CA",01
1972,January,WHITEFISH FRESH/FROZEN,CANADA,"15,989","17,466",1220,E,124,0001101510,33,"GREAT FALLS, MT",01
1972,January,WHITEFISH FRESH/FROZEN,CANADA,"340,232","414,765",1220,E,124,0001101510,34,"PEMBINA, ND",01
1972,January,WHITEFISH FRESH/FROZEN,CANADA,"24,573","33,179",1220,E,124,0001101510,38,"DETROIT, MI",01
1972,February,WHITEFISH FRESH/FROZEN,CANADA,"40,569","44,820",1220,E,124,0001101510,07,"OGDENSBURG, NY",02
1972,February,WHITEFISH FRESH/FROZEN,CANADA,748,"1,290",1220,E,124,0001101510,09,"BUFFALO, NY",02
1972,February,WHITEFISH FRESH/FROZEN,CANADA,577,877,1220,E,124,0001101510,27,"LOS ANGELES, CA",02
1972,February,WHITEFISH FRESH/FROZEN,CANADA,"315,329","385,283",1220,E,124,0001101510,34,"PEMBINA, ND",02
1972,February,WHITEFISH FRESH/FROZEN,CANADA,272,300,1220,E,124,0001101510,35,"MINNEAPOLIS, MN",02
1972,February,WHITEFISH FRESH/FROZEN,CANADA,"3,157","4,191",1220,E,124,0001101510,37,"MILWAUKEE, WI",02
1972,February,WHITEFISH FRESH/FROZEN,ICELAND,238,413,4000,E,352,0001101510,09,"BUFFALO, NY",02
1972,March,WHITEFISH FRESH/FROZEN,CANADA,"44,055","60,190",1220,E,124,0001101510,07,"OGDENSBURG, NY",03
1972,March,WHITEFISH FRESH/FROZEN,CANADA,"13,957","16,272",1220,E,124,0001101510,09,"BUFFALO, NY",03
1972,March,WHITEFISH FRESH/FROZEN,CANADA,"5,232","7,260",1220,E,124,0001101510,27,"LOS ANGELES, CA",03
1972,March,WHITEFISH FRESH/FROZEN,CANADA,"389,608","516,902",1220,E,124,0001101510,34,"PEMBINA, ND",03
1972,April,WHITEFISH FRESH/FROZEN,CANADA,"10,113","13,523",1220,E,124,0001101510,07,"OGDENSBURG, NY",04
1972,April,WHITEFISH FRESH/FROZEN,CANADA,"16,831","23,971",1220,E,124,0001101510,09,"BUFFALO, NY",04
1972,April,WHITEFISH FRESH/FROZEN,CANADA,567,809,1220,E,124,0001101510,10,"NEW YORK, NY",04
1972,April,WHITEFISH FRESH/FROZEN,CANADA,"1,584","2,400",1220,E,124,0001101510,27,"LOS ANGELES, CA",04
1972,April,WHITEFISH FRESH/FROZEN,CANADA,"216,100","310,370",1220,E,124,0001101510,34,"PEMBINA, ND",04
1972,April,WHITEFISH FRESH/FROZEN,CANADA,490,594,1220,E,124,0001101510,35,"MINNEAPOLIS, MN",04
1972,April,WHITEFISH FRESH/FROZEN,CANADA,"1,321","2,047",1220,E,124,0001101510,38,"DETROIT, MI",04
1972,April,WHITEFISH FRESH/FROZEN,UNITED KINGDOM,408,540,4120,E,826,0001101510,07,"OGDENSBURG, NY",04
1972,May,WHITEFISH FRESH/FROZEN,CANADA,"3,923","3,872",1220,E,124,0001101510,07,"OGDENSBURG, NY",05
1972,May,WHITEFISH FRESH/FROZEN,CANADA,"30,219","47,904",1220,E,124,0001101510,09,"BUFFALO, NY",05
1972,May,WHITEFISH FRESH/FROZEN,CANADA,635,771,1220,E,124,0001101510,10,"NEW YORK, NY",05
1972,May,WHITEFISH FRESH/FROZEN,CANADA,"1,613","2,569",1220,E,124,0001101510,27,"LOS ANGELES, CA",05
1972,May,WHITEFISH FRESH/FROZEN,CANADA,"96,276","142,484",1220,E,124,0001101510,34,"PEMBINA, ND",05
1972,May,WHITEFISH FRESH/FROZEN,CANADA,"26,306","38,657",1220,E,124,0001101510,38,"DETROIT, MI",05
1972,June,WHITEFISH FRESH/FROZEN,CANADA,"21,194","26,228",1220,E,124,0001101510,07,"OGDENSBURG, NY",06
1972,June,WHITEFISH FRESH/FROZEN,CANADA,"20,373","24,231",1220,E,124,0001101510,09,"BUFFALO, NY",06
1972,June,WHITEFISH FRESH/FROZEN,CANADA,894,"1,521",1220,E,124,0001101510,27,"LOS ANGELES, CA",06
1972,June,WHITEFISH FRESH/FROZEN,CANADA,"184,761","213,693",1220,E,124,0001101510,34,"PEMBINA, ND",06
1972,June,WHITEFISH FRESH/FROZEN,CANADA,"6,607","6,918",1220,E,124,0001101510,38,"DETROIT, MI",06
1972,June,WHITEFISH FRESH/FROZEN,NETHERLANDS,260,508,4210,E,528,0001101510,09,"BUFFALO, NY",06
1972,July,WHITEFISH FRESH/FROZEN,CANADA,"17,062","19,266",1220,E,124,0001101510,07,"OGDENSBURG, NY",07
1972,July,WHITEFISH FRESH/FROZEN,CANADA,"23,292","29,152",1220,E,124,0001101510,09,"BUFFALO, NY",07
1972,July,WHITEFISH FRESH/FROZEN,CANADA,591,759,1220,E,124,0001101510,27,"LOS ANGELES, CA",07
1972,July,WHITEFISH FRESH/FROZEN,CANADA,"225,756","277,692",1220,E,124,0001101510,34,"PEMBINA, ND",07
1972,July,WHITEFISH FRESH/FROZEN,CANADA,"3,628","2,492",1220,E,124,0001101510,36,"DULUTH, MN",07
1972,July,WHITEFISH FRESH/FROZEN,CANADA,"6,623","8,477",1220,E,124,0001101510,38,"DETROIT, MI",07
1972,August,WHITEFISH FRESH/FROZEN,CANADA,"15,723","17,564",1220,E,124,0001101510,07,"OGDENSBURG, NY",08
1972,August,WHITEFISH FRESH/FROZEN,CANADA,"27,582","38,628",1220,E,124,0001101510,09,"BUFFALO, NY",08
1972,August,WHITEFISH FRESH/FROZEN,CANADA,"1,860","3,198",1220,E,124,0001101510,27,"LOS ANGELES, CA",08
1972,August,WHITEFISH FRESH/FROZEN,CANADA,"305,929","368,135",1220,E,124,0001101510,34,"PEMBINA, ND",08
1972,August,WHITEFISH FRESH/FROZEN,CANADA,"2,673","1,767",1220,E,124,0001101510,36,"DULUTH, MN",08
1972,August,WHITEFISH FRESH/FROZEN,CANADA,"5,459","6,318",1220,E,124,0001101510,38,"DETROIT, MI",08
1972,September,WHITEFISH FRESH/FROZEN,CANADA,"21,798","28,031",1220,E,124,0001101510,07,"OGDENSBURG, NY",09
1972,September,WHITEFISH FRESH/FROZEN,CANADA,"21,410","32,404",1220,E,124,0001101510,09,"BUFFALO, NY",09
1972,September,WHITEFISH FRESH/FROZEN,CANADA,"2,318","4,219",1220,E,124,0001101510,27,"LOS ANGELES, CA",09
1972,September,WHITEFISH FRESH/FROZEN,CANADA,"278,628","360,219",1220,E,124,0001101510,34,"PEMBINA, ND",09
1972,September,WHITEFISH FRESH/FROZEN,CANADA,"2,515","1,664",1220,E,124,0001101510,36,"DULUTH, MN",09
1972,September,WHITEFISH FRESH/FROZEN,CANADA,"3,329","4,800",1220,E,124,0001101510,38,"DETROIT, MI",09
1972,September,WHITEFISH FRESH/FROZEN,CANADA,998,"1,676",1220,E,124,0001101510,41,"CLEVELAND, OH",09
1972,October,WHITEFISH FRESH/FROZEN,CANADA,"23,318","28,495",1220,E,124,0001101510,07,"OGDENSBURG, NY",10
1972,October,WHITEFISH FRESH/FROZEN,CANADA,"16,954","25,666",1220,E,124,0001101510,09,"BUFFALO, NY",10
1972,October,WHITEFISH FRESH/FROZEN,CANADA,"1,488","2,681",1220,E,124,0001101510,27,"LOS ANGELES, CA",10
1972,October,WHITEFISH FRESH/FROZEN,CANADA,"112,778","153,631",1220,E,124,0001101510,34,"PEMBINA, ND",10
1972,October,WHITEFISH FRESH/FROZEN,CANADA,458,303,1220,E,124,0001101510,36,"DULUTH, MN",10
1972,October,WHITEFISH FRESH/FROZEN,CANADA,"1,592","2,106",1220,E,124,0001101510,38,"DETROIT, MI",10
1972,November,WHITEFISH FRESH/FROZEN,CANADA,"11,681","13,527",1220,E,124,0001101510,07,"OGDENSBURG, NY",11
1972,November,WHITEFISH FRESH/FROZEN,CANADA,"44,654","54,679",1220,E,124,0001101510,09,"BUFFALO, NY",11
1972,November,WHITEFISH FRESH/FROZEN,CANADA,"97,367","112,083",1220,E,124,0001101510,34,"PEMBINA, ND",11
1972,November,WHITEFISH FRESH/FROZEN,CANADA,"4,018","3,620",1220,E,124,0001101510,36,"DULUTH, MN",11
1972,November,WHITEFISH FRESH/FROZEN,CANADA,"31,802","35,998",1220,E,124,0001101510,38,"DETROIT, MI",11
1972,December,WHITEFISH FRESH/FROZEN,CANADA,"30,305","38,961",1220,E,124,0001101510,07,"OGDENSBURG, NY",12
1972,December,WHITEFISH FRESH/FROZEN,CANADA,"29,668","35,338",1220,E,124,0001101510,09,"BUFFALO, NY",12
1972,December,WHITEFISH FRESH/FROZEN,CANADA,626,735,1220,E,124,0001101510,10,"NEW YORK, NY",12
1972,December,WHITEFISH FRESH/FROZEN,CANADA,"1,744","3,039",1220,E,124,0001101510,27,"LOS ANGELES, CA",12
1972,December,WHITEFISH FRESH/FROZEN,CANADA,"149,338","190,434",1220,E,124,0001101510,34,"PEMBINA, ND",12
1972,December,WHITEFISH FRESH/FROZEN,CANADA,"1,134","1,000",1220,E,124,0001101510,36,"DULUTH, MN",12
1972,December,WHITEFISH FRESH/FROZEN,CANADA,"6,536","8,624",1220,E,124,0001101510,38,"DETROIT, MI",12
1972,December,WHITEFISH FRESH/FROZEN,JAPAN,501,"1,456",5880,E,392,0001101510,27,"LOS ANGELES, CA",12
1973,January,WHITEFISH FRESH/FROZEN,CANADA,"42,527","53,699",1220,E,124,0001101510,07,"OGDENSBURG, NY",01
1973,January,WHITEFISH FRESH/FROZEN,CANADA,"39,616","50,594",1220,E,124,0001101510,09,"BUFFALO, NY",01
1973,January,WHITEFISH FRESH/FROZEN,CANADA,599,622,1220,E,124,0001101510,10,"NEW YORK, NY",01
1973,January,WHITEFISH FRESH/FROZEN,CANADA,"2,186","3,878",1220,E,124,0001101510,27,"LOS ANGELES, CA",01
1973,January,WHITEFISH FRESH/FROZEN,CANADA,"238,084","320,106",1220,E,124,0001101510,34,"PEMBINA, ND",01
1973,January,WHITEFISH FRESH/FROZEN,CANADA,672,889,1220,E,124,0001101510,38,"DETROIT, MI",01
1973,January,WHITEFISH FRESH/FROZEN,ROMANIA,136,300,4850,E,642,0001101510,09,"BUFFALO, NY",01
1973,February,WHITEFISH FRESH/FROZEN,CANADA,"28,488","38,312",1220,E,124,0001101510,07,"OGDENSBURG, NY",02
1973,February,WHITEFISH FRESH/FROZEN,CANADA,"8,509","12,635",1220,E,124,0001101510,09,"BUFFALO, NY",02
1973,February,WHITEFISH FRESH/FROZEN,CANADA,"2,343","3,905",1220,E,124,0001101510,27,"LOS ANGELES, CA",02
1973,February,WHITEFISH FRESH/FROZEN,CANADA,"239,653","303,089",1220,E,124,0001101510,34,"PEMBINA, ND",02
1973,February,WHITEFISH FRESH/FROZEN,CANADA,492,837,1220,E,124,0001101510,36,"DULUTH, MN",02
1973,February,WHITEFISH FRESH/FROZEN,CANADA,678,"1,131",1220,E,124,0001101510,38,"DETROIT, MI",02
1973,March,WHITEFISH FRESH/FROZEN,CANADA,"22,317","31,035",1220,E,124,0001101510,07,"OGDENSBURG, NY",03
