,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1975,February,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,BRAZIL,"2,215","1,425",3510,E,076,0001104755,10,"NEW YORK, NY",02
1975,February,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"24,997","16,050",3570,E,032,0001104755,04,"BOSTON, MA",02
1975,February,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"246,980","162,369",3570,E,032,0001104755,10,"NEW YORK, NY",02
1975,February,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"3,622","3,639",4099,E,208,0001104755,04,"BOSTON, MA",02
1975,February,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,UNITED KINGDOM,"88,015","71,481",4120,E,826,0001104755,04,"BOSTON, MA",02
1975,February,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,JAPAN,"9,072","5,178",5880,E,392,0001104755,04,"BOSTON, MA",02
1975,February,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,SOUTH AFRICA,"179,623","159,380",7910,E,710,0001104755,04,"BOSTON, MA",02
1975,February,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,SOUTH AFRICA,"52,417","49,787",7910,E,710,0001104755,10,"NEW YORK, NY",02
1975,March,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,CANADA,"17,962","13,088",1220,E,124,0001104755,01,"PORTLAND, ME",03
1975,March,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,CANADA,299,"2,690",1220,E,124,0001104755,04,"BOSTON, MA",03
1975,March,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PERU,"181,437","60,000",3330,E,604,0001104755,14,"NORFOLK, VA",03
1975,March,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"15,885","10,503",3570,E,032,0001104755,04,"BOSTON, MA",03
1975,March,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"29,477","21,133",3570,E,032,0001104755,10,"NEW YORK, NY",03
1975,March,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"39,620","25,245",3570,E,032,0001104755,11,"PHILADELPHIA, PA",03
1975,March,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,UNITED KINGDOM,"31,434","28,572",4120,E,826,0001104755,04,"BOSTON, MA",03
1975,March,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,SOUTH AFRICA,"34,999","30,071",7910,E,710,0001104755,04,"BOSTON, MA",03
1975,April,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PERU,"81,647","28,800",3330,E,604,0001104755,10,"NEW YORK, NY",04
1975,April,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"49,373","33,269",3570,E,032,0001104755,04,"BOSTON, MA",04
1975,April,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"54,306","37,211",3570,E,032,0001104755,10,"NEW YORK, NY",04
1975,April,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"27,113","16,539",3570,E,032,0001104755,11,"PHILADELPHIA, PA",04
1975,April,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"3,143","3,084",4099,E,208,0001104755,04,"BOSTON, MA",04
1975,April,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,UNITED KINGDOM,"41,373","37,387",4120,E,826,0001104755,04,"BOSTON, MA",04
1975,April,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,JAPAN,"36,287","24,800",5880,E,392,0001104755,04,"BOSTON, MA",04
1975,April,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,SOUTH AFRICA,"409,885","275,550",7910,E,710,0001104755,04,"BOSTON, MA",04
1975,April,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,SOUTH AFRICA,"4,082","1,863",7910,E,710,0001104755,10,"NEW YORK, NY",04
1975,May,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,CANADA,"3,563","2,613",1220,E,124,0001104755,01,"PORTLAND, ME",05
1975,May,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PERU,"18,144","5,250",3330,E,604,0001104755,27,"LOS ANGELES, CA",05
1975,May,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"24,968","14,731",3570,E,032,0001104755,04,"BOSTON, MA",05
1975,May,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"89,635","57,361",3570,E,032,0001104755,10,"NEW YORK, NY",05
1975,May,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"5,715","5,733",4000,E,352,0001104755,13,"BALTIMORE, MD",05
1975,May,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"3,293","3,178",4099,E,208,0001104755,04,"BOSTON, MA",05
1975,June,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"73,111","41,672",3570,E,032,0001104755,04,"BOSTON, MA",06
1975,June,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"86,728","50,488",3570,E,032,0001104755,10,"NEW YORK, NY",06
1975,June,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ARGENTINA,"54,852","33,461",3570,E,032,0001104755,11,"PHILADELPHIA, PA",06
1975,June,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"2,190","2,197",4000,E,352,0001104755,13,"BALTIMORE, MD",06
1975,June,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,UNITED KINGDOM,"53,468","51,782",4120,E,826,0001104755,04,"BOSTON, MA",06
1975,June,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,SOUTH AFRICA,"194,591","174,557",7910,E,710,0001104755,10,"NEW YORK, NY",06
