,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,WOLFFISH FILLET FRESH/FROZEN,GREENLAND,"80,044","62,220",1010,E,304,0001105700,04,"BOSTON, MA",01
1972,January,WOLFFISH FILLET FRESH/FROZEN,CANADA,"29,087","29,867",1220,E,124,0001105700,01,"PORTLAND, ME",01
1972,January,WOLFFISH FILLET FRESH/FROZEN,CANADA,"37,905","42,090",1220,E,124,0001105700,04,"BOSTON, MA",01
1972,January,WOLFFISH FILLET FRESH/FROZEN,ST.PIERRE & MIQUELON,408,270,1610,E,666,0001105700,04,"BOSTON, MA",01
1972,January,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"31,676","45,543",4000,E,352,0001105700,04,"BOSTON, MA",01
1972,January,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"3,810","5,042",4000,E,352,0001105700,13,"BALTIMORE, MD",01
1972,January,WOLFFISH FILLET FRESH/FROZEN,NORWAY,"3,846","3,053",4039,E,578,0001105700,04,"BOSTON, MA",01
1972,January,WOLFFISH FILLET FRESH/FROZEN,DENMARK,"23,177","23,480",4099,E,208,0001105700,04,"BOSTON, MA",01
1972,January,WOLFFISH FILLET FRESH/FROZEN,UNITED KINGDOM,"1,633","1,728",4120,E,826,0001105700,04,"BOSTON, MA",01
1972,February,WOLFFISH FILLET FRESH/FROZEN,GREENLAND,"36,621","28,061",1010,E,304,0001105700,04,"BOSTON, MA",02
1972,February,WOLFFISH FILLET FRESH/FROZEN,CANADA,"11,383","13,627",1220,E,124,0001105700,01,"PORTLAND, ME",02
1972,February,WOLFFISH FILLET FRESH/FROZEN,CANADA,"14,786","16,851",1220,E,124,0001105700,04,"BOSTON, MA",02
1972,February,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"6,635","9,335",4000,E,352,0001105700,13,"BALTIMORE, MD",02
1972,February,WOLFFISH FILLET FRESH/FROZEN,NORWAY,"12,643","10,596",4039,E,578,0001105700,04,"BOSTON, MA",02
1972,February,WOLFFISH FILLET FRESH/FROZEN,DENMARK,"3,767","4,567",4099,E,208,0001105700,04,"BOSTON, MA",02
1972,March,WOLFFISH FILLET FRESH/FROZEN,CANADA,"28,812","32,986",1220,E,124,0001105700,01,"PORTLAND, ME",03
1972,March,WOLFFISH FILLET FRESH/FROZEN,CANADA,"8,991","10,280",1220,E,124,0001105700,04,"BOSTON, MA",03
1972,March,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"3,016","4,336",4000,E,352,0001105700,04,"BOSTON, MA",03
1972,March,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"57,621","80,383",4000,E,352,0001105700,13,"BALTIMORE, MD",03
1972,March,WOLFFISH FILLET FRESH/FROZEN,NORWAY,"33,038","30,245",4039,E,578,0001105700,04,"BOSTON, MA",03
1972,March,WOLFFISH FILLET FRESH/FROZEN,DENMARK,"4,061","4,834",4099,E,208,0001105700,04,"BOSTON, MA",03
1972,March,WOLFFISH FILLET FRESH/FROZEN,UNITED KINGDOM,"4,872","5,276",4120,E,826,0001105700,04,"BOSTON, MA",03
1972,March,WOLFFISH FILLET FRESH/FROZEN,GERMANY,"26,515","27,239",4280,E,276,0001105700,10,"NEW YORK, NY",03
1972,April,WOLFFISH FILLET FRESH/FROZEN,CANADA,"78,700","93,236",1220,E,124,0001105700,01,"PORTLAND, ME",04
1972,April,WOLFFISH FILLET FRESH/FROZEN,CANADA,"22,185","25,225",1220,E,124,0001105700,04,"BOSTON, MA",04
1972,April,WOLFFISH FILLET FRESH/FROZEN,ST.PIERRE & MIQUELON,"1,270","1,648",1610,E,666,0001105700,04,"BOSTON, MA",04
1972,April,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"3,946","5,672",4000,E,352,0001105700,04,"BOSTON, MA",04
1972,April,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"27,693","37,369",4000,E,352,0001105700,13,"BALTIMORE, MD",04
1972,April,WOLFFISH FILLET FRESH/FROZEN,NORWAY,"5,158","4,992",4039,E,578,0001105700,04,"BOSTON, MA",04
1972,April,WOLFFISH FILLET FRESH/FROZEN,DENMARK,"23,543","28,796",4099,E,208,0001105700,04,"BOSTON, MA",04
1972,April,WOLFFISH FILLET FRESH/FROZEN,UNITED KINGDOM,"1,851","2,040",4120,E,826,0001105700,04,"BOSTON, MA",04
1972,May,WOLFFISH FILLET FRESH/FROZEN,GREENLAND,"20,153","12,885",1010,E,304,0001105700,04,"BOSTON, MA",05
1972,May,WOLFFISH FILLET FRESH/FROZEN,CANADA,"97,662","109,885",1220,E,124,0001105700,01,"PORTLAND, ME",05
1972,May,WOLFFISH FILLET FRESH/FROZEN,CANADA,"17,047","19,205",1220,E,124,0001105700,04,"BOSTON, MA",05
1972,May,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"14,946","21,484",4000,E,352,0001105700,04,"BOSTON, MA",05
1972,May,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"115,659","155,328",4000,E,352,0001105700,13,"BALTIMORE, MD",05
1972,May,WOLFFISH FILLET FRESH/FROZEN,NORWAY,"48,594","49,665",4039,E,578,0001105700,04,"BOSTON, MA",05
1972,May,WOLFFISH FILLET FRESH/FROZEN,DENMARK,"54,708","56,283",4099,E,208,0001105700,04,"BOSTON, MA",05
1972,May,WOLFFISH FILLET FRESH/FROZEN,UNITED KINGDOM,"5,194","4,757",4120,E,826,0001105700,10,"NEW YORK, NY",05
1972,May,WOLFFISH FILLET FRESH/FROZEN,GERMANY,"50,077","53,072",4280,E,276,0001105700,10,"NEW YORK, NY",05
1972,June,WOLFFISH FILLET FRESH/FROZEN,CANADA,"169,889","199,471",1220,E,124,0001105700,01,"PORTLAND, ME",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,CANADA,"19,449","23,488",1220,E,124,0001105700,04,"BOSTON, MA",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,CANADA,"4,354","4,992",1220,E,124,0001105700,07,"OGDENSBURG, NY",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,ST.PIERRE & MIQUELON,"3,833","2,957",1610,E,666,0001105700,04,"BOSTON, MA",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,BRAZIL,"11,340","9,250",3510,E,076,0001105700,18,"TAMPA, FL",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"103,555","139,041",4000,E,352,0001105700,13,"BALTIMORE, MD",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,NORWAY,"9,623","11,332",4039,E,578,0001105700,04,"BOSTON, MA",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,DENMARK,"49,458","58,825",4099,E,208,0001105700,04,"BOSTON, MA",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,UNITED KINGDOM,893,"1,057",4120,E,826,0001105700,04,"BOSTON, MA",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,UNITED KINGDOM,"8,686","7,968",4120,E,826,0001105700,10,"NEW YORK, NY",06
1972,June,WOLFFISH FILLET FRESH/FROZEN,GERMANY,"34,836","38,400",4280,E,276,0001105700,10,"NEW YORK, NY",06
1972,July,WOLFFISH FILLET FRESH/FROZEN,CANADA,"110,745","132,642",1220,E,124,0001105700,01,"PORTLAND, ME",07
1972,July,WOLFFISH FILLET FRESH/FROZEN,CANADA,"30,147","30,583",1220,E,124,0001105700,04,"BOSTON, MA",07
1972,July,WOLFFISH FILLET FRESH/FROZEN,CANADA,748,858,1220,E,124,0001105700,07,"OGDENSBURG, NY",07
1972,July,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"7,711","11,390",4000,E,352,0001105700,04,"BOSTON, MA",07
1972,July,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"18,733","25,646",4000,E,352,0001105700,13,"BALTIMORE, MD",07
1972,July,WOLFFISH FILLET FRESH/FROZEN,NORWAY,"69,048","73,457",4039,E,578,0001105700,04,"BOSTON, MA",07
1972,July,WOLFFISH FILLET FRESH/FROZEN,DENMARK,"4,991","6,432",4099,E,208,0001105700,04,"BOSTON, MA",07
1972,July,WOLFFISH FILLET FRESH/FROZEN,UNITED KINGDOM,"6,352","5,959",4120,E,826,0001105700,04,"BOSTON, MA",07
1972,July,WOLFFISH FILLET FRESH/FROZEN,GERMANY,"9,072","9,400",4280,E,276,0001105700,04,"BOSTON, MA",07
1972,August,WOLFFISH FILLET FRESH/FROZEN,GREENLAND,"50,453","42,267",1010,E,304,0001105700,04,"BOSTON, MA",08
1972,August,WOLFFISH FILLET FRESH/FROZEN,CANADA,"158,433","189,715",1220,E,124,0001105700,01,"PORTLAND, ME",08
1972,August,WOLFFISH FILLET FRESH/FROZEN,CANADA,"29,181","36,190",1220,E,124,0001105700,04,"BOSTON, MA",08
1972,August,WOLFFISH FILLET FRESH/FROZEN,PANAMA,612,540,2250,E,591,0001105700,04,"BOSTON, MA",08
1972,August,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"123,559","171,868",4000,E,352,0001105700,13,"BALTIMORE, MD",08
1972,August,WOLFFISH FILLET FRESH/FROZEN,NORWAY,"97,412","110,453",4039,E,578,0001105700,04,"BOSTON, MA",08
1972,August,WOLFFISH FILLET FRESH/FROZEN,UNITED KINGDOM,615,725,4120,E,826,0001105700,10,"NEW YORK, NY",08
1972,September,WOLFFISH FILLET FRESH/FROZEN,CANADA,"131,789","153,134",1220,E,124,0001105700,01,"PORTLAND, ME",09
1972,September,WOLFFISH FILLET FRESH/FROZEN,CANADA,"18,003","24,200",1220,E,124,0001105700,04,"BOSTON, MA",09
1972,September,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"7,870","11,625",4000,E,352,0001105700,04,"BOSTON, MA",09
1972,September,WOLFFISH FILLET FRESH/FROZEN,ICELAND,"75,140","107,930",4000,E,352,0001105700,13,"BALTIMORE, MD",09
1972,September,WOLFFISH FILLET FRESH/FROZEN,NORWAY,"52,517","59,889",4039,E,578,0001105700,04,"BOSTON, MA",09
1972,September,WOLFFISH FILLET FRESH/FROZEN,UNITED KINGDOM,"7,684","7,733",4120,E,826,0001105700,10,"NEW YORK, NY",09
1972,September,WOLFFISH FILLET FRESH/FROZEN,GERMANY,"17,418","19,200",4280,E,276,0001105700,10,"NEW YORK, NY",09
1972,September,WOLFFISH FILLET FRESH/FROZEN,GERMANY,"5,312","4,901",4280,E,276,0001105700,39,"CHICAGO, IL",09
