,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,202,445,1220,E,124,0001106500,09,"BUFFALO, NY",01
1972,January,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"84,979","122,513",1220,E,124,0001106500,38,"DETROIT, MI",01
1972,February,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,526,"1,295",1220,E,124,0001106500,09,"BUFFALO, NY",02
1972,February,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"39,069","54,692",1220,E,124,0001106500,38,"DETROIT, MI",02
1972,February,YELLOW PERCH FILLET FRESH/FROZEN,ICELAND,150,330,4000,E,352,0001106500,09,"BUFFALO, NY",02
1972,February,YELLOW PERCH FILLET FRESH/FROZEN,ROMANIA,283,468,4850,E,642,0001106500,09,"BUFFALO, NY",02
1972,March,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,789,"1,755",1220,E,124,0001106500,09,"BUFFALO, NY",03
1972,March,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"44,817","51,527",1220,E,124,0001106500,38,"DETROIT, MI",03
1972,April,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,399,680,1220,E,124,0001106500,09,"BUFFALO, NY",04
1972,April,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"77,538","155,789",1220,E,124,0001106500,38,"DETROIT, MI",04
1972,May,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,451,"1,169",1220,E,124,0001106500,09,"BUFFALO, NY",05
1972,May,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"262,736","463,283",1220,E,124,0001106500,38,"DETROIT, MI",05
1972,June,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,565,"1,652",1220,E,124,0001106500,09,"BUFFALO, NY",06
1972,June,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"232,370","379,815",1220,E,124,0001106500,38,"DETROIT, MI",06
1972,July,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,850,"2,186",1220,E,124,0001106500,09,"BUFFALO, NY",07
1972,July,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"189,388","326,264",1220,E,124,0001106500,38,"DETROIT, MI",07
1972,August,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,245,675,1220,E,124,0001106500,09,"BUFFALO, NY",08
1972,August,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"187,392","354,322",1220,E,124,0001106500,38,"DETROIT, MI",08
1972,September,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,845,"2,328",1220,E,124,0001106500,09,"BUFFALO, NY",09
1972,September,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,218,600,1220,E,124,0001106500,30,"SEATTLE, WA",09
1972,September,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"296,284","533,969",1220,E,124,0001106500,38,"DETROIT, MI",09
1972,October,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,947,"2,747",1220,E,124,0001106500,09,"BUFFALO, NY",10
1972,October,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"321,989","519,540",1220,E,124,0001106500,38,"DETROIT, MI",10
1972,November,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"9,253","23,917",1220,E,124,0001106500,09,"BUFFALO, NY",11
1972,November,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"405,888","595,981",1220,E,124,0001106500,38,"DETROIT, MI",11
1972,December,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"2,204","5,641",1220,E,124,0001106500,09,"BUFFALO, NY",12
1972,December,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"213,769","334,714",1220,E,124,0001106500,38,"DETROIT, MI",12
1972,December,YELLOW PERCH FILLET FRESH/FROZEN,NETHERLANDS,"2,429","5,065",4210,E,528,0001106500,10,"NEW YORK, NY",12
1973,January,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,225,558,1220,E,124,0001106500,09,"BUFFALO, NY",01
1973,January,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,"134,821","185,165",1220,E,124,0001106500,38,"DETROIT, MI",01
1973,January,YELLOW PERCH FILLET FRESH/FROZEN,NETHERLANDS,"2,361","5,101",4210,E,528,0001106500,10,"NEW YORK, NY",01
1973,January,YELLOW PERCH FILLET FRESH/FROZEN,NETHERLANDS,"1,905","4,052",4210,E,528,0001106500,13,"BALTIMORE, MD",01
1973,February,YELLOW PERCH FILLET FRESH/FROZEN,CANADA,218,670,1220,E,124,0001106500,30,"SEATTLE, WA",02
